system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7974,154,122,8116,8144,8352,8555,7990,7297,7232,6732,6863,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.548766645212744,61.24798947078889]}"
1,8266,184,181,8368,8392,8528,8790,8251,7602,7504,7031,7181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.6333879449768,61.26640493411334]}"
2,8297,186,186,8488,8504,8616,8858,8288,7609,7552,7028,7180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.638957499738346,61.26595577647128]}"
3,8236,182,177,8376,8376,8528,8738,8188,7528,7420,6974,7138,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.64057446724976,61.26478796660192]}"
4,8239,187,181,8188,8312,8552,8800,8252,7587,7544,7013,7157,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.63671171152805,61.265326955772395]}"
5,8211,191,179,8304,8416,8576,8811,8234,7557,7528,7023,7143,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.63814901598264,61.26505746118716]}"
6,7981,151,136,7928,7948,8296,8596,8033,7324,7192,6729,6886,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.548137824513866,61.24825896537413]}"
7,7959,150,131,7920,7968,8288,8512,7980,7329,7256,6708,6878,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.547868329928626,61.2480793023173]}"
8,8096,150,141,8036,7964,8504,8743,8232,7526,7456,6937,7134,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.76301484047525,61.244126715067175]}"
9,8850,192,171,9168,9032,9080,9372,8632,7978,7440,7211,7201,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.53213866389283,61.46412412814804]}"
10,8295,190,188,8280,8384,8568,8843,8304,7573,7479,7024,7186,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.64102362489182,61.265326955772395]}"
11,8231,191,189,8248,8288,8528,8805,8272,7598,7476,6969,7155,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.63949648890882,61.26433880895986]}"
12,8290,190,189,8504,8504,8680,8845,8260,7624,7604,7075,7167,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.64057446724976,61.26586594494287]}"
13,8261,182,180,8304,8368,8520,8711,8135,7517,7472,6922,7127,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.64246092934641,61.2661354395281]}"
14,8199,190,187,8136,8216,8472,8741,8179,7500,7441,6938,7115,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.637250700698516,61.265596450357634]}"
15,8342,169,148,8344,8408,8712,8847,8319,7630,7580,7053,7205,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.766697933140144,61.24538435646494]}"
16,8226,179,181,8288,8288,8512,8751,8210,7528,7460,6974,7095,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.63042350453921,61.26622527105651]}"
17,8266,178,183,8336,8368,8584,8760,8235,7526,7484,6970,7130,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.642999918516885,61.26595577647128]}"
18,7706,169,150,7812,7940,8280,8554,8005,7404,7332,6776,6916,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.45947410597127,61.25894891725515]}"
19,8714,200,176,8920,8896,8968,9279,8578,7972,7460,7154,7181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.53357596834742,61.463674970505984]}"
20,8231,183,189,8304,8304,8568,8764,8191,7600,7416,6990,7155,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.63994564655088,61.2646083035451]}"
21,8326,188,195,8504,8480,8592,8854,8237,7596,7500,7012,7159,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.645605032840834,61.26649476564175]}"
22,8239,187,181,8320,8376,8592,8800,8252,7587,7455,7013,7157,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.636532048471224,61.265326955772395]}"
23,8863,192,171,8816,8856,8984,9302,8537,7960,7500,7195,7186,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.53303697917695,61.46502244343216]}"
24,8231,186,189,8304,8376,8608,8796,8266,7553,7499,7043,7155,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.64021514113611,61.264428640488276]}"
