system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8205,1344,1324,8352,8288,8792,9241,8610,7987,7680,7518,7530,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.1842531743263,70.12011054286693]}"
1,8591,1306,1285,8688,8632,9104,9439,8844,8194,7772,7635,7610,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.18021075554776,70.12002071133851]}"
2,8591,1307,1317,8656,8600,9048,9365,8772,8167,7732,7537,7610,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.180749744718234,70.12002071133851]}"
3,8412,1294,1310,8608,8520,8928,9302,8695,8047,7720,7507,7487,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.18110907083188,70.12002071133851]}"
4,8591,1300,1272,8672,8632,9096,9480,8902,8224,7852,7670,7610,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.17922260873523,70.12011054286693]}"
5,8412,1303,1303,8448,8360,8784,9218,8607,8006,7588,7449,7487,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.18119890236029,70.12020037439534]}"
6,8308,1327,1297,8496,8424,8920,9258,8710,8096,7820,7537,7460,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.183893848212655,70.11993087981011]}"
7,8412,1315,1315,8320,8280,8696,9109,8493,7885,7556,7316,7487,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.18227688070124,70.12020037439534]}"
8,8546,1311,1303,8520,8504,8960,9360,8731,8113,7812,7528,7582,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.18191755458759,70.11966138522487]}"
9,8205,1325,1305,8416,8408,8872,9318,8686,8126,7748,7539,7530,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.18398367974107,70.1198410482817]}"
10,8308,1317,1302,8256,8296,8752,9151,8624,7983,7616,7405,7460,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.1827260383433,70.12011054286693]}"
11,8308,1327,1349,8400,8344,8784,9146,8535,7967,7620,7411,7460,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.18380401668424,70.12020037439534]}"
12,8703,1304,1296,8696,8696,9104,9537,8946,8321,7896,7651,7690,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.18057008166141,70.11966138522487]}"
13,8054,1369,1369,8280,8216,8808,9344,8741,8101,7696,7513,7448,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.18569047878089,70.12029020592375]}"
