"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
25,5518,186,157,5932,6244,6724,6956,6609,6098,6020,5775,5829,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.06060216858618,70.74776343188124]}"
26,5811,185,171,6196,6520,6924,7186,6735,6226,6088,5927,5985,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.05871570648953,70.74533798061412]}"
27,5363,157,137,5644,5968,6200,6567,6214,5747,5616,5385,5471,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.047037607795975,70.74533798061412]}"
28,5510,181,156,5824,6136,6708,7061,6633,6111,6060,5823,5810,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.05790722273382,70.74713461118236]}"
29,5675,200,153,6020,6348,6772,7040,6699,6148,5996,5787,5872,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.054134298540518,70.74533798061412]}"
30,5582,176,145,5992,6268,6708,6943,6501,6122,5980,5735,5842,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.060961494699825,70.74695494812553]}"
31,5548,167,153,5888,6148,6624,6926,6524,6025,5868,5610,5744,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.05009187976198,70.7451583175573]}"
32,5251,179,157,5536,5820,6344,6598,6180,5716,5624,5436,5492,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.052068173387042,70.74785326340965]}"
33,5850,194,211,6288,6656,6960,7360,6897,6336,6152,5955,6028,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.058266548847467,70.7445294968584]}"
34,5850,202,192,6200,6504,6988,7282,6870,6295,6148,5969,6028,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.058446211904293,70.74443966532999]}"
35,5228,150,147,5612,5952,6292,6465,6104,5657,5584,5374,5378,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.04775626002327,70.74578713825618]}"
36,5923,195,165,6176,6552,7064,7336,6841,6378,6308,5996,6109,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.056380086750817,70.74408033921635]}"
37,5675,197,158,6144,6408,6820,7150,6692,6190,6076,5847,5872,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.052966488671164,70.74533798061412]}"
38,5556,180,140,6152,6288,6860,6941,6572,6137,6080,5672,5775,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.05422413006893,70.74587696978459]}"
39,5422,176,164,5648,5944,6416,6746,6356,5883,5760,5539,5675,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.065363239592013,70.74767360035283]}"
40,5555,182,155,5912,6268,6632,6925,6544,6107,5976,5745,5830,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.059883516358884,70.747493937296]}"
41,5675,200,153,6020,6372,6696,7040,6699,6148,6168,5787,5872,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.05431396159734,70.74542781214252]}"
42,5918,194,146,6256,6624,7064,7275,6834,6338,6352,5959,6094,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.053505477841636,70.74408033921635]}"
43,5426,190,159,5788,6108,6512,6843,6435,5975,5880,5646,5752,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.06015301094412,70.74848208410853]}"
44,5867,197,151,6024,6312,6772,7232,6828,6302,6100,5928,6035,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.054583456182577,70.74443966532999]}"
45,5452,174,157,5592,5888,6280,6638,6275,5794,5664,5445,5616,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.04964272211992,70.74587696978459]}"
46,5867,184,163,6236,6600,6964,7276,6878,6366,6244,5980,6035,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.054134298540518,70.74417017074477]}"
47,5429,175,161,5756,6016,6612,6756,6415,5928,5864,5584,5690,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.06617172334772,70.74704477965395]}"
48,5791,185,166,6132,6352,6856,7122,6741,6244,6056,5898,5979,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.056829244392876,70.74524814908571]}"
49,5450,195,162,5736,6048,6524,6785,6414,5940,5824,5629,5731,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-22.055930929108758,70.74713461118236]}"
50,5557,156,149,5756,5752,5776,5869,5586,5107,4980,4641,4671,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.397937854900466,69.72583996466687]}"
51,6583,185,185,6732,6832,6840,6979,6657,5993,5884,5616,5401,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.417700791151095,69.71892293697915]}"
52,6563,148,152,7260,7320,7340,7097,6695,6157,6108,5536,5368,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.429738215958295,69.72341451339975]}"
53,5945,195,197,7544,7428,7436,7525,7211,6657,6436,6095,5023,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.38859537594562,69.73158918248524]}"
54,4984,215,190,6988,6808,6960,6880,6520,5968,6056,5426,4818,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.36694597759834,69.73185867707048]}"
55,5481,125,125,5356,5372,5392,5701,5436,4970,4752,4545,4470,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.38751739760468,69.71065843636525]}"
56,5493,145,159,5916,5772,5836,5777,5430,5073,5008,4357,4396,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-26.405304040230245,69.7192822630928]}"
