system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7755,117,120,7960,7880,8520,8845,8204,7571,7176,6879,6731,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.616513340480914,69.50395608948935]}"
1,7581,123,118,7837,7768,8136,8528,7898,7257,6900,6507,6530,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41277543404261,69.42894676326537]}"
2,7594,128,106,7503,7320,8012,8465,7804,7178,6840,6467,6530,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.425262016491864,69.42679080658348]}"
3,7426,109,122,7528,7284,8136,8372,7835,7188,6932,6545,6661,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.61732182423662,69.50332726879047]}"
4,8074,128,127,8328,8072,8600,8843,8206,7563,7208,6801,6838,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.421938249940624,69.4268806381119]}"
5,7679,122,120,7637,7564,8232,8706,8041,7383,6944,6647,6693,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41484155919608,69.4284077740949]}"
6,7269,112,113,7272,7196,7988,8329,7764,7113,6840,6435,6434,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.426070500247576,69.42607215435619]}"
7,7672,137,129,7900,7616,8272,8638,8077,7349,7012,6625,6559,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.473232052663846,69.43200103523138]}"
8,7681,131,127,7784,7680,8312,8624,8037,7358,6996,6668,6614,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41538054836655,69.42894676326537]}"
9,7375,110,121,7372,7240,8036,8526,7964,7352,6812,6604,6555,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.616513340480914,69.5035967633757]}"
10,7769,126,122,8012,7900,8440,8632,8028,7365,7052,6596,6670,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.4187941464462,69.42715013269714]}"
11,7679,130,122,7812,7640,8160,8573,7989,7337,6932,6689,6693,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.4142127384972,69.4284976056233]}"
12,7716,127,118,7544,7376,8184,8456,7898,7255,6944,6603,6630,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42427386967933,69.42643148046983]}"
13,7375,106,134,7276,7208,7980,8376,7830,7199,6800,6515,6555,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.61669300353773,69.50323743726206]}"
14,7602,129,123,7896,7804,8416,8783,8193,7451,7148,6784,6636,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41924330408826,69.42786878492443]}"
15,7669,130,128,7701,7460,8304,8533,7938,7322,7020,6612,6646,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41394324391196,69.42894676326537]}"
16,7716,120,118,7891,7720,8328,8592,7983,7341,7036,6659,6630,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42373488050886,69.42643148046983]}"
17,7563,126,124,7448,7372,8068,8496,7875,7265,6844,6506,6620,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42112976618492,69.42625181741302]}"
18,7420,106,121,7387,7172,8072,8444,7813,7212,6800,6577,6672,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.61857946563439,69.50323743726206]}"
19,7444,120,120,7857,7592,8200,8427,7793,7148,6920,6436,6480,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42562134260552,69.42634164894142]}"
20,7871,108,123,7876,7788,8264,8542,7950,7313,6984,6638,6614,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.5765383103376,69.501261143637]}"
21,7542,117,119,7679,7452,8100,8443,7840,7197,6876,6586,6588,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.57896376160472,69.50036282835288]}"
22,7580,136,119,7448,7320,8120,8562,7880,7282,6944,6546,6553,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.47413036794797,69.43182137217455]}"
23,7787,140,136,7915,7760,8344,8688,8035,7366,7060,6655,6709,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42301622828157,69.42634164894142]}"
24,7822,138,135,8060,7848,8488,8866,8240,7561,7196,6841,6761,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.422207744525856,69.42723996422555]}"
25,5394,94,102,5756,5600,6088,6244,5706,5310,5072,4758,4724,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.487874591795,69.40388376683843]}"
26,5722,96,85,6108,5980,6268,6441,5937,5490,5228,4826,4986,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.43613163142971,69.40747702797492]}"
27,5394,84,96,5535,5508,5800,6302,5915,5295,4904,4743,4724,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.48850341249388,69.4037041037816]}"
28,5394,78,78,5552,5352,5688,5898,5552,5061,4876,4512,4724,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.48760509720976,69.4036142722532]}"
29,5128,88,83,5480,5264,5628,6046,5568,5267,4864,4577,4471,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.43325702252053,69.40711770186127]}"
30,5398,87,80,5655,5404,5640,6051,5479,5107,4628,4594,4580,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.43235870723641,69.40765669103173]}"
31,4430,71,61,4948,5004,5384,5662,5310,4696,4492,4138,3249,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.492815325857656,69.40307528308273]}"
32,5582,100,90,5868,5796,6112,6303,5863,5497,5192,4765,4933,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.49030004306212,69.40388376683843]}"
33,5582,85,78,5280,5204,5536,5938,5534,5096,4704,4491,4933,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.490120380005294,69.40415326142367]}"
34,5535,94,97,5781,5524,6000,6279,5775,5327,5036,4876,4797,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.43478415850353,69.40756685950332]}"
35,5049,69,80,5628,5568,5752,5702,5370,4865,5064,4338,4229,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42912477221358,69.40828551173063]}"
36,5394,94,102,5801,5668,6016,6244,5706,5310,5152,4758,4724,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.48796442332341,69.40379393531002]}"
37,5158,81,79,5348,5224,5644,5879,5561,5028,4732,4452,4525,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.43586213684448,69.40720753338968]}"
38,5394,78,96,5267,5308,5648,6230,5797,5391,4968,4792,4724,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.487515265681346,69.40379393531002]}"
39,5332,103,86,6001,5824,6152,6401,5936,5532,5180,4865,4697,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.49083903223259,69.40343460919638]}"
40,5321,60,72,5584,5356,5716,5695,5451,4792,4756,4308,4477,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.43235870723641,69.4081058486738]}"
41,5128,79,79,5673,5576,5952,5391,5106,4666,5124,4188,4471,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.43334685404894,69.40702787033285]}"
42,5121,97,90,6413,6256,6468,6665,6137,5709,5356,5034,4349,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.48976105389165,69.4036142722532]}"
43,5394,97,82,5515,5400,5756,6131,5716,5222,4832,4654,4724,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.48796442332341,69.40397359836685]}"
44,5111,61,53,5392,5356,5404,5184,4759,4508,4432,3954,4197,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42858578304311,69.40882450090109]}"
45,5121,79,85,5833,5816,6064,6409,5945,5404,5072,4843,4192,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.48841358096547,69.40424309295209]}"
46,5398,84,81,5644,5548,5876,5707,5452,4800,4940,4332,4580,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.43307735946371,69.40756685950332]}"
47,5410,90,85,6016,5864,6084,6296,5882,5493,5028,4807,4669,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.43325702252053,69.40864483784426]}"
