system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7931,175,171,8192,8248,8816,9208,8515,7747,7524,7087,7040,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.37722044591888,69.8267207710735]}"
1,7975,197,187,8272,8280,8928,9440,8734,7968,7692,7325,7215,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.375872972992696,69.8275292548292]}"
2,7624,163,164,7748,7704,8544,9000,8402,7740,7492,7043,7162,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.34074884538362,69.31629802663679]}"
3,7537,182,185,8192,8164,8752,9039,8435,7714,7492,7063,7077,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.37910690801553,69.82716992871555]}"
4,7284,180,172,7592,7824,8616,9073,8453,7732,7476,7033,7260,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.580688857771946,69.29195368243714]}"
5,7328,183,167,7704,7868,8680,9072,8470,7744,7504,7102,7150,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.57979054248783,69.29249267160762]}"
6,8385,184,183,8440,8376,8920,9333,8609,7893,7632,7251,7307,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.374884826180164,69.8283377385849]}"
7,7277,192,179,7504,7740,8568,9060,8399,7752,7632,7185,7243,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.57484980842517,69.29366048147698]}"
8,7251,202,199,7452,7680,8600,9002,8424,7733,7560,7142,6856,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.57520913453882,69.29204351396555]}"
9,7627,154,155,7856,7836,8568,8938,8369,7710,7484,7021,7072,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.339850530099504,69.31674718427884]}"
10,8297,176,166,8624,8608,9032,9254,8538,7833,7592,7130,7292,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.3729085325551,69.82797841247127]}"
11,7219,197,190,7328,7580,8456,8909,8358,7638,7472,7085,7259,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.57898205873212,69.2915943563235]}"
12,7241,200,190,7460,7716,8616,9049,8484,7841,7604,7220,7216,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.57664643899341,69.29213334549397]}"
13,8529,173,176,8648,8568,9024,9392,8638,7872,7624,7205,7224,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.372100048799396,69.8282479070565]}"
14,7207,200,185,7484,7692,8600,9004,8437,7714,7592,7123,7234,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.576556607465,69.2924028400792]}"
15,7241,207,193,7476,7668,8608,9090,8485,7821,7640,7206,7216,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.57745492274912,69.29222317702238]}"
16,7400,183,168,7584,7856,8552,9036,8400,7635,7300,7036,7129,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.58131767847083,69.29204351396555]}"
17,7241,206,196,7568,7760,8648,9119,8551,7814,7656,7259,7216,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.57790408039118,69.29222317702238]}"
18,8558,178,173,8584,8544,8880,9106,8454,7728,7536,7161,7279,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.3736271847824,69.82878689622697]}"
19,7529,179,175,7772,7964,8632,9042,8455,7638,7368,7003,7097,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.58122784694242,69.29168418785191]}"
20,7725,200,188,8456,8352,9064,9510,8797,7981,7772,7392,7152,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.375154320765404,69.82761908635761]}"
21,7809,215,223,8224,8496,9408,9864,9249,8461,8304,7769,7881,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.58059902624353,69.31989128777326]}"
22,7725,177,164,8048,8032,8816,9159,8441,7768,7528,7097,7152,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.37524415229382,69.82725976024396]}"
23,7279,208,194,7460,7676,8624,9066,8480,7768,7624,7197,7136,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.57538879759564,69.29150452479509]}"
24,7400,183,168,7652,7860,8624,9036,8400,7635,7388,7036,7129,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.58149734152766,69.29195368243714]}"
25,8996,314,320,9344,9424,9632,9884,9388,9092,8888,8567,8814,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.01286376668,69.72997221497383]}"
26,9022,494,522,9248,9472,9600,9850,9403,9048,8936,8685,8857,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.98923807470766,69.73491294903648]}"
27,9081,307,317,9464,9560,9656,9971,9577,9113,8944,8698,8873,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.02579950677132,69.72889423663288]}"
28,9050,436,458,9352,9480,9552,9943,9474,9013,8976,8651,8856,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.9948076294692,69.73149935095682]}"
29,9017,320,323,9368,9472,9552,9910,9480,8999,8928,8588,8811,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.01268410362317,69.73176884554206]}"
