"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
25,6349,1101,1094,6088,6088,6200,6350,6116,5653,5544,5309,5668,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.73191483451731,61.84339284110331]}"
26,7757,1113,1097,7784,8012,8088,8352,7846,7256,7132,6643,6758,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.72688426892624,61.84366233568854]}"
27,6865,1103,1097,7512,7532,7644,7807,7202,6723,6732,6299,6169,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.72859106796607,61.84581829237043]}"
28,7188,1104,1100,7452,7508,7588,7643,7268,6715,6736,6281,6260,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.7295792147786,61.84357250416013]}"
29,8395,1114,1112,8744,8792,8832,8942,8398,7633,7596,7129,7086,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.723560502375,61.84357250416013]}"
30,7288,1101,1099,7328,7396,7576,8012,7497,6929,6836,6417,6368,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.72939955172178,61.845638629313605]}"
31,6865,1103,1097,7624,7652,7696,7807,7202,6723,6804,6299,6169,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.72877073102289,61.84572846084202]}"
32,8070,1112,1114,8028,8116,8144,8508,7995,7331,7136,6829,6935,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.727423258096714,61.844470819444254]}"
33,8500,1109,1095,8832,8744,8760,9024,8416,7708,7568,7123,7151,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.72598595364212,61.84500980861472]}"
34,7975,1113,1103,8176,8248,8264,8426,7855,7243,7128,6809,6826,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.72409949154547,61.843482672631716]}"
35,7607,1106,1097,7872,7996,8056,8360,7761,7232,7076,6668,6682,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.72814191032401,61.842494525819184]}"
36,6334,1102,1087,6024,6104,6176,6337,5996,5643,5632,5118,5488,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.729848709363836,61.846087786955664]}"
37,7975,1122,1103,7588,7772,7904,8179,7696,7105,6968,6597,6826,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.72490797530118,61.84384199874537]}"
38,7611,1109,1105,8352,8432,8456,8637,8085,7409,7264,6860,6505,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.72616561669895,61.846357281540904]}"
39,6910,1094,1077,7224,7300,7396,7462,6956,6488,6412,5830,6008,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.7340707911992,61.843752167216955]}"
40,7680,1114,1106,7588,7584,7796,8112,7637,7087,7000,6526,6703,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.728860562551304,61.8425843573476]}"
41,7408,1096,1096,7544,7680,7728,7995,7476,6870,6796,6293,6479,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.732453823687784,61.84429115638743]}"
42,8239,1112,1096,8608,8688,8720,8793,8218,7535,7468,6979,7010,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.72661477434101,61.845908123898845]}"
43,6275,1096,1090,6360,6372,6480,6515,6166,5737,5740,5307,5476,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.73380129661396,61.843303009574896]}"
44,8324,1116,1103,8304,8368,8376,8718,8164,7524,7324,6871,7002,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.723560502375,61.84429115638743]}"
45,7346,1108,1103,7004,7092,7240,7488,7215,6602,6428,6269,6384,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.73110635076161,61.84456065097266]}"
46,7588,1106,1096,7664,7772,7880,8342,7789,7166,6880,6600,6546,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.730118203949075,61.84240469429078]}"
47,9469,1237,1243,10160,10000,10016,10293,9819,9236,8960,8630,8448,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.8373816231548,60.62231287539964]}"
48,6179,1101,1096,6200,6292,6340,6438,6093,5704,5708,5274,5580,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.733441970500316,61.842494525819184]}"
49,7150,1104,1090,6956,7212,7264,7643,7234,6620,6540,6143,6315,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.73002837242066,61.84500980861472]}"
