system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9440,265,286,9256,9328,9656,9959,9268,8548,8344,7885,7992,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.734012979643744,69.45481824344802]}"
1,9365,263,274,9352,9432,9808,10015,9381,8643,8520,7941,8046,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73580961021199,69.45418942274912]}"
2,9254,240,247,9360,9432,9744,10018,9334,8592,8392,7800,7959,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73679775702452,69.45293178135137]}"
3,9342,253,264,9352,9408,9744,10074,9362,8656,8488,7909,8067,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73428247422898,69.45239279218089]}"
4,9342,253,264,9344,9384,9808,10074,9362,8656,8544,7909,8067,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.734551968814216,69.45257245523771]}"
5,9365,249,270,9408,9400,9792,10060,9391,8659,8464,7913,8046,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73589944174039,69.45427925427754]}"
6,9383,265,271,9352,9440,9752,10046,9378,8579,8416,7881,7985,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73419264270057,69.45230296065247]}"
7,9458,244,259,9552,9512,9968,10148,9513,8735,8512,8015,8088,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73598927326881,69.45158430842518]}"
8,9364,243,244,9160,9192,9768,10161,9529,8726,8512,8018,8063,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73778590383705,69.45490807497643]}"
9,9335,251,257,9368,9392,9768,10007,9387,8639,8472,7898,8006,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73589944174039,69.45230296065247]}"
10,9419,246,258,9432,9504,9888,10050,9379,8594,8464,7938,8042,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73580961021199,69.45499790650484]}"
11,9434,270,272,9384,9376,9824,10076,9434,8633,8488,7982,8073,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73464180034263,69.45383009663549]}"
12,9434,270,272,9384,9376,9824,10076,9434,8633,8488,7982,8073,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73473163187104,69.4539199281639]}"
13,9482,248,256,9600,9720,9864,10074,9375,8630,8456,7930,8027,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73473163187104,69.45149447689677]}"
14,9330,230,244,9264,9216,9656,9974,9318,8578,8392,7819,7996,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73706725160975,69.45230296065247]}"
15,9407,258,272,9424,9456,9776,10091,9433,8637,8488,7925,8081,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.734012979643744,69.453291107465]}"
16,9407,265,283,9696,9656,9896,10111,9417,8673,8568,7966,8081,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73419264270057,69.45320127593659]}"
17,9383,254,274,9272,9320,9752,10045,9312,8597,8416,7848,7985,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.734551968814216,69.45239279218089]}"
18,9292,245,261,9288,9408,9744,10077,9472,8674,8480,7963,8020,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73536045256993,69.45266228676613]}"
19,9364,231,249,9392,9344,9872,10122,9461,8711,8536,7968,8063,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73751640925181,69.45463858039119]}"
20,9335,250,256,9264,9176,9704,10046,9333,8568,8368,7864,8006,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.735450284098334,69.45194363453884]}"
21,9437,239,242,9440,9432,9912,10250,9574,8779,8608,8028,8108,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.73769607230864,69.45158430842518]}"
