system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7727,1171,1148,7904,8328,8448,8542,8084,7533,7388,7035,7439,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.403320252150095,60.65303525811653]}"
1,8125,1180,1157,8704,8936,9040,9473,8832,8129,7788,7579,7431,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40367957826374,60.655191214798414]}"
2,8699,1176,1155,8608,8952,8992,8923,8474,7793,7764,6984,7664,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.404488062019446,60.65402340492906]}"
3,8665,1187,1162,8792,9048,9304,9392,8815,8193,8028,7666,7917,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.404757556604686,60.655460709383654]}"
4,7727,1175,1153,7776,8215,8392,8697,8111,7555,7284,7117,7439,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40323042062168,60.652855595059705]}"
5,7820,1170,1151,7724,8012,8328,8570,8065,7516,7344,7119,7300,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40385924132057,60.65465222562794]}"
6,7366,1172,1149,7812,8216,8352,8740,8149,7575,7288,7093,6586,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40341008367851,60.65303525811653]}"
7,8215,1179,1163,8336,8616,8856,9353,8794,8091,7680,7522,7580,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40403890437739,60.65590986702571]}"
8,7994,1181,1155,8824,9136,9216,9616,9000,8338,7992,7750,7493,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40323042062168,60.65420306798588]}"
9,8125,1169,1148,7700,7984,8232,8659,8219,7636,7368,7085,7431,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.403949072848974,60.65510138327]}"
10,7567,1185,1160,7152,7548,7816,8400,7959,7486,7148,7051,7083,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40367957826374,60.65366407881541]}"
11,8759,1189,1164,8172,8528,8696,8969,8424,7858,7612,7345,7757,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40430839896263,60.656179361610945]}"
12,8830,1190,1168,8392,8688,9008,9142,8620,8004,7832,7455,7860,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40466772507627,60.655999698554126]}"
13,7833,1185,1161,8328,8752,8904,9022,8460,7910,7872,7407,7636,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40314058909327,60.653574247287004]}"
14,7820,1175,1155,8296,8496,8720,9056,8498,7881,7644,7382,7300,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.403499915206915,60.65447256257112]}"
15,7727,1175,1153,7940,8408,8552,8697,8111,7555,7452,7117,7439,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40323042062168,60.65294542658812]}"
16,7585,1177,1154,8399,8744,8880,9065,8505,7897,7752,7360,7172,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40341008367851,60.654292899514296]}"
17,7366,1164,1154,7961,8295,8304,8907,8603,8002,7264,7116,6586,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40403890437739,60.65312508964494]}"
18,7864,1177,1165,8401,8777,8872,9195,8675,7923,7712,7419,6945,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40358974673533,60.65276576353129]}"
19,8830,1182,1160,8672,8848,9016,9133,8627,8045,7764,7480,7860,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.404757556604686,60.655730203968886]}"
20,8699,1187,1161,8312,8721,8856,9410,8805,8149,7844,7587,7664,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40457789354786,60.65438273104271]}"
21,7366,1172,1149,7812,8216,8352,8740,8149,7575,7288,7093,6586,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.403499915206915,60.65303525811653]}"
22,8125,1178,1160,8344,8640,8768,8776,8261,7699,7644,7155,7431,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.403769409792154,60.65528104632683]}"
23,7366,1183,1156,8256,8632,8696,8913,8402,7816,7576,7190,6586,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.40367957826374,60.65294542658812]}"
24,8759,1181,1171,8848,9024,9176,9568,8954,8273,7888,7691,7757,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.403949072848974,60.65626919313936]}"
25,9160,1122,1111,9160,9456,9488,9814,9108,8453,7988,7723,7904,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.14235508783152,60.697951022322506]}"
26,8649,1169,1150,8785,9096,9216,9596,8964,8410,8100,7851,7993,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.45138011985049,60.669025270173854]}"
27,8389,1166,1153,8792,9249,9264,9554,8935,8334,8080,7797,7856,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.45200894054937,60.66965409087274]}"
28,9285,1128,1121,9423,9688,9704,9963,9226,8529,8160,7853,8004,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.13337193499033,60.694806918828085]}"
29,9296,1124,1113,9512,9664,9672,9964,9268,8610,8264,7914,8036,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.135168565558565,60.69175264686208]}"
30,9144,1129,1116,9256,9592,9600,9924,9216,8587,8096,7883,7967,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.14478053909864,60.69426792965761]}"
31,9220,1133,1123,9456,9696,9712,10007,9286,8587,8272,7977,8033,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.13714485918363,60.69516624494173]}"
32,8451,1175,1153,9056,9408,9504,9866,9236,8640,8312,8023,7980,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.45173944596414,60.6678574603045]}"
33,9231,1113,1099,9383,9655,9656,9924,9193,8497,8116,7753,7904,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.140648288791695,60.69426792965761]}"
34,9277,1133,1126,9487,9704,9712,10007,9317,8647,8272,7939,8043,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.1376838483541,60.69498658188491]}"
35,8575,1166,1138,8888,9240,9304,9608,9016,8394,8120,7813,7903,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.450481804566365,60.66947442781591]}"
36,9172,1152,1127,9560,9705,9720,10025,9267,8649,8264,7953,8009,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.142085593246286,60.69687304398156]}"
37,9047,1155,1131,8296,8760,8832,9306,8718,8109,7724,7596,7957,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.453625908060786,60.667587965719264]}"
38,9251,1121,1109,9295,9623,9656,10000,9235,8526,8200,7831,7958,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.13552789167221,60.69399843507238]}"
