system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7667,203,167,8263,8768,8904,9082,8477,7924,7436,7172,7172,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.37082868455607,63.642898018251536]}"
1,6738,186,176,7361,7812,7992,8137,7632,7147,6756,6558,6578,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.358252270578404,63.64074206156965]}"
2,6880,199,175,7551,7945,7992,8288,7763,7227,6840,6544,6596,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.35528783014081,63.64047256698441]}"
3,7153,203,173,7671,8119,8200,8595,7969,7479,6972,6751,6766,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.35933024891934,63.64469464881977]}"
4,6793,178,157,7439,7760,7916,8086,7556,7039,6676,6454,6385,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.374960934863026,63.64406582812089]}"
5,7140,197,172,8052,8456,8520,8524,8016,7481,7132,6828,6808,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.36148620560123,63.644784480348186]}"
6,7348,191,165,7939,8304,8368,8538,8049,7475,7072,6880,6905,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.36507946673771,63.643077681308355]}"
7,7336,196,164,8201,8488,8552,8663,8074,7545,7148,6800,6892,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.36669643424912,63.643526838950415]}"
8,6900,189,170,7608,8011,8040,8225,7687,7180,6840,6571,6521,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.348909791623555,63.64182003991059]}"
9,7161,195,170,7968,8343,8456,8483,7969,7416,7036,6785,6774,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.3649896352093,63.64406582812089]}"
10,7220,198,160,7883,8312,8408,8635,8074,7505,7084,6846,6824,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.37442194569255,63.64316751283677]}"
11,6841,189,154,7340,7764,7792,8045,7528,7042,6576,6377,6467,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.34720299258373,63.64271835519471]}"
12,6952,194,166,7919,8199,8272,8296,7813,7320,6880,6661,6666,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.35627597695334,63.643437007422]}"
