system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8722,1233,1212,9328,9816,9832,10218,9540,8782,8632,8157,8314,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75338456980777,61.894506980769705]}"
1,8842,1214,1192,9120,9488,9696,10060,9486,8693,8592,8111,8426,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.751498107711114,61.89414765465606]}"
2,8484,1208,1192,9016,9392,9680,9980,9367,8675,8568,8054,8162,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.751318444654295,61.89396799159923]}"
3,8722,1237,1206,9104,9512,9704,9980,9395,8624,8504,8020,8314,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75338456980777,61.894327317712886]}"
4,9293,1247,1218,10320,10664,10808,10978,10333,9489,9416,8845,8745,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75302524369412,61.89486630688336]}"
5,8842,1240,1212,9680,10072,10208,10507,9815,9026,8944,8425,8426,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.751767602296354,61.894506980769705]}"
6,8722,1221,1200,9104,9576,9728,10046,9413,8673,8600,8085,8314,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75266591758047,61.894327317712886]}"
7,8842,1231,1199,9416,9840,10056,10377,9750,8994,8896,8351,8426,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75113878159747,61.894506980769705]}"
8,8842,1218,1193,9096,9544,9760,10057,9437,8699,8584,8075,8426,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.751767602296354,61.89414765465606]}"
9,8842,1218,1193,9096,9544,9760,10057,9437,8699,8584,8075,8426,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75185743382477,61.89414765465606]}"
10,8959,1228,1206,9248,9768,9960,10539,9908,9166,8824,8532,8696,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75482187426236,61.89486630688336]}"
11,9864,1249,1215,9952,10424,10592,10777,10129,9333,9224,8618,9132,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.751767602296354,61.89468664382653]}"
12,8959,1229,1207,9296,9808,9992,10450,9787,9046,8880,8482,8696,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75500153731918,61.89486630688336]}"
13,9073,1231,1206,9464,9904,10072,10479,9759,8984,8800,8352,8768,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75347440133618,61.89459681229812]}"
14,8959,1217,1199,8696,9184,9544,10043,9455,8716,8496,8178,8696,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75545069496124,61.89468664382653]}"
15,8842,1226,1207,9416,9784,9952,10210,9534,8790,8704,8193,8426,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.751767602296354,61.894327317712886]}"
16,8959,1219,1193,9016,9504,9776,10045,9465,8714,8680,8187,8696,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75500153731918,61.894776475354945]}"
17,9293,1233,1205,9888,10288,10392,10670,10004,9201,9120,8563,8745,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75257608605206,61.89468664382653]}"
18,9293,1247,1218,10016,10408,10544,10978,10333,9489,9232,8845,8745,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.753204906750945,61.894776475354945]}"
19,9073,1231,1206,9472,9928,10048,10479,9759,8984,8832,8352,8768,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75374389592142,61.89468664382653]}"
20,9073,1237,1204,9480,9960,10200,10565,9957,9191,9032,8557,8768,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75428288509189,61.89486630688336]}"
21,8842,1232,1209,9680,10072,10256,10475,9827,9039,8952,8327,8426,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75212692841,61.894506980769705]}"
22,9073,1238,1212,9032,9488,9752,10304,9620,8884,8624,8283,8768,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75401339050665,61.89468664382653]}"
23,9293,1233,1205,9888,10288,10392,10670,10004,9201,9120,8563,8745,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.752486254523646,61.89468664382653]}"
24,8261,1236,1202,9208,9576,9768,10017,9339,8651,8600,8025,8147,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.75347440133618,61.894327317712886]}"
25,9059,1145,1149,9048,9072,9088,9348,8691,7894,7704,7219,7456,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.744850574608634,61.8794152839965]}"
26,9059,1145,1149,9048,9072,9088,9348,8691,7894,7704,7219,7456,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.74494040613705,61.8794152839965]}"
27,8981,1157,1150,9112,9240,9264,9335,8696,7935,7856,7341,7532,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.74826417268829,61.88013393622379]}"
28,8981,1154,1143,9072,9128,9184,9390,8784,8007,7796,7380,7513,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.74925231950082,61.87932545246809]}"
29,8981,1155,1144,9064,9168,9184,9345,8713,7982,7864,7333,7513,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.749431982557645,61.87914578941126]}"
