system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8405,1164,1192,8880,9208,9632,9806,9545,9318,9640,9061,9215,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.644138628586518,77.22874888068993]}"
1,8335,1164,1195,8888,9008,9448,9641,9445,9255,9504,9031,9243,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.644138628586518,77.226143766366]}"
2,8587,1187,1239,9192,9440,9920,10040,9781,9594,10000,9288,9581,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.659859146058608,77.229198038332]}"
3,7923,1114,1110,8448,8648,8904,9073,8890,8666,9016,8546,8580,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.616380686307224,77.22479629343981]}"
4,7813,1099,1129,8376,8640,8848,9067,8774,8559,8968,8411,8458,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.613326414341216,77.22425730426934]}"
5,8201,1091,1128,8728,9024,9248,9436,9265,8936,9152,8702,8909,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.637580927012444,77.22964719597405]}"
6,8688,1230,1281,9224,9480,10048,10350,10080,9823,10144,9661,9765,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.67414235907611,77.23036584820136]}"
7,8695,1277,1318,9264,9608,10040,10331,10122,9938,10232,9695,9797,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.66264392343938,77.22641326095123]}"
8,8887,1310,1332,9440,9816,10248,10527,10317,10105,10544,9882,10079,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.679801745366063,77.22785056540582]}"
9,8690,1265,1294,9200,9368,9952,10215,9987,9789,10080,9535,9775,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.661925271212084,77.22704208165011]}"
10,8043,1095,1113,8496,8600,8968,9123,8905,8730,8944,8444,8655,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.619165463687995,77.22551494566711]}"
11,8582,1270,1285,9352,9512,10040,10171,9922,9708,10048,9526,9640,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.65482858046754,77.22497595649664]}"
12,8550,1237,1248,9240,9464,9968,9927,9708,9455,10048,9288,9596,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.655906558808482,77.22659292400806]}"
13,7978,1086,1096,8400,8592,8832,9072,8891,8643,8792,8376,8607,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.616740012420873,77.22596410330917]}"
14,8600,1263,1307,9184,9352,9944,10147,9896,9629,9960,9494,9657,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.660218472172257,77.22407764121252]}"
15,8368,1152,1182,8952,9192,9592,9670,9482,9293,9664,9011,9213,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.647192900552522,77.22865904916152]}"
16,8432,1201,1231,9120,9392,9744,9819,9578,9345,9808,9117,9418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.651414982387884,77.22668275553646]}"
17,8098,1069,1089,8288,8456,8696,9060,8822,8633,8752,8426,8693,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.62392653469383,77.22973702750247]}"
18,7989,1079,1116,8696,8744,9088,9110,8968,8750,9096,8471,8632,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.61988411591529,77.22767090234899]}"
19,7918,1101,1101,8456,8568,8880,8991,8807,8602,8960,8386,8556,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.61808748534705,77.22443696732617]}"
20,8667,1247,1280,9320,9504,10056,10264,10024,9772,10176,9642,9815,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.662554091910966,77.22569460872393]}"
21,8746,1260,1291,9456,9632,10216,10400,10187,10013,10344,9720,9908,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.681328881349064,77.230725174315]}"
22,8819,1288,1335,9432,9920,10336,10468,10239,10019,10480,9728,9988,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.67647797881482,77.22928786986041]}"
23,8216,1112,1147,8816,9032,9288,9526,9280,9052,9344,8723,8897,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.633808002819144,77.22901837527517]}"
24,8370,1158,1185,8952,9160,9520,9651,9452,9217,9504,8870,9129,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.64189284037622,77.22955736444565]}"
25,7285,1434,1430,7744,8056,8456,8801,8520,8501,9032,8302,8785,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.729209085992636,77.22578444025234]}"
26,6793,950,979,7476,7580,7840,7956,7806,7841,8092,7639,7877,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.742863478311254,77.2223708421727]}"
27,7420,895,917,7900,8232,8528,8505,8306,8055,8560,7810,7974,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.74421095123743,77.22228101064428]}"
28,5961,1140,1166,8944,9112,9176,9173,8949,8288,9280,8107,6837,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.75103814739674,77.22416747274093]}"
29,7550,1053,1088,7760,8040,8560,8918,8694,8237,8920,8351,8330,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.754541577004808,77.2217420214738]}"
30,8874,1005,1032,9872,10176,10488,10565,10274,9991,10440,9872,9696,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.76496203430059,77.22299966287157]}"
31,6946,769,811,8488,8584,8664,8963,8656,8372,8736,8183,7173,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.758314501198107,77.22281999981475]}"
32,8374,959,985,8912,9088,9464,9592,9346,9226,9584,8930,9147,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.75930264801064,77.22434713579776]}"
33,7393,1083,1094,7676,7964,8440,8708,8591,7847,8440,8068,8106,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.756697533686694,77.22344882051364]}"
34,6637,930,961,7904,8032,8544,8141,7981,7883,8624,7929,7212,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.7612789416357,77.22147252688858]}"
35,7449,804,843,7956,8264,8536,8801,8582,8386,8576,8106,8234,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.751756799624037,77.2254251141387]}"
36,8183,886,905,8416,8552,8936,9258,8973,8680,9048,8576,8814,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.758314501198107,77.22371831509886]}"
37,8702,929,953,9240,9272,9648,9811,9592,9375,9648,9172,9382,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.76109927857888,77.22335898898523]}"
38,5961,1432,1433,7172,7228,7772,8034,7923,7709,8216,7646,7370,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.724358183458392,77.22524545108188]}"
39,6220,1364,1402,7040,7420,8052,8640,8471,8397,8200,8113,7604,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.750588989754682,77.22210134758745]}"
40,7807,1048,1058,7840,8052,8352,8608,8338,8028,8576,7844,8645,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.766848496397245,77.22425730426934]}"
41,5418,1262,1279,6992,7160,7280,7983,7677,7664,7780,6924,6723,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.735587124509884,77.22407764121252]}"
42,8451,925,953,8792,8936,9184,9658,9345,9176,9256,9020,9332,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.75786534355605,77.22452679885458]}"
43,6640,1047,1068,8816,9032,9504,9392,9100,9065,9696,8568,7943,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.744300782765844,77.22246067370111]}"
44,6219,1290,1276,7368,7308,7948,7702,7438,7063,7960,7220,7322,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.73684476590765,77.22308949439999]}"
45,8374,970,1016,9072,9168,9632,9903,9660,9374,9680,9161,9147,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.760111131766347,77.22416747274093]}"
46,8281,1253,1284,9608,9816,10296,10176,9956,9772,10400,9514,9374,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.731275211146112,77.226143766366]}"
