system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7121,921,939,7184,7240,7640,7752,7675,7507,7744,7321,7885,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.199472562947353,77.28067150411205]}"
1,8337,1214,1232,8728,9032,9472,9647,9388,9156,9608,9049,9345,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.18096726809449,77.27977318882793]}"
2,8619,1309,1325,9328,9392,9792,9908,9559,9393,9872,9216,10599,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.256156257375295,77.2735748133675]}"
3,8863,1225,1225,9440,9752,10184,10518,10307,10125,10344,9708,10104,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.194441997356286,77.28210880856663]}"
4,8026,1121,1113,8400,8640,9000,9294,9066,8877,9216,8615,8884,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.22633218994253,77.27456296018003]}"
5,8703,1374,1384,9696,9968,10416,10675,10365,10264,10584,9885,9742,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.181955414907023,77.28417493372011]}"
6,7829,1107,1138,8368,8456,8864,8956,8760,8495,8936,8319,8501,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.251215523312638,77.27770706367446]}"
7,7478,993,1014,7936,8024,8328,8521,8319,8078,8440,7910,8151,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.2306441033063,77.27833588437333]}"
8,7815,1002,1051,8320,8520,8968,9119,8915,8637,9040,8430,8691,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.21456425972056,77.28435459677694]}"
9,7882,1146,1146,8320,8424,8768,8905,8736,8521,8888,8313,8575,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.25355114305135,77.27761723214604]}"
10,5806,716,736,6172,6212,6372,6423,6279,6100,6392,5879,6057,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.224894885487938,77.28076133564046]}"
11,8762,1326,1363,9528,9760,10400,10643,10465,10158,10656,9927,10180,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.18222490949226,77.28246813468029]}"
12,8985,1282,1312,9264,9504,10008,10438,10060,9919,9968,9588,10133,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.190758904691396,77.28570206970312]}"
13,6466,816,836,6732,6860,7000,7116,6882,6685,7008,6607,6787,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.238100120164493,77.2810308302257]}"
14,8050,1099,1169,8880,9032,9696,9815,9631,9319,9640,9163,9022,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.208635378845372,77.28417493372011]}"
15,6780,894,917,6944,7060,7264,7561,7356,7206,7284,6992,7183,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.24160354977256,77.2803121779984]}"
16,7740,1059,1084,8328,8568,8856,9004,8789,8587,8928,8450,8537,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.222020276578753,77.27483245476527]}"
17,7511,983,998,7704,7992,8232,8350,8165,7957,8352,7843,8362,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.200909867401947,77.28156981939617]}"
18,8141,1262,1268,8248,8312,8832,9313,8954,8727,8968,8560,10766,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.254898615977527,77.27079003598674]}"
19,6029,763,790,6288,6344,6524,6684,6593,6394,6616,6228,6434,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.21312695526597,77.27986302035634]}"
20,6458,835,834,6636,6664,6908,7181,6988,6823,6984,6679,6931,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.225433874658407,77.27941386271428]}"
21,7705,1054,1064,8060,8328,8728,8884,8666,8418,8800,8144,8447,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.22965595649377,77.27779689520287]}"
22,8723,1366,1367,9192,9384,9856,9994,9827,9565,10048,9363,10824,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.270169975807562,77.27617992769144]}"
23,6905,913,944,7128,7360,7560,7819,7597,7368,7612,7224,7420,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.211060830112498,77.27609009616303]}"
24,8835,1390,1390,9368,9528,10272,10808,10438,10350,10528,10148,10426,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.172523104423767,77.28004268341317]}"
