system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,10693,1894,1809,10080,10232,10264,9976,9820,9551,9456,9218,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61653163760832,69.71676698029727]}"
1,8779,1557,1556,7572,7756,8648,9018,8760,8439,6900,8006,7813,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61302820800025,69.71694664335409]}"
2,10693,1806,1756,9328,9032,9848,10966,10888,10613,8440,10038,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.615453659267374,69.71685681182568]}"
3,10693,1838,1790,9936,9800,9880,10849,10891,10611,9280,9993,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.615992648437846,69.71685681182568]}"
4,10693,1806,1756,9232,9328,10536,10966,10888,10613,8416,10038,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61536382773896,69.71694664335409]}"
5,8779,1571,1555,7616,7552,8448,8635,8386,8086,6860,7637,7813,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61275871341501,69.71694664335409]}"
6,10693,1806,1756,9232,9328,10536,10966,10888,10613,8416,10038,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.615453659267374,69.71694664335409]}"
7,10161,1745,1734,9168,8584,10032,10694,10624,10305,8028,9825,9173,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.615004501625315,69.71685681182568]}"
8,10693,1894,1809,10080,10232,10264,9976,9820,9551,9456,9218,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61662146913673,69.71676698029727]}"
9,10693,1838,1790,9936,9800,9880,10849,10891,10611,9280,9993,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61590281690943,69.71685681182568]}"
10,8779,1571,1555,7592,7524,8116,8635,8386,8086,6900,7637,7813,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61248921882978,69.71694664335409]}"
11,10693,1838,1790,10144,9848,10512,10849,10891,10611,9200,9993,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61608247996626,69.71694664335409]}"
12,8779,1571,1555,7592,7524,8116,8635,8386,8086,6900,7637,7813,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61257905035819,69.71694664335409]}"
13,10161,1847,1730,9272,8712,9056,9516,9882,9921,8264,9603,9173,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61509433315373,69.71676698029727]}"
14,10693,1842,1803,10528,10080,10416,10836,10736,10454,9592,9945,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61635197455149,69.71694664335409]}"
15,8779,1557,1556,7572,7756,8648,9018,8760,8439,6900,8006,7813,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61320787105708,69.71694664335409]}"
16,10693,1894,1809,9584,9864,9904,9976,9820,9551,9024,9218,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61662146913673,69.71667714876885]}"
17,10693,1909,1786,9704,9240,9280,9625,9701,9629,8712,9354,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61572315385261,69.71676698029727]}"
18,10161,1613,1620,7724,7756,8968,9432,9382,9074,6956,8729,9173,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61374686022755,69.71694664335409]}"
19,8779,1557,1556,7656,7976,8896,9018,8760,8439,6932,8006,7813,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.613297702585484,69.71694664335409]}"
20,10161,1745,1734,8352,8744,10312,10694,10624,10305,7528,9825,9173,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.614555343983255,69.71694664335409]}"
21,10693,1868,1756,9192,9008,9168,9621,9888,9884,8256,9596,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61527399621055,69.71676698029727]}"
22,10693,1838,1790,10144,9848,10512,10849,10891,10611,9200,9993,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61590281690943,69.71694664335409]}"
23,10693,1909,1786,9704,9240,9280,9625,9701,9629,8712,9354,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61581298538102,69.71676698029727]}"
24,10693,1838,1790,9936,9800,9880,10849,10891,10611,9280,9993,9805,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.61608247996626,69.71685681182568]}"
25,7019,1379,1374,7164,7084,7100,7280,7084,6768,6724,6401,6507,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63656406844418,69.71694664335409]}"
26,6820,1389,1369,7100,7016,7020,7158,6924,6640,6724,6306,6407,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63872002512607,69.71515001278586]}"
27,5650,1361,1353,6752,6660,6704,7073,6890,6651,6372,6364,5657,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63692339455783,69.71721613793933]}"
28,5955,1327,1313,6504,6436,6440,6580,6341,6097,6088,5770,5764,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.639528508881774,69.71380253985967]}"
29,7145,1409,1413,7248,7180,7240,7385,7193,6933,6780,6551,6664,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63602507927371,69.71577883348473]}"
30,5902,1308,1309,6648,6572,6656,6988,6639,6423,6312,6105,6007,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.635036932461176,69.71272456151873]}"
31,6955,1384,1383,7624,7548,7644,7698,7437,7162,7256,6814,6697,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63872002512607,69.71577883348473]}"
32,7145,1416,1414,7352,7236,7284,7488,7283,7059,6932,6714,6664,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63683356302942,69.71595849654156]}"
33,7112,1421,1437,7388,7244,7248,7334,7102,6913,6876,6568,6627,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63449794329071,69.7163178226552]}"
34,6780,1372,1364,6752,6628,6700,6935,6743,6518,6348,6138,6230,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.634767437875944,69.71497034972903]}"
35,5429,1260,1242,6096,6064,6084,6265,6063,5838,5792,5481,5363,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.64231328626255,69.71470085514379]}"
36,7001,1395,1390,7040,6908,6976,7173,6992,6771,6580,6430,6526,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.636204742330534,69.71515001278586]}"
37,6861,1325,1322,7032,6864,6892,6933,6712,6393,6384,6086,6179,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.634318280233884,69.7139822029165]}"
38,6923,1379,1387,7080,6960,7012,7145,6941,6705,6628,6331,6406,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63449794329071,69.71559917042791]}"
39,7019,1395,1390,7164,7004,7068,7168,6935,6713,6604,6324,6507,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63683356302942,69.71667714876885]}"
40,7779,1467,1467,7836,7664,7684,7801,7632,7357,7332,7048,7321,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63207249202358,69.71640765418361]}"
41,7001,1391,1387,7168,7044,7148,7245,7033,6814,6736,6440,6526,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63638440538736,69.71532967584267]}"
42,6619,1351,1316,6832,6600,6636,6801,6617,6354,6332,6009,6209,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63557592163165,69.71344321374602]}"
43,6923,1384,1376,7060,6936,6944,7039,6872,6601,6584,6277,6406,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.635036932461176,69.7155093388995]}"
44,6324,1294,1288,6876,6724,6736,6807,6499,6237,6328,5863,5848,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.6381810359556,69.71191607776302]}"
45,6520,1330,1318,6648,6488,6560,6658,6394,6205,6192,5851,5944,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63656406844418,69.71371270833126]}"
46,6349,1317,1321,6796,6664,6680,6788,6551,6296,6280,5954,5956,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.638091204427184,69.7132635506892]}"
47,7260,1401,1398,7620,7548,7652,7861,7584,7346,7240,6889,6940,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.6381810359556,69.71568900195632]}"
48,6502,1328,1315,6688,6688,6692,6883,6624,6403,6404,6128,6127,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.64069631875113,69.71515001278586]}"
49,6575,1356,1341,6712,6648,6716,6852,6593,6385,6312,6027,6042,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.63656406844418,69.71425169750174]}"
