system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5408,787,1029,7233,7240,7316,7606,7022,6401,6772,5784,5613,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.254898615977527,77.27079003598674]}"
1,8054,298,269,8840,9328,9360,9562,8874,8262,8189,7561,7827,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.22812882051077,77.2742934655948]}"
2,7583,300,263,7737,8127,8743,9493,8802,8216,7771,7583,7770,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.250227376500106,77.27339515031068]}"
3,6832,703,727,7132,7440,7927,8088,7554,7112,6689,6577,6803,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.227230505226647,77.26998155223103]}"
4,7152,292,375,8124,8440,8454,8589,7881,7207,7104,6544,6531,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.21025234635679,77.27339515031068]}"
5,7136,324,381,9177,9625,9928,9916,9197,8421,8520,7703,7396,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.253012153880878,77.27294599266862]}"
6,7636,460,318,8040,8036,8256,8314,7918,7439,6904,6871,6812,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.2103421778852,77.27222734044132]}"
7,7821,282,219,8559,8888,9305,9749,9190,8678,8057,7985,7900,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.232620396931363,77.27339515031068]}"
8,7493,374,357,8377,8504,9176,9159,8415,7916,7495,7228,7489,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.22507454854476,77.2720476773845]}"
9,6264,583,726,7145,7195,7680,7890,7194,6609,7119,6055,6520,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.255347773619587,77.27159851974244]}"
10,6923,374,478,7992,7964,8504,8991,8458,7748,7248,6879,7160,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.254808784449118,77.2721375089129]}"
11,7012,344,279,7541,8001,8137,8513,8178,7692,7377,7154,7467,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.251844344011523,77.27177818279927]}"
12,7116,574,593,7316,7768,8255,8578,7945,7414,7044,6832,7099,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.256156257375295,77.27285616114021]}"
13,7956,304,315,9424,9920,9961,9947,9249,8613,8663,7927,7934,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.26379193729031,77.2750121178221]}"
14,7779,385,354,8967,9479,9678,9700,8953,8354,8376,7638,7772,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.25076636567058,77.27393413948116]}"
15,6998,302,287,7437,7697,7836,8113,7543,7005,6748,6365,6467,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.206928579805545,77.27393413948116]}"
16,7523,590,460,8025,8328,8488,8627,8078,7698,7111,7246,7366,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.261007159909543,77.27303582419704]}"
17,7158,430,426,7597,8033,8479,8968,8361,7759,6864,7038,7113,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.269002165938204,77.27375447642433]}"
18,7563,433,334,7640,8004,8035,8347,7841,7347,6807,6768,7174,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.217438868629745,77.27267649808338]}"
19,6860,318,387,8641,9160,9256,9170,8408,7922,7911,7168,7015,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.235405174312135,77.26944256306055]}"
20,7898,376,406,8728,9121,9169,9024,8305,7679,7743,6937,7199,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.218786341555923,77.27411380253797]}"
21,7304,448,357,7867,7962,8351,8658,8331,7904,7523,7326,7394,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.234057701385957,77.26998155223103]}"
22,7898,287,396,9135,9440,9489,9595,8760,7919,7984,7158,7199,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.21995415142528,77.27447312865162]}"
23,7606,243,229,9496,9888,10104,10117,9451,8800,8611,8034,7920,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.247262936062512,77.27330531878226]}"
24,6514,664,664,7211,7477,7792,8060,7584,7084,6907,6579,6641,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-20.246993441477276,77.27079003598674]}"
