system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,10015,1952,2013,9976,10120,10240,10364,10165,9883,9960,9567,9364,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.86172596735443,60.64872334475275]}"
1,10218,1910,1990,10504,10480,10584,10720,10464,10166,10224,9735,9725,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.863971755564734,60.64432159986057]}"
2,10302,2013,2081,10376,10536,10592,10820,10462,10117,10272,9779,10039,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.877087158712875,60.646657219599284]}"
3,10147,1956,2026,10368,10456,10632,10869,10537,10214,10344,9980,10075,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.838279938438916,60.64872334475275]}"
4,10044,1887,1961,10248,10368,10496,10658,10374,10022,10152,9820,9912,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.86064798901349,60.6408181702525]}"
5,9717,1765,1832,9688,9696,9792,9895,9817,9507,9432,9224,9353,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.82983577476819,60.644950420559454]}"
6,10192,2010,2090,10456,10504,10672,10832,10466,10150,10376,9893,10009,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.86765484822962,60.649531828508465]}"
7,9978,1871,1951,10336,10216,10584,9968,9699,9206,10056,9173,9321,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.851575004643884,60.64944199698005]}"
8,10154,1930,1999,9952,9960,10064,10423,10172,9803,9688,9578,9777,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.85265298298483,60.64836401863911]}"
9,10206,1892,1966,10336,10440,10496,10803,10525,10151,10280,9909,10074,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.85507843425195,60.64144699095139]}"
10,9974,1945,2022,10416,10424,10608,10726,10454,10182,10208,9713,9525,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.84654443905281,60.64647755654246]}"
11,10181,1883,1963,10360,10464,10544,10692,10395,10066,10240,9776,10034,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.85283264604165,60.6415368224798]}"
12,10321,1927,2011,10496,10576,10720,10438,10539,10173,10328,9558,10084,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.87268541382069,60.6468368826561]}"
13,10042,1922,2003,10576,10616,10792,10719,10429,10180,10448,9746,9792,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.84546646071187,60.64396227374692]}"
14,10062,1969,2061,10472,10480,10720,10786,10419,10100,10360,9902,9802,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.84789191197899,60.64728604029816]}"
15,9708,1996,2030,10592,10720,10760,10875,10124,9734,10592,9608,9344,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.84573595529711,60.64791486099705]}"
16,9854,1844,1885,9192,9152,9256,9670,9575,9648,8600,9128,9040,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.843310504029986,60.65276576353129]}"
17,10180,1869,1948,10192,10208,10232,10257,9828,9570,9864,9380,9914,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.868283668928505,60.64432159986057]}"
18,10100,1826,1901,9984,9832,9848,9877,9582,9315,9536,9041,9445,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.83549516105814,60.64557924125834]}"
19,9920,1826,1927,10128,10208,10392,10048,9857,9224,9840,8857,8928,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.8614564727692,60.654562394099536]}"
20,10192,1976,2053,10048,10192,10232,10602,10382,10037,9960,9739,10062,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.87457187591734,60.648274187110694]}"
21,10180,1916,1980,10376,10448,10456,10760,10548,10140,10136,9816,9914,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.869002321155804,60.64414193680375]}"
22,10348,1833,1876,10120,9992,10208,10260,9856,9543,9784,9437,9936,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.85435978202465,60.644231768332155]}"
23,10216,1804,1903,9400,9392,9440,9599,9171,8951,9160,8627,9766,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.850946183945,60.64468092597422]}"
24,10055,1859,1952,10072,10184,10224,10217,10318,9961,9896,9385,9593,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.85049702630294,60.644501262917395]}"
