"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
0,8320,248,227,9120,9456,10272,10702,10142,9379,9104,8750,8196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88483427550094,49.12495521701071]}"
1,8398,247,214,8672,9104,10040,10445,9915,9179,8856,8461,8077,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88483427550094,49.12567386923801]}"
2,9275,260,226,9120,9496,10384,10797,10257,9497,9264,8861,8615,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88456478091571,49.12495521701071]}"
3,6918,221,193,8032,8168,8864,9302,8913,8258,8072,7647,7181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.8830376449327,49.13124342399955]}"
5,6997,226,182,7728,7948,8944,9636,9018,8536,8144,7773,7311,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88186983506334,49.131602750113196]}"
6,5713,226,195,8136,8264,9208,9855,9338,8667,8384,7997,5494,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88142067742129,49.13142308705637]}"
7,6918,223,192,7452,7660,8536,9479,8833,8297,7968,7735,7181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88285798187587,49.13151291858478]}"
8,6997,230,196,7964,8040,9024,9725,9152,8510,8216,7904,7311,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88169017200651,49.13142308705637]}"
9,6997,234,182,7716,7788,8744,9569,9130,8348,8060,7906,7311,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88213932964858,49.13169258164161]}"
10,6918,233,194,7248,7536,8616,9375,9065,8294,8052,7774,7181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88249865576223,49.131602750113196]}"
11,6918,228,215,7760,7876,8824,9459,9062,8384,8148,7746,7181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88231899270541,49.13124342399955]}"
12,9275,265,243,9264,9600,10416,10841,10260,9520,9256,8941,8615,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88456478091571,49.124865385482295]}"
13,9275,265,243,9128,9520,10448,10841,10260,9520,9296,8941,8615,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.8844749493873,49.12477555395389]}"
14,8320,233,210,8488,8792,9872,10397,9840,9165,8880,8543,8196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88519360161459,49.12495521701071]}"
15,6997,226,182,7728,7948,8944,9636,9018,8536,8144,7773,7311,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88186983506334,49.13169258164161]}"
16,9275,265,243,9208,9672,10472,10841,10260,9520,9352,8941,8615,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88438511785888,49.124865385482295]}"
17,8320,246,242,9120,9520,10400,10801,10227,9509,9208,8826,8196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88483427550094,49.124865385482295]}"
19,6918,221,193,7868,7972,8848,9302,8913,8258,8012,7647,7181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88285798187587,49.131333255527956]}"
20,6997,234,201,7668,7904,8904,9620,9112,8477,8172,7916,7311,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88195966659175,49.131333255527956]}"
21,8320,246,242,9032,9456,10304,10801,10227,9509,9184,8826,8196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.88483427550094,49.12477555395389]}"
