system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,4641,901,754,6348,6476,6524,5753,5729,5541,5788,4892,3629,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60671128925568,49.82447332875458]}"
1,7341,555,561,5856,5700,5976,5740,5264,5014,4800,4747,5076,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.6060824685568,49.82555130709552]}"
2,8436,170,139,8544,8616,8624,8692,8262,7789,7284,7086,6400,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60976556122169,49.82070040456128]}"
3,5543,571,453,6396,6408,6548,7248,6204,5934,5380,5736,4297,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60572314244315,49.82348518194205]}"
4,6287,280,252,7812,7624,7696,7932,7882,7287,6621,6578,4577,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60572314244315,49.82600046473758]}"
5,7151,947,1010,5336,5560,5848,5700,5167,4938,5437,4935,5094,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60698078384092,49.82429366569776]}"
6,6287,387,339,6972,7188,7232,8188,7478,7048,6247,6533,4577,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60581297397157,49.826090296265996]}"
7,8370,128,138,9072,9080,9112,9265,8480,7911,7520,7404,6067,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60976556122169,49.82016141539081]}"
8,3651,1041,990,6432,6156,6424,4946,4747,4312,5672,4625,3076,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60527398480109,49.82483265486823]}"
9,5820,468,389,7624,7724,8000,8582,8749,8192,6749,6988,4145,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60814859371027,49.82114956220334]}"
10,4667,388,424,8320,7992,8024,8237,7758,7219,6547,6639,3949,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60742994148298,49.821508888316984]}"
11,5543,604,541,8280,8424,8504,7289,7090,6659,7284,6317,4297,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.6059926370284,49.82330551888523]}"
12,3651,714,707,5728,5596,5804,4169,4412,4196,4964,3890,3076,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60554347938633,49.82528181251029]}"
13,6168,513,464,5580,5620,5772,6675,6082,5616,4887,5497,4264,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60751977301139,49.822317372072696]}"
14,5543,571,453,6000,5848,6276,7248,6204,5934,5127,5736,4297,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.6059926370284,49.82348518194205]}"
15,5543,720,608,5748,5928,6088,6009,6041,5797,5111,5191,4297,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60581297397157,49.82357501347046]}"
16,7341,555,561,6304,6124,6416,5740,5264,5014,5423,4747,5076,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.6061723000852,49.82555130709552]}"
17,6840,408,433,7496,7032,7368,7436,6751,6282,6014,6027,5058,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.6060824685568,49.82348518194205]}"
18,6840,518,410,6396,6596,6812,7502,6968,6618,5882,6084,5058,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60644179467045,49.82366484499887]}"
19,7341,332,311,6888,6752,6968,7131,6735,6317,5935,5902,5076,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.6059926370284,49.825371644038704]}"
20,3186,1108,1016,5584,5700,6020,4747,4696,4354,5196,4322,2926,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60509432174428,49.82483265486823]}"
21,6840,670,596,7548,6844,7304,6875,6969,6636,6100,5779,5058,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60626213161362,49.82366484499887]}"
