system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6848,1242,1240,7276,7721,8152,8233,8108,7907,7800,7528,6928,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44971156917408,38.77627331242541]}"
1,6068,1192,1171,6604,6887,7103,6947,6802,6610,6668,6270,6024,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4423453838443,38.77636314395382]}"
2,6877,1409,1378,8408,8832,8928,8835,8452,8284,8328,7830,6918,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.45905404812893,38.77744112229477]}"
3,6580,1280,1268,7216,7635,8084,8189,8027,7781,7704,7434,6859,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44584881345237,38.77681230159588]}"
4,6877,1347,1322,7908,8352,8632,8623,8668,8174,8056,7770,6918,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.45923371118575,38.777351290766354]}"
5,6918,1314,1301,7832,8240,8584,8510,8292,8127,8232,7735,7001,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.45016072681615,38.77600381784018]}"
6,6347,1347,1331,6892,7288,7552,7608,7557,7166,7148,6933,6435,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.45941337424257,38.77771061688]}"
7,5776,1267,1229,5776,6124,6160,6853,6876,6546,6000,6333,5758,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.47899664743638,38.78579545443708]}"
8,6613,1312,1303,7816,8279,8704,8812,8651,8354,8040,7906,6999,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.45851505895845,38.77654280701065]}"
9,6068,1175,1160,6412,6648,6880,6871,6852,6596,6481,6318,6024,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44252504690112,38.776632638539056]}"
10,5913,1236,1222,6340,6620,6796,6537,6572,6320,6512,6042,6042,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48025428883415,38.785705622908665]}"
11,6545,1285,1264,7480,7928,8344,8368,8139,7845,7797,7478,6826,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.46318629843587,38.778339437578886]}"
12,6582,1244,1234,7432,7767,8192,8374,8213,7998,7876,7580,6810,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44899291694679,38.776452975482236]}"
13,5913,1247,1223,6156,6528,6868,7096,6819,6676,6524,6191,6042,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.47989496272051,38.78561579138025]}"
14,6613,1302,1293,8152,8584,8936,8859,8639,8319,8256,7878,6999,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.45815573284482,38.77654280701065]}"
15,6617,1273,1261,7380,7756,8132,8209,8106,7901,7764,7561,6746,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.45114887362868,38.77636314395382]}"
16,5608,1176,1171,5716,6045,6464,7013,6851,6701,6152,6371,5564,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44279454148636,38.777081796181115]}"
