system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7975,1157,1138,8303,8720,8992,9130,8863,8521,8344,8077,7203,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79709466382495,36.74131969930946]}"
1,8020,1157,1139,8304,8656,8976,9097,8803,8483,8264,8050,7200,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79700483229654,36.741499362366284]}"
2,8089,1157,1138,8392,8720,8968,9092,8827,8488,8239,8013,7179,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79691500076814,36.742487509178815]}"
3,8194,1160,1138,8432,8752,8992,9160,8852,8529,8368,8113,7220,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79529803325671,36.7416790254231]}"
4,8026,1158,1141,8199,8599,8839,9057,8747,8456,8191,8068,7177,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79673533771131,36.74230784612199]}"
5,8383,1161,1143,8592,8904,9080,9205,8876,8529,8288,8007,7200,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7943997179726,36.74230784612199]}"
6,8054,1163,1137,8159,8519,8839,9070,8745,8465,8224,8007,7170,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79628618006925,36.74284683529246]}"
7,8194,1162,1136,8496,8847,9079,9246,8864,8569,8385,8119,7220,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7952082017283,36.7415891938947]}"
8,8248,1159,1139,8479,8783,8991,9246,8899,8566,8352,8113,7230,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79502853867147,36.74212818306517]}"
9,7952,1154,1137,8184,8552,8808,9034,8741,8461,8232,8018,7172,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79673533771131,36.7416790254231]}"
10,8383,1161,1143,8488,8855,9040,9205,8876,8529,8296,8007,7200,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79448954950101,36.7423976776504]}"
11,8054,1159,1139,8224,8646,8904,9094,8747,8469,8240,7986,7170,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79655567465448,36.742667172235635]}"
12,8089,1157,1138,8272,8672,8872,9092,8827,8488,8232,8013,7179,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.79691500076814,36.74257734070723]}"
