system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,4409,448,432,5272,5428,6024,5570,4921,4892,5513,4535,6950,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.15690779543426,42.97212434149087]}"
1,3921,829,773,5396,5624,6572,5688,5289,4689,6136,4931,6282,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.16211802408215,42.972753162189754]}"
2,4289,332,320,5216,5220,6192,6227,5868,5873,5541,5155,6824,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.15609931167855,42.97221417301928]}"
3,3545,565,450,5516,5524,6584,4199,3901,3978,5815,3456,5905,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.16202819255374,42.97320231983181]}"
4,6289,293,287,7640,8096,8944,9475,8985,8378,8121,8049,9388,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.15843493141726,42.97149552079199]}"
5,3921,405,323,6484,6884,7992,8372,7533,7111,7104,7016,6282,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.16193836102533,42.97248366760452]}"
6,4289,328,297,5260,5368,5936,5401,5299,5003,5507,4771,6824,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.15618914320696,42.97194467843405]}"
7,3889,208,178,5788,5860,6684,6568,6206,5877,6181,5571,6482,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.1557399855649,42.972753162189754]}"
8,3921,863,655,5540,5668,6644,6395,5931,5653,6432,5448,6282,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.16202819255374,42.97266333066134]}"
9,3921,863,655,5540,5668,6644,6395,5931,5653,6432,5448,6282,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.16211802408215,42.97266333066134]}"
10,3889,208,178,5788,5860,6684,6568,6206,5877,6181,5571,6482,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.155650154036486,42.972753162189754]}"
11,3921,863,655,5600,5796,6880,6395,5931,5653,6776,5448,6282,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.16211802408215,42.972573499132935]}"
12,4470,229,196,5956,6324,7348,6797,6837,6290,6748,6158,7514,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.160590888099144,42.97347181441705]}"
13,4470,211,184,5656,5996,6860,6912,6574,6075,6187,6033,7514,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.16050105657074,42.97347181441705]}"
14,4470,211,184,5656,5996,6860,6912,6574,6075,6187,6033,7514,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.160411225042324,42.97347181441705]}"
15,4409,448,432,5560,5836,6380,5570,4921,4892,5711,4535,6950,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.15690779543426,42.97221417301928]}"
16,3911,203,180,5044,5104,5996,6299,5946,5607,5217,5293,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.15609931167855,42.972573499132935]}"
17,3921,829,773,5396,5624,6572,5688,5289,4689,6136,4931,6282,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.16202819255374,42.972753162189754]}"
18,3921,863,655,5600,5796,6880,6395,5931,5653,6776,5448,6282,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.16202819255374,42.972573499132935]}"
19,3911,203,180,5044,5104,5996,6299,5946,5607,5217,5293,6550,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.15600948015014,42.972573499132935]}"
