system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7759,272,275,8144,8600,8768,8866,8449,7943,7484,7350,6385,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.14173872391356,43.562856472327866]}"
1,7759,270,270,8100,8560,8776,8904,8501,7964,7525,7413,6385,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.1420082184988,43.562676809271046]}"
2,7670,274,277,8180,8624,8816,8957,8500,7981,7639,7423,6434,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.13949293570327,43.561239504816456]}"
3,7937,553,585,8424,8680,8784,8732,8424,8179,7867,7646,6799,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12907247840748,43.5615988309301]}"
4,7501,266,266,8084,8544,8792,8783,8391,7890,7567,7321,6386,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.14218788155563,43.561868325515334]}"
5,8269,413,410,8592,8952,9128,9143,8811,8308,8003,7833,6817,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.1344623701122,43.55872422202092]}"
6,7936,350,357,8184,8464,8592,8635,8242,7855,7624,7392,6564,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.13374371788491,43.5607903471744]}"
7,6541,340,366,8368,8680,8920,9004,8650,8171,7884,7690,6138,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.13356405482808,43.559981863418685]}"
8,9085,830,879,10216,10432,10480,10091,9936,9601,9696,9440,7760,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12709618478242,43.56132933634487]}"
9,7802,610,621,8704,8864,8968,8961,8658,8331,8072,8018,6417,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.1291623099359,43.56150899940169]}"
10,8121,358,362,8416,8792,8944,9072,8700,8210,7872,7748,6762,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.14236754461245,43.55773607520839]}"
11,8348,407,417,8680,9024,9192,9184,8771,8313,8052,7829,6857,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.13491152775426,43.55944287424821]}"
12,7686,657,526,8156,8552,8624,8703,8346,7863,7581,7355,6414,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12772500548131,43.565461586651814]}"
13,8259,369,387,8576,8936,9136,9254,8854,8393,7881,7839,6835,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.13706748443614,43.55827506437886]}"
14,7744,268,268,8080,8528,8680,8737,8354,7794,7388,7180,6218,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.13527085386791,43.56411411372564]}"
15,8259,384,375,8848,9312,9408,9366,9004,8529,8200,7980,6835,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.1367979898509,43.55845472743568]}"
16,8349,410,424,8832,9160,9280,9330,8915,8441,8216,7953,6965,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.13805563124868,43.55602927616856]}"
17,7661,260,254,8092,8512,8632,8675,8285,7744,7349,7150,6186,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.13509119081108,43.56375478761199]}"
18,7701,284,277,8100,8472,8552,8652,8214,7610,7215,7013,6135,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.1344623701122,43.56474293442452]}"
19,8376,406,397,8960,9464,9664,9790,9315,8773,8416,8173,7035,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12296393447546,43.56195815704375]}"
20,9145,425,432,9216,9672,9768,9870,9397,8828,8543,8264,7497,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12610803796989,43.562137820100574]}"
21,7721,277,276,8116,8512,8728,8813,8414,7836,7376,7245,6305,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.14066074557263,43.56258697774263]}"
22,7730,272,257,8136,8552,8760,8767,8373,7792,7404,7227,6316,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.13652849526568,43.565461586651814]}"
23,7345,355,342,7764,8172,8232,8324,7965,7461,7052,6901,6118,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.13329456024285,43.565012429009755]}"
24,8200,313,318,8664,9184,9544,9581,9148,8670,8271,8086,7009,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.14452350129434,43.55611910769697]}"
