system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7403,221,198,8056,8192,8360,8449,8163,7833,7540,7311,6216,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89284300437515,48.61462230410241]}"
1,7806,203,182,8224,8512,8624,8783,8450,8106,7752,7506,6557,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89778373843781,48.61165786366482]}"
2,8310,266,252,8896,9072,9160,9288,8884,8432,8084,7796,6759,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.90128716804588,48.61561045091494]}"
3,7815,200,173,8264,8344,8528,8706,8371,8002,7680,7490,6511,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.8969752546821,48.61426297798876]}"
4,7900,202,200,8472,8680,8856,8928,8589,8225,7884,7651,6636,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89984986359129,48.6107595483807]}"
5,8096,205,195,8608,8856,8992,9065,8705,8319,7900,7720,6687,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.90128716804588,48.61031039073863]}"
6,8036,191,174,8568,8728,8864,8877,8571,8239,7828,7552,6577,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.8947294664718,48.61596977702859]}"
7,7861,191,176,8312,8272,8312,7332,7154,6930,7548,6416,6448,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.90416177695506,48.608962917812455]}"
8,7900,206,202,8360,8640,8800,8914,8553,8171,7812,7647,6636,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.8992210428924,48.6107595483807]}"
9,7999,248,244,8560,8752,8904,8915,8607,8210,7896,7642,6516,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89508879258545,48.60671712960216]}"
10,7908,218,190,8512,8656,8728,8878,8483,8101,7708,7486,6501,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.8953582871707,48.61417314646035]}"
11,7903,212,195,8320,8568,8744,8862,8545,8155,7804,7547,6592,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89949053747765,48.61201718977846]}"
12,7886,256,218,8264,8472,8624,8768,8454,8084,7648,7509,6546,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89580744481275,48.609232412397695]}"
13,8093,252,226,8680,8880,9040,9125,8709,8290,7960,7689,6680,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.90164649415952,48.61237651589211]}"
14,7744,251,219,8128,8384,8544,8705,8391,8025,7636,7516,6474,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89571761328433,48.60959173851134]}"
15,8118,277,243,8456,8608,8680,8797,8434,8059,7672,7493,6544,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89401081424451,48.60887308628404]}"
16,7795,236,199,8200,8416,8616,8793,8469,8092,7728,7569,6555,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89805323302305,48.60977140156817]}"
17,7987,271,217,8544,8784,8920,9039,8662,8242,7892,7595,6614,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.8999396951197,48.613993483403526]}"
18,7726,226,210,8280,8464,8544,8674,8386,8024,7720,7469,6505,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89517862411387,48.61120870602276]}"
19,7787,235,217,8304,8528,8616,8809,8477,8082,7728,7574,6517,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89598710786957,48.610400222267046]}"
20,8146,200,188,8616,8808,8952,9020,8718,8272,7924,7724,6717,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.90317363014253,48.60806460252834]}"
21,8578,208,210,9008,9184,9288,9361,8951,8510,8172,7884,6899,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.90577874446647,48.606088308903274]}"
22,7903,214,202,8376,8632,8752,8890,8576,8165,7824,7553,6592,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.8999396951197,48.61219685283529]}"
23,7958,277,231,8416,8616,8784,8892,8583,8181,7792,7566,6620,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.90020918970494,48.613005336590994]}"
24,8034,221,187,8544,8776,8928,8976,8676,8217,7924,7612,6642,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.89904137983558,48.60761544488628]}"
