system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8785,1118,1092,9007,9488,9680,9845,9442,8870,8544,8259,7437,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14591048864857,36.73071957895685]}"
1,8649,1125,1108,8935,9416,9600,9733,9317,8795,8432,8166,7290,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14276638515415,36.734851829263796]}"
2,8369,1137,1119,8816,9279,9488,9688,9270,8805,8456,8223,7271,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14411385808033,36.735300986905855]}"
3,8488,1115,1099,8990,9496,9680,9809,9446,8994,8719,8385,7427,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14797661380204,36.730989073542084]}"
4,8866,1160,1128,9369,9848,9984,10089,9527,9012,8656,8350,7386,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13836464026195,36.73610947066157]}"
5,8315,1132,1102,8679,9120,9392,9560,9211,8810,8464,8235,7317,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14716813004634,36.733863682451265]}"
6,8677,1122,1110,8968,9424,9576,9690,9229,8718,8376,8075,7333,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14420368960874,36.73215688341144]}"
7,8898,1135,1106,9408,9864,10015,10139,9646,9014,8640,8321,7404,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14025110235862,36.73045008437161]}"
8,9151,1121,1099,9688,10143,10280,10317,9769,9189,8896,8552,7501,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13926295554609,36.728653453803375]}"
9,8935,1154,1124,9344,9879,9968,10103,9619,9020,8656,8409,7421,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13755615650625,36.73521115537745]}"
10,9389,1148,1116,9703,10168,10320,10441,9906,9411,9016,8786,7818,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13396289536978,36.73422300856492]}"
11,9151,1121,1108,9016,9472,9664,10132,9577,9025,8520,8355,7501,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13953245013131,36.72856362227496]}"
12,8819,1125,1106,9192,9760,9895,10034,9510,8981,8568,8342,7427,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13953245013131,36.73422300856492]}"
13,8915,1145,1124,9432,9928,10064,10123,9651,9066,8728,8430,7501,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13989177624497,36.73179755729779]}"
14,8833,1120,1099,9104,9504,9640,9712,9219,8652,8328,8091,7332,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14204773292686,36.73089924201367]}"
15,8502,1118,1109,8881,9304,9560,9751,9355,8878,8585,8252,7319,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14932408672821,36.73125856812732]}"
16,8752,1119,1094,9200,9752,9919,10059,9541,8961,8584,8318,7406,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13926295554609,36.73494166079221]}"
17,8967,1129,1101,9335,9832,9945,10031,9543,8964,8608,8313,7373,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14186806987003,36.73000092672955]}"
18,8135,1140,1117,8568,9016,9248,9437,9106,8689,8407,8199,7239,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14635964629062,36.73539081843427]}"
19,9465,1150,1127,9728,10207,10368,10487,9957,9428,9064,8801,7859,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13351373772771,36.73305519869556]}"
20,9389,1156,1131,9791,10272,10344,10488,9984,9452,9096,8798,7818,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.13360356925612,36.73449250315015]}"
21,8314,1132,1117,8640,9072,9281,9516,9173,8746,8416,8205,7289,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14680880393269,36.73449250315015]}"
22,7965,1126,1104,8320,8767,9057,9202,8916,8599,8343,8158,7261,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14959358131345,36.73314503022397]}"
23,8649,1125,1108,8727,9240,9416,9733,9317,8795,8295,8166,7290,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.14294604821097,36.734851829263796]}"
24,7996,1151,1130,8408,8872,9048,9172,8870,8448,8264,7962,7118,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1454613310065,36.73619930218998]}"
