system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7978,1229,1199,8304,8616,8920,9052,8899,8513,8390,8113,7321,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23119846943094,43.02135201906062]}"
1,8263,1212,1188,8256,8584,8824,9089,8802,8407,8130,7958,7217,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.234073078340124,43.02036387224809]}"
2,7528,1212,1190,7756,8188,8672,8912,8739,8437,8249,8019,7193,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23119846943094,43.02054353530492]}"
3,7978,1218,1196,8272,8344,8888,9124,8876,8572,8407,8185,7321,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23137813248776,43.021172356003795]}"
4,8528,1207,1193,8544,8920,9224,9362,9118,8806,8696,8375,7482,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23245611082871,43.02198083975951]}"
5,8528,1204,1189,8320,8704,9040,9239,8929,8656,8544,8271,7482,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23281543694236,43.02153168211745]}"
6,6356,1197,1186,6932,7304,7776,7609,7580,7442,7624,7198,6683,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.236947687249305,43.038599672515716]}"
7,7286,1197,1172,7564,8000,8448,8634,8412,8200,8124,7814,7024,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23227644777189,43.01910623085032]}"
8,8002,1204,1188,8232,8592,8896,9069,8851,8569,8432,8162,7281,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23272560541395,43.021441850589035]}"
9,8587,1213,1202,8920,9168,9376,9445,9103,8838,8648,8386,7523,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.232366279300294,43.02251982892998]}"
10,7118,1204,1181,7864,8208,8576,8687,8494,8263,8140,7934,6668,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.233174763056006,43.01937572543556]}"
11,8528,1205,1193,8640,8928,9304,9380,9153,8800,8687,8364,7482,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.233174763056006,43.02180117670268]}"
12,8429,1205,1182,8616,8912,9112,9156,8911,8630,8456,8240,7448,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.233354426112825,43.02126218753221]}"
13,7636,1220,1198,7976,8408,8912,9095,8905,8661,8616,8317,7442,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.231467964016176,43.037881020288424]}"
14,8429,1204,1189,8752,8992,9280,9497,9253,8864,8624,8401,7448,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23353408916965,43.02153168211745]}"
15,8587,1224,1197,8416,8816,9120,9457,9143,8819,8608,8395,7523,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23200695318665,43.02251982892998]}"
16,8110,1212,1189,8232,8584,8848,9034,8729,8439,8320,8010,7200,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23425274139695,43.01982488307762]}"
17,6406,1174,1157,6584,6776,6912,7002,6769,6493,6313,6171,5482,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23272560541395,43.02027404071968]}"
18,7938,1231,1209,8656,9000,9200,9237,8961,8559,8462,8145,7208,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23488156209583,43.02027404071968]}"
19,7528,1210,1191,7932,8368,8752,8905,8720,8407,8264,8007,7193,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.231288300959356,43.02063336683332]}"
20,6261,1189,1164,7416,7844,8124,7241,6956,6805,7512,6377,5450,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23209678471506,43.02036387224809]}"
21,8334,1218,1198,8408,8616,8984,9193,8951,8702,8505,8189,7425,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.231288300959356,43.02180117670268]}"
22,8334,1214,1191,8336,8720,9120,9294,9043,8713,8568,8302,7425,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.231647627073,43.02153168211745]}"
23,7693,1206,1177,7844,8304,8624,8781,8578,8271,8122,7858,7033,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23380358375489,43.019735051549205]}"
24,7938,1234,1217,8616,8904,9112,9337,9044,8755,8480,8242,7208,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[43.23497139362424,43.02009437766285]}"
