system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9249,1979,1935,9744,10056,10296,10347,10239,10125,10208,9825,8985,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63934135136986,39.63362541958908]}"
1,9004,1912,1864,9312,9744,10104,10398,10293,10144,9888,9779,8950,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63799387844368,39.633984745702726]}"
2,9597,2041,1988,10184,10416,10712,10766,10644,10487,10528,10276,9302,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.64068882429605,39.633984745702726]}"
3,8615,1799,1747,9160,9472,9832,9677,9562,9524,9704,9242,8646,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63979050901193,39.63551188168573]}"
4,9217,2009,1964,9896,10304,10528,10797,10659,10532,10408,10224,9143,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63682606857434,39.63290676736179]}"
5,9253,1965,1902,9736,10088,10480,10628,10495,10338,10328,10019,9100,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63709556315956,39.63335592500385]}"
6,9249,1936,1892,9480,9776,10064,10231,10101,9958,9904,9747,8985,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63916168831304,39.63389491417432]}"
7,9597,2153,2079,10192,10416,10664,10731,10646,10489,10504,10258,9302,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.64122781346651,39.63371525111749]}"
8,8541,1839,1814,8840,9320,9768,9916,9825,9665,9656,9409,8769,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63547859564815,39.63434407181638]}"
9,8815,1940,1900,9400,9776,10192,10184,10086,9951,9928,9683,8839,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63529893259133,39.63308643041861]}"
10,8943,1948,1863,9640,9944,10288,10423,10231,10121,10080,9838,8772,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.64248545486429,39.63416440875955]}"
11,8727,1944,1895,9128,9496,9864,10100,9993,9815,9768,9613,8764,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63763455233004,39.63479322945844]}"
12,8849,1881,1863,9000,9352,9744,9921,9840,9684,9576,9430,8793,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.6365565739891,39.63371525111749]}"
13,8849,1881,1863,9000,9352,9744,9921,9840,9684,9576,9430,8793,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63646674246068,39.63371525111749]}"
14,6004,1529,1490,7436,7732,8132,8227,8075,7915,8152,7808,6439,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.6433837701484,39.634703397930025]}"
15,8764,1884,1845,9352,9656,10040,10170,10080,9890,9912,9636,8766,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63835320455733,39.63506272404367]}"
16,7459,1593,1554,7924,8248,8504,8263,8203,8052,8488,7917,7639,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.64284478097792,39.63506272404367]}"
17,8764,1904,1868,9312,9688,10032,10228,10094,9895,9888,9687,8766,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.6381735415005,39.63488306098685]}"
18,8331,1916,1866,9104,9504,9976,10152,9993,9851,9800,9625,8602,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63745488927322,39.6352423871005]}"
19,9499,2169,2082,10192,10440,10736,10821,10667,10491,10640,10184,9341,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63664640551751,39.632367778191316]}"
20,10098,2122,2056,10032,10280,10536,10744,10649,10507,10424,10312,9603,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63826337302892,39.6322779466629]}"
21,8858,1866,1829,9144,9600,10040,10172,10063,9926,9856,9611,8811,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63799387844368,39.63434407181638]}"
22,9257,1931,1879,9632,9968,10320,10456,10323,10161,10128,9920,9123,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.64095831888127,39.6345237348732]}"
23,9831,2120,2041,10216,10464,10704,10694,10601,10376,10568,10218,9475,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63871253067099,39.63263727277655]}"
24,8541,1930,1879,9328,9792,10208,10230,10101,9963,10088,9781,8769,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.63520910106291,39.63407457723114]}"
