system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6891,1089,941,7176,6788,6944,7087,7004,6742,6392,6407,5439,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51875376615945,42.71340953966445]}"
1,6980,1286,1017,6332,6348,6392,6759,6654,6579,5692,6318,5469,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.516238483363914,42.71403836036333]}"
2,6439,1026,892,6112,6000,6004,6003,5846,5641,5372,5370,4817,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51228589611379,42.71403836036333]}"
3,6560,1053,1045,6676,6748,7060,7471,7135,6698,5908,6285,5264,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51767578781851,42.714128191891746]}"
4,8959,782,792,8480,8616,8680,8961,8605,8378,7280,7778,6588,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51713679864804,42.7085586371302]}"
5,8957,1386,1429,8928,8680,9008,9508,9259,8844,7616,8192,9625,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51587915725027,42.710355267698446]}"
6,8139,344,320,8640,8856,9120,9355,8974,8473,7896,7929,6458,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.52162837506864,42.71260105590874]}"
7,7272,1329,964,7116,7284,7624,7436,7204,7014,6248,6663,6804,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.513453705983146,42.714128191891746]}"
8,6560,593,548,7788,8128,8328,8920,8555,8173,7464,7692,5602,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51210623305697,42.716014653988395]}"
9,8206,548,587,9056,9112,9256,9732,9310,8857,8336,8158,6779,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.52019107061404,42.712421392851915]}"
10,7554,330,303,7220,7568,7716,7973,7555,7330,6800,6753,5987,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.520819891312925,42.71278071896557]}"
11,9377,615,567,9488,9688,9728,9836,9455,8991,8344,8492,6894,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.518484271574216,42.70819931101656]}"
12,6980,1286,1017,6584,6676,6688,6759,6654,6579,5840,6318,5469,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51632831489233,42.71403836036333]}"
13,8206,574,680,8472,8728,8856,9270,8802,8354,7708,7618,6779,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.519831744500394,42.71233156132351]}"
14,8049,732,638,7460,7696,7768,7832,7572,7271,6496,6770,5918,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51318421139791,42.71475701259063]}"
15,7722,595,621,8912,9064,9264,9413,9009,8478,8056,7900,6247,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51974191297198,42.71215189826668]}"
16,7554,366,324,7360,7808,7876,8158,7807,7443,6968,6971,5987,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.52073005978451,42.712870550493975]}"
17,7784,329,322,8856,9144,9280,9506,9108,8692,8124,8088,6430,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.52162837506864,42.71296038202239]}"
18,8957,1379,1566,8008,8156,8360,8900,8438,7935,7016,7249,9625,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.515609662665035,42.71044509922685]}"
19,8320,766,756,8512,8440,8552,8193,7868,7612,7216,7114,5964,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51650797794915,42.70918745782909]}"
20,8566,533,510,9424,9616,9768,9082,8741,8437,8248,7896,6703,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51165707541491,42.715026507175864]}"
21,7578,577,522,7684,7884,8084,8499,8222,7940,7088,7500,5998,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51165707541491,42.71466718106222]}"
22,6878,366,445,6660,6844,6952,7016,6669,6312,5948,5854,5527,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.52073005978451,42.7137688657781]}"
23,9122,803,795,8976,8728,8840,8615,8293,7871,7484,7320,6688,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.51731646170486,42.709546783942734]}"
24,6966,310,290,7832,7924,8096,8220,7814,7558,6988,6923,5699,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.521269048954984,42.71322987660763]}"
25,8865,565,589,9184,9328,9352,9440,9131,8789,8424,8380,7095,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.48731273121527,42.714128191891746]}"
26,7709,430,412,8416,8052,8416,8924,8726,8355,7352,7795,5903,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.48416862772085,42.71888926289758]}"
27,7910,458,461,7292,7672,7812,8198,7899,7605,7096,7127,6277,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.48991784553922,42.71484684411904]}"
28,4813,290,289,7212,7416,7560,7416,7145,6830,6684,6432,4014,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.4845279538345,42.72086555652264]}"
29,7678,525,527,8336,8376,8448,8609,8247,7943,7472,7397,6020,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.49180430763587,42.71592482245998]}"
30,7950,440,442,10176,10280,10488,10110,9778,9434,8928,8873,6015,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.48551610064703,42.720057072766934]}"
31,7951,480,472,8648,8728,8776,8802,8504,8178,7772,7643,6290,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.49180430763587,42.715296001761104]}"
32,8606,568,587,8984,9016,9040,9082,8790,8512,8080,8093,6787,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.4867737420448,42.7137688657781]}"
33,7326,445,438,6232,6436,6488,6485,6250,6009,5800,5684,5834,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.48776188885733,42.71565532787475]}"
34,8029,497,515,9208,9368,9400,9375,9034,8617,8280,8111,6477,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.48704323663003,42.71484684411904]}"
35,7326,630,622,8024,8000,8040,8479,8253,7894,7080,7334,5834,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.488121214970974,42.71574515940316]}"
36,7252,326,334,7044,7256,7416,7359,7161,6977,6572,6443,5838,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.48542626911862,42.72059606193741]}"
37,7951,517,537,8512,8616,8656,8601,8283,7934,7764,7580,6290,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.49144498152222,42.715296001761104]}"
