system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7456,107,108,8180,8488,8552,8708,8208,7591,7108,6921,6516,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.1017774166158,49.76680148751411]}"
1,6838,115,108,7404,7780,7896,8131,7697,7185,6880,6600,6296,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.1001604491044,49.76707098209934]}"
2,7615,155,151,7960,8172,8328,8624,8024,7441,7172,6785,6688,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09539937809855,49.76760997126981]}"
3,8372,121,120,8736,9000,9016,9047,8404,7732,7476,7097,6995,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09728584019521,49.766711655985695]}"
4,7830,107,98,8028,8248,8368,8669,8165,7559,7096,6900,6750,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10087910133169,49.76635232987205]}"
6,8883,136,144,8480,8880,9016,9338,8781,8065,7536,7400,7176,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09629769338268,49.766262498343636]}"
9,7915,145,140,7780,8156,8312,8506,8044,7443,7116,6926,6876,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09548920962696,49.76635232987205]}"
10,7814,133,128,8272,8464,8520,8784,8220,7590,7152,6984,6722,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09683668255315,49.76760997126981]}"
11,7969,97,98,8024,8264,8288,8434,7913,7216,6776,6583,6449,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09998078604757,49.76608283528681]}"
12,7456,113,108,7700,7964,8036,8151,7813,7178,6720,6576,6516,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10195707967263,49.76725064515617]}"
13,7308,112,118,7372,7724,7892,8193,7717,7157,6880,6686,6605,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09818415547933,49.76734047668458]}"
15,7220,183,177,7672,7980,8024,8001,7514,6972,6748,6476,6642,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09477055739967,49.76787946585505]}"
17,7353,137,129,7936,8116,8224,8432,7863,7343,7100,6815,6598,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.0965671879679,49.7682387919687]}"
18,7021,163,150,7944,8264,8312,8520,8073,7479,7232,7002,6619,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.0965671879679,49.76868794961076]}"
19,8158,118,110,8164,8504,8640,8995,8515,7830,7220,7082,6854,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09809432395092,49.766531992928876]}"
22,7481,148,150,7872,8148,8184,8265,7556,7150,6852,6500,6523,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09566887268379,49.7682387919687]}"
24,7192,119,112,7476,7876,8080,8365,7949,7416,6972,6804,6463,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09917230229186,49.76689131904252]}"
