system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7839,134,103,8224,8600,8664,8850,8297,7667,7228,6961,6672,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.48612535815388,44.94886712419588]}"
1,7781,118,104,8168,8560,8656,8872,8332,7733,7319,7023,6736,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4847778852277,44.94958577642318]}"
2,8247,165,146,8424,8696,8712,8869,8288,7630,7191,6979,6675,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41776356503239,44.96512663083844]}"
3,8248,162,134,8488,8800,8824,8963,8391,7775,7333,7088,6750,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41911103795857,44.96494696778162]}"
4,8068,133,126,8384,8696,8704,8851,8282,7677,7235,6978,6661,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.48298125465946,44.95407735284377]}"
5,7794,127,127,8248,8608,8648,8827,8344,7735,7292,7061,6719,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.483969401472,44.95371802673012]}"
6,8247,168,147,8432,8736,8752,8953,8390,7644,7217,6993,6675,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41740423891873,44.96467747319638]}"
7,7850,128,110,8216,8600,8736,8843,8337,7695,7248,6979,6702,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.48576603204023,44.94958577642318]}"
8,8153,150,147,8368,8672,8680,8817,8281,7600,7191,6980,6657,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4186618803165,44.9655757884805]}"
10,8063,158,150,8256,8528,8560,8710,8206,7576,7119,6940,6649,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41965002712904,44.96602494612256]}"
13,7654,125,119,8036,8384,8456,8662,8176,7595,7214,6981,6611,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.483969401472,44.95443667895742]}"
15,8252,157,131,8560,8800,8832,9041,8439,7776,7316,7098,6765,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.41794322808921,44.964497810139555]}"
16,8095,149,126,8368,8664,8720,8864,8330,7654,7265,6994,6694,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.42072800546998,44.96530629389527]}"
17,8170,152,139,8352,8640,8664,8805,8288,7683,7216,7007,6683,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.42027884782793,44.9655757884805]}"
