system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9142,178,172,9480,9704,9816,10032,9411,8737,8272,8071,7659,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.76410070131527,49.08021911586156]}"
1,9270,208,183,9584,9752,9792,9978,9279,8579,8167,7787,7448,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.76185491310498,49.07833265376491]}"
2,9148,201,201,9360,9592,9688,9884,9219,8550,8156,7800,7457,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.76293289144591,49.07851231682173]}"
3,8767,187,169,8976,9168,9224,9447,8861,8162,7788,7574,7286,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.83857103836878,49.0444661675536]}"
4,8999,185,167,9176,9504,9560,9774,9222,8555,8080,7837,7570,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.76320238603115,49.07968012669109]}"
5,8832,156,151,8984,9208,9216,9473,8795,8144,7708,7445,7185,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.84503890841444,49.039974591133]}"
6,8390,206,170,8896,9240,9440,9663,9082,8500,7979,7825,7378,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.76472952201416,49.07779366459444]}"
7,9448,207,183,9640,9808,9824,9985,9266,8593,8096,7835,7472,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.76086676629245,49.078871642935376]}"
8,8740,167,157,8936,9080,9144,9325,8758,8135,7612,7434,7149,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.84584739217016,49.039525433490944]}"
9,9041,202,184,9304,9392,9504,9769,9196,8516,7916,7741,7382,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.84737452815315,49.038627118206826]}"
10,8903,149,144,9120,9224,9320,9524,8844,8215,7816,7503,7271,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.84423042465873,49.040962737945534]}"
11,9617,222,194,9800,9984,9992,10130,9439,8720,8156,7897,7546,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.75871080961056,49.078422485293316]}"
12,9059,183,169,9256,9432,9568,9726,9126,8435,7968,7756,7425,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.84117615269273,49.04033391724665]}"
13,9018,156,151,9152,9264,9312,9552,8873,8273,7768,7562,7322,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.84009817435178,49.04356785226948]}"
14,8676,166,153,8800,9112,9176,9453,8836,8127,7720,7470,7214,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.84099648963591,49.043657683797896]}"
16,9250,214,191,9408,9592,9640,9855,9253,8546,8100,7806,7439,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.76095659782085,49.07761400153761]}"
17,8660,185,156,8576,8760,8816,9188,8754,8103,7416,7414,7206,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.84836267496568,49.03898644432047]}"
21,8793,171,153,8664,8880,8992,9330,8671,8104,7540,7460,7233,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.84575756064174,49.038806781263645]}"
22,8831,176,165,8976,9232,9248,9497,8913,8161,7676,7418,7172,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.83668457627213,49.04509498825249]}"
