system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6752,184,158,7128,7436,7568,7956,7287,6940,6312,6317,5150,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09380362788778,39.84257355467528]}"
1,6524,989,820,7364,7696,7704,7279,6793,6393,6504,5876,5035,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09021036675131,39.84086675563545]}"
2,8916,187,184,8488,8776,8840,9297,8742,8233,7480,7446,6522,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09218666037637,39.84320237537417]}"
4,9047,201,184,9336,9632,9792,9952,9284,8748,8304,7996,6726,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09065952439336,39.843112543845756]}"
5,10015,245,209,10120,10312,10384,10520,9789,9266,8600,8454,7260,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09533076387079,39.84131591327751]}"
6,8573,244,204,9352,9552,9632,9825,9138,8573,7892,7683,6204,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09533076387079,39.84176507091958]}"
7,9284,235,189,9728,10032,10040,10222,9564,8986,8352,8152,6701,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09434261705826,39.841675239391165]}"
8,6761,139,126,8288,8632,8832,8409,7723,7367,7448,6704,5563,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09137817662067,39.84383119607305]}"
9,9230,233,221,9656,9952,10000,10230,9518,8996,8400,8203,6663,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.17069941620841,39.88569268831302]}"
10,7628,1194,878,7708,7780,7964,8482,8048,8004,6836,7604,5918,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09218666037637,39.84032776646498]}"
11,9308,286,234,9784,9952,10056,10202,9499,8991,8440,8156,6682,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09101885050701,39.841854902447984]}"
12,7346,154,144,7648,8080,8648,8786,8125,7749,6964,6945,5840,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.08967137758083,39.84338203843099]}"
13,8853,310,249,9200,9504,9760,9941,9321,8855,8224,8036,6637,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.08985104063765,39.84221422856164]}"
14,9366,233,207,9384,9664,9768,9949,9242,8626,7984,7811,6692,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.17042992162318,39.88524353067096]}"
15,9629,245,224,9880,10104,10144,10365,9665,9097,8472,8238,6861,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.09263581801842,39.841405744805925]}"
16,9291,223,195,9424,9760,9776,9963,9240,8647,8012,7821,6535,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.17240621524824,39.885962182898254]}"
19,9555,313,278,9496,9808,9816,9991,9296,8754,8216,7986,6984,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.17339436206078,39.88641134054031]}"
20,8256,181,179,9168,9528,9752,9658,9032,8549,8184,7698,6232,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.08994087216607,39.842843049260516]}"
