system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7898,149,144,8192,8344,8392,8678,8060,7390,6864,6743,6640,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.69051369063571,50.89194138087381]}"
1,7401,150,135,7612,7792,8200,8508,7993,7369,6898,6701,6621,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.57202590466035,50.78872495472847]}"
2,8030,188,162,8148,8400,8648,8882,8232,7606,7128,6907,6835,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.6889865546527,50.89095323406128]}"
3,8035,176,154,8048,8288,8632,8924,8281,7632,7192,6962,6873,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.69150183744824,50.89068373947604]}"
4,7979,171,159,8000,8168,8584,8862,8253,7550,7159,6885,6793,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.69213065814712,50.89140239170334]}"
5,7593,151,137,7660,7876,8312,8596,8005,7385,6925,6751,6665,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.57373270370017,50.78800630250118]}"
6,7401,145,139,7772,8016,8216,8556,8006,7396,6903,6714,6621,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.57175641007511,50.78872495472847]}"
7,8088,183,162,8148,8408,8608,8832,8258,7589,7152,6942,6876,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.68880689159589,50.89239053851587]}"
8,6135,163,140,7328,7548,8164,8653,8090,7381,6909,6791,5542,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.57705647025142,50.78611984040453]}"
9,7704,153,141,7940,8116,8312,8609,8070,7415,6964,6764,6664,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.57400219828541,50.78791647097277]}"
10,7873,162,144,7920,8092,8464,8820,8261,7593,7060,6898,6815,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.69257981578919,50.892300706987456]}"
11,7742,173,157,7792,8076,8576,8895,8311,7653,7236,6942,6880,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.69069335369254,50.89032441336239]}"
12,7959,181,164,8000,8304,8520,8820,8264,7592,7151,6946,6853,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.68808823936858,50.89167188628857]}"
13,7982,150,141,8336,8536,8552,8747,8143,7483,7010,6782,6717,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.69132217439142,50.89248037004428]}"
14,7438,151,144,7692,7868,8288,8614,8097,7407,6967,6790,6757,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.57759545942189,50.78629950346135]}"
15,7518,157,124,7808,7956,8432,8784,8205,7550,7060,6894,6767,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.57858360623442,50.78656899804659]}"
16,8059,179,159,8168,8408,8616,8952,8364,7627,7160,6944,6860,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.6896153753516,50.89167188628857]}"
17,7609,146,128,7580,7816,8184,8564,8025,7386,6916,6699,6649,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.5716665785467,50.78899444931371]}"
18,7986,179,163,8224,8480,8656,8865,8260,7590,7148,6948,6830,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.68907638618111,50.89176171781698]}"
19,7873,161,145,7904,8164,8496,8814,8226,7563,7097,6896,6815,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.69275947884601,50.892300706987456]}"
20,7415,151,141,7660,7940,8288,8622,8041,7409,6945,6764,6641,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.57481068204112,50.78746731333071]}"
21,7557,155,133,7708,7852,8216,8604,8077,7431,6964,6781,6692,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.57525983968317,50.787377481802295]}"
