system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7562,324,339,7632,7740,8016,8157,7686,7150,7084,6670,6826,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.155020455317,60.4446261122008]}"
1,8045,247,244,7948,7968,8240,8566,8080,7566,7240,6950,7023,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.15654759129998,60.450734656132816]}"
2,8325,593,653,8464,8552,8704,8952,8504,8058,7960,7686,7777,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.2046972905288,60.412286761972496]}"
3,8070,379,272,8084,8188,8592,8891,8364,7766,7500,7178,7207,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.33055126183393,60.47184506530962]}"
4,7933,234,231,8008,8084,8312,8396,7937,7393,7228,6888,6924,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.15771540116933,60.4506448246044]}"
5,8325,576,649,8464,8592,8768,8977,8505,8055,7984,7713,7777,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.20442779594356,60.41246642502932]}"
6,8274,574,633,8256,8440,8520,8750,8357,7945,7772,7468,7596,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.21080583446079,60.413005414199795]}"
7,8318,173,166,8224,8296,8576,8796,8294,7745,7300,7107,7069,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.32462238095874,60.472833212122154]}"
8,7784,336,344,7592,7736,7984,8244,7849,7307,6984,6840,6881,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.15933236868074,60.444446449143975]}"
9,7667,296,316,7828,7824,8136,8261,7774,7260,7100,6745,6825,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.155020455317,60.44507526984286]}"
10,8012,169,180,8384,8352,8640,8897,8335,7756,7544,7111,7164,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.32614951694174,60.47265354906533]}"
11,8419,592,640,8696,8824,8864,9037,8583,8128,8036,7719,7755,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.20424813288673,60.411568109745204]}"
12,8048,196,167,8072,8188,8712,9006,8390,7811,7552,7193,7225,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.33064109336235,60.47121624461074]}"
13,7956,172,170,7568,7700,8384,8798,8268,7647,7348,7040,7152,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.3273173268111,60.47220439142327]}"
14,7639,310,324,7544,7628,7964,8226,7770,7289,6992,6803,6814,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.1552001183738,60.44507526984286]}"
15,8379,586,642,8640,8680,8752,8945,8459,8017,7904,7619,7693,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.2078413940232,60.41201726738726]}"
16,8003,254,197,8084,8168,8640,8869,8359,7661,7500,7100,7170,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.3295631150214,60.47175523378121]}"
17,7430,335,345,7608,7680,8000,8056,7656,7132,6984,6678,6703,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.1581645588114,60.44417695455874]}"
18,7975,171,166,8184,8232,8656,8973,8433,7783,7460,7155,7179,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.32839530515204,60.47121624461074]}"
19,8418,250,256,8200,8188,8552,8851,8341,7720,7412,7219,7287,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.1559187706011,60.45100415071805]}"
20,7517,374,387,7628,7740,7956,8102,7576,7129,7028,6728,6762,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.15699674894205,60.443548133859856]}"
21,8477,586,652,8576,8704,8800,9073,8613,8167,8036,7763,7821,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.2024515023185,60.41219693044408]}"
22,8045,244,247,8116,8248,8376,8600,8076,7522,7332,6988,7023,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.15645775977157,60.4506448246044]}"
23,7363,326,340,7364,7372,7904,8052,7644,7124,6948,6636,6702,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.1552001183738,60.44435661761556]}"
24,8279,583,643,8304,8488,8696,8913,8483,8054,7928,7666,7737,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.2063142580402,60.41237659350091]}"
25,8059,1099,1082,8249,8288,8409,8721,8433,8194,8183,7903,7768,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-139.9637645570461,60.22543718287564]}"
26,7586,817,774,7617,7701,7729,8009,7696,7426,7458,7272,7028,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-139.9700527640349,60.226604992744996]}"
27,7610,581,567,7255,7454,7471,7866,7413,7052,6844,6784,7179,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-139.97436467739868,60.22552701440405]}"
