system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8441,1164,1125,9048,9312,9688,10042,9382,8751,8344,8044,8057,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.29242609953246,58.41856582039763]}"
1,8484,1164,1132,8992,9232,9640,10025,9391,8772,8304,8038,8016,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.29188711036198,58.41847598886922]}"
2,8770,1154,1135,9104,9200,9600,10062,9432,8801,8368,8059,8038,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.18283163486987,58.31606804647959]}"
3,8419,1158,1128,8800,8888,9488,9964,9364,8731,8304,8087,7982,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.1769925855231,58.32199692735478]}"
4,9002,1153,1137,9504,9624,9768,10064,9400,8753,8312,8031,7955,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.26754276616234,58.42404554363076]}"
5,8470,1156,1130,8736,8960,9512,9967,9362,8761,8288,8010,7825,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.1777112377504,58.32100878054225]}"
6,8430,1161,1135,8760,8912,9512,9995,9427,8807,8328,8069,8053,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.1808553412448,58.319212149974014]}"
7,8624,1161,1134,8816,8992,9592,10057,9472,8859,8376,8103,8079,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.18130449888687,58.318313834689896]}"
8,8624,1161,1134,8760,9048,9600,10057,9472,8859,8376,8103,8079,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.1813943304153,58.3184036662183]}"
9,9205,1170,1141,9264,9456,9616,9907,9310,8654,8232,7925,7907,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.2869463762993,58.41811666275557]}"
10,8421,1159,1133,8632,8824,9536,10017,9384,8813,8344,8038,8030,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.17825022692085,58.32127827512749]}"
11,8465,1156,1134,8856,9120,9728,10162,9507,8896,8440,8131,8017,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.29314475175974,58.417936999698746]}"
12,8345,1160,1131,8696,8888,9560,10063,9433,8825,8360,8116,8060,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.1801366890175,58.320379959843365]}"
13,9021,1140,1118,9400,9584,9776,10005,9372,8686,8168,7907,7908,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.2747292884353,58.366643196975524]}"
14,8313,1151,1138,8696,8824,9536,10061,9464,8822,8320,8125,8077,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.1792383737334,58.318942655388774]}"
15,9314,1158,1133,9192,9392,9632,9894,9311,8698,8192,7910,7959,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.2860480610152,58.419104809568104]}"
16,8582,1152,1128,8936,9056,9552,10114,9508,8867,8368,8116,8074,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.18121466735846,58.31777484551942]}"
17,9008,1144,1120,9352,9544,9600,9890,9288,8648,8188,7929,7940,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.2732919839807,58.36601437627664]}"
18,8282,1165,1141,9096,9320,9544,10184,9425,8688,8172,7922,7851,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.28793452311186,58.41847598886922]}"
19,8419,1166,1137,8856,8872,9480,10006,9368,8752,8336,8029,7982,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.1778909008072,58.32181726429796]}"
20,8352,1160,1132,9168,9392,9616,9865,9275,8649,8192,7952,7846,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.2874853654698,58.41901497803969]}"
21,8484,1164,1132,8944,9264,9688,10025,9391,8772,8280,8038,8016,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.2920667734188,58.41856582039763]}"
22,8990,1166,1135,9080,9248,9568,9852,9272,8683,8184,7954,7922,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.28586839795838,58.41775733664193]}"
23,8990,1166,1138,9056,9336,9488,9790,9246,8616,8144,7926,7922,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.28505991420266,58.41784716817033]}"
24,9272,1163,1138,9176,9392,9544,9891,9234,8646,8176,7919,7933,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.28676671324249,58.41856582039763]}"
25,8368,1143,1129,9104,9520,9576,9791,9204,8691,8280,7985,7871,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.48062315155548,58.4010486723573]}"
26,8512,1136,1123,9160,9592,9608,9838,9179,8623,8312,7931,8008,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.47954517321455,58.40006052554477]}"
27,8224,1148,1127,8832,9280,9296,9606,9010,8529,8108,7844,7806,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.48116214072596,58.401677493056184]}"
28,7181,1192,1197,8520,8952,9016,9420,8815,8232,7812,7581,7090,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.30742796477725,58.40275547139713]}"
29,7833,1177,1150,8840,9328,9352,9440,8882,8399,8012,7735,7608,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.29619902372576,58.397635074277645]}"
30,9121,1166,1155,8840,9224,9296,9583,9019,8438,8096,7778,7908,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.3070686386636,58.40140799847095]}"
