system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8626,1636,1521,8896,9040,9664,9992,9348,8683,8592,8082,8174,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.71682683400533,60.53796107022082]}"
1,7753,1206,1192,7932,8248,8792,9177,8632,8036,7696,7484,7547,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-142.75285385118036,60.624289169024706]}"
2,7846,1345,1321,7712,8080,8752,9146,8648,8090,7644,7578,7613,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.4902808679141,60.74780752059114]}"
3,8468,1501,1460,8672,8808,9456,9730,9160,8553,8352,7908,7983,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.7053283983686,60.54505776096536]}"
4,8426,1695,1600,8568,8696,9352,9703,9144,8479,8264,7861,7955,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.7219472311248,60.545327255550596]}"
5,8360,1865,1720,8768,8856,9528,9967,9330,8679,8568,8052,8091,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.71727599164737,60.54550691860742]}"
6,8604,1782,1645,8888,9008,9728,10095,9401,8794,8616,8155,8282,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.71619801330644,60.54523742402219]}"
7,7761,1211,1184,7796,8124,8832,9135,8629,7995,7740,7485,7528,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-142.75141654672578,60.62321119068376]}"
8,7911,1214,1206,8016,8296,8864,9261,8703,8085,7752,7577,7598,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-142.7524945250667,60.62545697889406]}"
9,7715,1215,1196,7968,8256,8888,9199,8660,8087,7755,7539,7552,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-142.75069789449847,60.623480685268994]}"
10,8782,1726,1582,9096,9224,9816,10201,9540,8850,8704,8237,8259,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.72050992667022,60.54074584760159]}"
11,7981,1170,1147,8060,8240,8520,8850,8279,7688,7312,7127,7127,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.06142515127542,60.700735799703274]}"
12,8474,1452,1399,8592,8720,9424,9798,9183,8546,8312,7901,7931,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.7053283983686,60.54442894026648]}"
13,8795,1631,1506,9192,9376,9912,10047,9353,8776,8800,8080,8066,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-141.7166471709485,60.54209332052777]}"
