system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7442,218,162,7728,8144,8816,9285,8780,8148,7896,7631,7565,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9680976877105,57.8757138942042]}"
1,7297,218,158,7572,7936,8696,9174,8665,8089,7824,7510,7517,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96710954089797,57.87580372573262]}"
2,8641,240,182,9080,9480,10232,10690,10051,9350,8928,8703,8560,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96612139408543,57.861969670357176]}"
3,8587,247,191,8832,9272,10056,10628,10000,9320,8920,8729,8568,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96854684535255,57.862867985641294]}"
4,8650,240,183,9000,9456,10176,10596,9971,9298,8944,8672,8552,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9643247635172,57.862149333414]}"
5,8206,223,190,8656,8992,9496,9984,9420,8696,8264,8040,7808,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.95174834953951,57.88011563909639]}"
6,8610,228,189,8952,9352,9880,10369,9702,8994,8616,8346,8225,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.95372464316458,57.88038513368163]}"
7,8665,242,186,9120,9456,10184,10651,10019,9326,8976,8660,8528,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96692987784114,57.86187983882876]}"
8,8746,242,186,9016,9496,10296,10679,10009,9375,9056,8753,8589,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96630105714226,57.86134084965829]}"
9,8357,245,182,8504,8992,10056,10645,10059,9387,9016,8745,8594,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.97151128579014,57.86421545856747]}"
10,8014,211,167,8392,8672,9176,9491,8897,8286,7960,7710,7576,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9493228982724,57.880295302153215]}"
11,7994,208,169,8248,8616,9120,9563,8988,8286,7900,7665,7608,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9508500342554,57.87993597603957]}"
12,7680,204,151,7816,8240,8720,9166,8590,8027,7700,7448,7501,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.95606026290329,57.879576649925916]}"
13,7281,216,163,7492,7936,8768,9280,8780,8189,7936,7656,7561,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96755869854002,57.8741867582212]}"
14,7318,207,154,7680,8112,8544,8946,8442,7867,7560,7314,7199,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.95659925207376,57.879846144511156]}"
15,7099,207,161,7568,7940,8680,9036,8534,7949,7704,7416,7374,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96270779600577,57.87508507350532]}"
16,8309,233,201,8904,9288,9784,10059,9431,8799,8528,8156,8040,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.95444329539188,57.87876816617021]}"
17,7055,206,153,7364,7708,8416,8887,8381,7871,7516,7323,7241,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96495358421608,57.87616305184626]}"
18,7318,207,154,7804,8188,8560,8946,8442,7867,7572,7314,7199,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.95668908360217,57.87975631298274]}"
19,8878,244,187,9176,9656,10296,10823,10146,9466,9008,8793,8685,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96710954089797,57.86116118660147]}"
20,8309,229,199,8728,9056,9664,10023,9447,8741,8480,8094,8040,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9546229584487,57.87921732381227]}"
21,8152,222,179,8440,8840,9376,9714,9147,8491,8160,7841,7789,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9516585180111,57.8793969868691]}"
22,7224,211,163,7612,8052,8744,9191,8641,8074,7828,7554,7463,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96630105714226,57.874815578920085]}"
23,8996,244,188,9344,9760,10504,10943,10297,9593,9184,8936,8709,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96531291032973,57.86080186048782]}"
24,7263,212,161,7564,7940,8736,9211,8732,8140,7892,7639,7573,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.96621122561385,57.87400709516438]}"
