system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6600,162,142,6732,6996,7892,8319,7828,7144,7000,6691,6605,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36745206877522,50.91224330629491]}"
1,5798,174,150,5816,6068,7652,8346,7957,7336,7020,6834,6506,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36592493279223,50.91098566489714]}"
2,6292,167,144,6308,6564,7684,8364,7842,7301,6908,6738,6560,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36745206877522,50.91107549642555]}"
3,6229,169,148,6532,6784,7652,8285,7775,7189,6744,6627,6547,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36718257418998,50.91269246393697]}"
4,6177,166,150,7016,7208,8024,8409,7925,7327,6984,6734,6569,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.3672724057184,50.91242296935173]}"
5,5457,187,158,5948,6136,7452,8196,7774,7197,6840,6666,6549,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36385880763875,50.91314162157903]}"
6,5970,168,155,6836,7172,8048,8468,7955,7400,7104,6854,6619,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36529611209333,50.91035684419826]}"
7,5459,170,147,5528,5772,7248,8103,7621,7071,6704,6629,6441,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36457745986604,50.91116532795397]}"
8,5580,173,138,5948,6188,7668,8252,7864,7239,7052,6660,6487,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36385880763875,50.91008734961302]}"
9,5530,182,148,5712,5936,7460,8306,7885,7253,7008,6698,6447,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36412830222397,50.912333137823325]}"
10,5798,174,151,5972,6236,7656,8282,7919,7234,6900,6714,6506,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36637409043428,50.91071617031191]}"
11,5756,175,152,5976,6200,7700,8321,7877,7309,7008,6814,6543,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36367914458192,50.90999751808461]}"
12,6600,172,151,6168,6328,7624,8196,7753,7115,6884,6671,6605,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36745206877522,50.912512800880144]}"
13,6229,168,145,6376,6624,7680,8318,7887,7182,6880,6678,6547,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36709274266157,50.91314162157903]}"
14,5864,174,153,5952,6148,7524,8201,7767,7117,6932,6622,6463,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36592493279223,50.91170431712444]}"
15,5442,172,151,5724,5936,7500,8175,7846,7214,6924,6700,6471,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36466729139445,50.91071617031191]}"
16,5878,176,158,6112,6336,7648,8228,7793,7232,6864,6723,6434,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.3651164490365,50.91224330629491]}"
17,5580,175,154,5664,5928,7328,8149,7655,7168,6800,6571,6487,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36394863916716,50.91053650725508]}"
18,5864,174,158,6464,6712,7680,8225,7737,7129,6876,6630,6463,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36556560667857,50.912063643238085]}"
19,6576,160,142,6092,6308,7616,8265,7847,7236,6920,6676,6565,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.368709710173,50.911883980181265]}"
20,5485,177,151,5640,5844,7508,8194,7802,7192,7000,6680,6443,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36394863916716,50.9121534747665]}"
21,6229,168,145,6856,7060,7892,8318,7887,7182,6944,6678,6547,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.3672724057184,50.913051790050616]}"
22,6290,161,139,6440,6768,7764,8261,7821,7238,6864,6699,6585,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36826055253093,50.91134499101079]}"
23,5485,172,156,5484,5640,7344,8068,7621,7119,6852,6582,6443,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36448762833763,50.911883980181265]}"
24,5654,175,148,5616,5832,7412,8252,7889,7201,6876,6734,6516,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.36376897611034,50.910177181141435]}"
