system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7414,124,114,7784,8048,8248,8577,7938,7240,6884,6638,6708,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.6896611181701,58.92611395592516]}"
1,8208,149,126,8768,9128,9208,9482,8744,8045,7736,7395,7352,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.69909342865336,58.92018507504997]}"
2,7414,139,116,7320,7632,8304,8669,8047,7352,6967,6751,6708,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.690289938869,58.926473282038806]}"
3,7156,137,122,7228,7456,8136,8519,7847,7219,6808,6686,6663,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.69226623249406,58.925754629811514]}"
4,7465,150,122,8288,8432,8664,8896,8239,7515,7213,6901,6756,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.6964883143294,58.92665294509563]}"
5,7498,135,110,7968,8296,8664,9028,8279,7699,7251,7018,6960,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.68750516148822,58.923149515487566]}"
6,7287,150,125,7472,7728,8312,8655,8082,7401,7052,6783,6824,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.697925618784,58.924317325356924]}"
7,8133,156,133,8544,8752,8824,9090,8427,7696,7348,7058,7090,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.6956798305737,58.92377833618645]}"
8,7454,136,111,7628,8024,8440,8749,8100,7472,7121,6867,6830,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.69154758026676,58.92296985243074]}"
9,8219,149,120,8488,8832,8992,9209,8539,7830,7516,7242,7251,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.70044090157953,58.92063423269203]}"
10,7216,128,123,7368,7660,8048,8432,7809,7157,6743,6564,6591,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.6895712866417,58.92557496675469]}"
11,7762,146,131,8080,8424,8552,8807,8202,7517,7204,6921,6890,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.6941526945907,58.92144271644774]}"
12,7542,136,121,7676,7956,8216,8599,7996,7309,6886,6726,6746,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.68337291118127,58.926742776624046]}"
13,7187,140,124,7264,7552,8464,8863,8200,7491,7249,6931,6873,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.68858313982915,58.92458681994216]}"
14,7734,136,129,7928,8164,8640,8933,8294,7586,7233,6926,6987,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.68615768856205,58.92584446133993]}"
15,7792,140,122,8008,8240,8352,8625,8010,7320,7033,6750,6809,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.69361370542023,58.92288002090233]}"
16,7381,142,123,8048,8288,8312,8530,7986,7288,7008,6678,6689,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.6971171350283,58.92458681994216]}"
17,7470,144,127,7872,8280,8568,8850,8203,7594,7207,6903,6914,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.69163741179517,58.92234103173186]}"
18,7239,141,125,7416,7692,8192,8488,7911,7254,6965,6670,6692,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.69900359712494,58.92467665147057]}"
19,7734,136,129,7972,8240,8688,8933,8294,7586,7256,6926,6987,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.68615768856205,58.925754629811514]}"
20,7286,137,121,7624,7928,8448,8751,8159,7368,6970,6783,6781,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.69011027581217,58.923419010072806]}"
21,7831,151,124,8052,8240,8592,8837,8147,7491,7124,6809,6793,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.69675780891464,58.92746142885134]}"
22,7353,134,117,7636,7988,8216,8477,7848,7199,6777,6584,6671,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.69172724332358,58.925305472169455]}"
23,7819,144,134,7824,8100,8560,8906,8217,7504,7192,6887,6869,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.69541033598847,58.92728176579452]}"
24,7538,137,123,8036,8264,8616,8957,8304,7609,7221,6939,6940,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-133.6851695417495,58.925305472169455]}"
