system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7239,145,130,7552,7692,8528,8842,8270,7683,7360,6954,6957,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.9579421507181,51.092535183817695]}"
1,7198,144,125,7580,7708,8656,8964,8416,7797,7536,7101,7047,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95884046600221,51.089480911851695]}"
2,6988,151,126,7240,7456,8504,8962,8319,7680,7392,6971,6977,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.9609964226841,51.088762259624396]}"
3,8005,187,156,8416,8400,8752,8977,8371,7725,7368,7018,6911,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.87996838405651,51.09936237997701]}"
4,7125,148,124,7612,7672,8288,8634,8039,7509,7192,6797,6745,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.96063709657045,51.090648721721045]}"
5,7045,147,118,7484,7640,8344,8639,8116,7475,7168,6762,6779,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95973878128633,51.09163686853358]}"
6,7256,148,126,7476,7572,8416,8728,8211,7612,7272,6897,6849,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95461838416685,51.09190636311882]}"
7,7159,148,128,7668,7704,8504,8887,8294,7716,7432,7003,6922,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95839130836015,51.09082838477787]}"
8,7015,134,124,7276,7484,8328,8647,8145,7522,7172,6802,6930,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95982861281475,51.088762259624396]}"
9,7297,145,124,7696,7796,8456,8760,8221,7608,7316,6903,6901,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95686417237715,51.09127754241993]}"
10,7245,146,117,7672,7792,8432,8699,8187,7578,7272,6848,6824,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95309124818385,51.090918216306285]}"
11,7161,147,122,7368,7548,8536,8914,8349,7726,7420,6983,6935,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95973878128633,51.08939108032328]}"
12,7978,184,144,8368,8368,8776,8967,8381,7734,7412,6991,6895,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.88050737322699,51.099003053863356]}"
13,7188,136,112,7528,7768,8528,8883,8346,7699,7387,6984,6956,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95919979211585,51.08975040643693]}"
14,7150,152,120,7500,7740,8600,8966,8437,7818,7492,7032,6980,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.9602777704568,51.08912158573804]}"
15,7159,148,128,7472,7656,8432,8887,8294,7716,7376,7003,6922,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95839130836015,51.090918216306285]}"
16,7257,154,129,7584,7624,8384,8777,8232,7614,7329,6913,6849,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95542686792255,51.0918165315904]}"
17,7193,149,127,7624,7684,8512,8845,8269,7644,7384,7024,6905,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95785231918968,51.092086026175636]}"
18,7159,149,130,7368,7516,8440,8854,8253,7690,7320,6976,6922,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95839130836015,51.091097879363105]}"
19,7258,146,136,7636,7736,8440,8782,8256,7641,7300,6937,6886,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95614552014985,51.09190636311882]}"
20,7394,147,119,7768,7852,8480,8771,8213,7614,7360,6939,6868,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95416922652478,51.092804678402935]}"
21,8114,191,171,8240,8344,8832,9077,8505,7822,7508,7108,6989,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.87862091113034,51.099452211505415]}"
22,8114,186,154,8504,8336,8736,8942,8362,7711,7405,7003,6964,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.87898023724398,51.10035052678954]}"
23,7241,143,125,7480,7596,8536,8974,8400,7761,7480,7079,7018,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95758282460444,51.089211417266455]}"
24,7332,148,123,7460,7596,8376,8761,8236,7649,7344,6900,6898,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.95632518320667,51.092355520760876]}"
