system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8390,155,130,8567,8600,8672,8864,8134,7420,7084,6808,6721,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.63643968481357,51.14535612252393]}"
1,8426,147,133,8616,8697,8744,9077,8330,7585,7209,6966,6859,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.63015147782473,51.14661376392169]}"
2,8338,153,135,8553,8704,8728,9074,8341,7607,7144,7001,6844,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.62961248865426,51.1451764594671]}"
3,8260,137,137,8440,8512,8520,8716,7996,7339,6972,6780,6623,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.63751766315451,51.147871405319464]}"
4,8381,141,120,8536,8656,8664,8890,8160,7441,7088,6811,6763,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.62943282559743,51.14409848112616]}"
5,8315,142,129,8464,8639,8744,9019,8275,7587,7216,6972,6828,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.63320574979073,51.145445954052335]}"
6,8361,153,131,8544,8687,8776,9009,8293,7568,7192,6957,6815,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.6314091192225,51.14724258462058]}"
7,8315,143,129,8512,8704,8808,9049,8350,7559,7228,6963,6828,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.63266676062027,51.14535612252393]}"
8,8283,151,121,8312,8496,8592,8832,8128,7408,7096,6813,6703,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.6329362552055,51.14751207920581]}"
9,8491,152,129,8616,8720,8728,8975,8246,7515,7187,6910,6817,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.62745653197237,51.14598494322281]}"
10,8325,148,122,8472,8671,8744,9005,8266,7530,7187,6908,6810,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.63392440201802,51.144547638768216]}"
11,8197,148,122,8304,8504,8552,8839,8127,7418,7079,6825,6651,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.62826501572808,51.1451764594671]}"
12,8271,142,118,8288,8456,8488,8804,8092,7349,7016,6787,6634,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.6366193478704,51.147871405319464]}"
13,8335,149,126,8544,8720,8776,9045,8269,7551,7256,6935,6786,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.63113962463726,51.1474222476774]}"
14,8227,154,122,8376,8480,8512,8837,8135,7392,7031,6774,6606,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.62646838515984,51.145715448637574]}"
15,8197,141,121,8376,8464,8616,8837,8111,7410,7103,6844,6651,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.62826501572808,51.14508662793869]}"
16,8381,148,132,8456,8576,8656,8971,8222,7547,7192,6990,6798,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.62934299406902,51.144547638768216]}"
17,8211,146,127,8368,8511,8592,8793,8095,7417,7064,6820,6660,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.63527187494421,51.14751207920581]}"
18,8270,127,126,8384,8488,8512,8718,7996,7249,6931,6684,6578,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.62503108070524,51.14607477475122]}"
19,8511,159,132,8720,8848,9000,9195,8439,7694,7352,7032,6858,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.6284446787849,51.14634426933646]}"
20,8390,155,130,8552,8600,8640,8864,8134,7420,7064,6808,6721,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.6366193478704,51.145445954052335]}"
21,8426,149,132,8432,8664,8688,8995,8236,7448,7185,6827,6852,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.63033114088155,51.14706292156375]}"
22,8290,149,130,8568,8728,8752,8985,8256,7531,7168,6935,6778,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.62853451031332,51.14562561710916]}"
23,8251,144,127,8456,8600,8624,8966,8268,7478,7128,6930,6741,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.63320574979073,51.14706292156375]}"
24,8191,151,120,8360,8488,8504,8737,8081,7377,6976,6729,6582,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.62664804821667,51.144817133353456]}"
