system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5390,240,213,5180,5484,5788,6096,5965,5742,5413,5327,4662,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.0193016589053,58.00704758874248]}"
1,7128,160,140,7596,7944,7984,8149,7602,7095,6744,6540,6537,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.0079828863254,58.002825506907115]}"
2,7416,169,149,8188,8528,8536,8785,8162,7586,7185,6876,6699,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00843204396746,58.00210685467982]}"
3,5789,193,167,6776,7124,7316,7549,7168,6742,6356,6116,5857,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00915069619475,58.002645843850296]}"
4,7282,188,149,7736,8004,8040,8241,7733,7166,6712,6512,6533,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.0072642340981,58.00336449607759]}"
5,7218,214,167,7596,8000,8028,8311,7708,7207,6784,6549,6577,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00609642422874,58.00399331677647]}"
6,7416,173,152,8408,8736,8744,9029,8439,7758,7316,7037,6699,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00834221243905,58.002376349265056]}"
7,6247,250,207,7368,7740,7788,7725,7293,6772,6656,6192,6197,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.0072642340981,58.00372382219123]}"
8,4791,244,212,7168,7412,7560,7685,7294,6776,6420,6145,5098,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00609642422874,58.0041729798333]}"
9,6247,195,162,7656,7968,8004,8269,7704,7247,6765,6539,6197,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00690490798446,58.00363399066283]}"
10,6133,223,206,5216,5528,5592,6331,5964,5862,5107,5348,5825,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00933035925158,58.00156786550935]}"
11,6028,196,179,6988,7416,7536,7827,7312,6945,6619,6356,6057,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00888120160953,58.00219668620824]}"
12,7986,211,182,9584,9752,9856,9576,8919,8519,8488,7821,7350,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.01912199584848,58.007406914856126]}"
13,6247,250,207,6880,7272,7352,7725,7293,6772,6445,6192,6197,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.0072642340981,58.00381365371965]}"
14,4169,229,169,6880,7256,7408,7656,7281,6686,6464,6133,4563,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00915069619475,58.00291533843553]}"
15,6180,219,203,6540,6816,6900,7319,6819,6517,6112,5985,6011,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00816254938222,58.003454327606]}"
16,6028,177,182,7744,8160,8192,7967,7548,7101,6976,6561,6057,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00888120160953,58.00201702315141]}"
17,6247,201,161,7548,7824,7900,8246,7739,7141,6699,6455,6197,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00672524492764,58.00372382219123]}"
18,6028,177,179,7152,7524,7604,7749,7262,6824,6408,6201,6057,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00897103313793,58.001927191623]}"
19,5789,193,167,6976,7300,7464,7549,7168,6742,6520,6116,5857,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00897103313793,58.002645843850296]}"
20,6028,168,158,7836,8200,8208,8281,7780,7235,6908,6544,6057,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00861170702429,58.00201702315141]}"
21,7218,214,167,7788,8140,8156,8311,7708,7207,6834,6549,6577,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00600659270033,58.00390348524806]}"
22,7128,162,145,7464,7796,7868,7827,7330,6911,6644,6303,6537,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00825238091063,58.00291533843553]}"
23,5789,197,170,6576,6964,7188,7507,7086,6612,6320,6068,5857,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00906086466634,58.0027356753787]}"
24,6180,192,166,7580,7868,7928,8215,7670,7084,6724,6467,6011,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-125.00780322326858,58.003454327606]}"
