system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5936,145,127,6036,6388,6556,6758,6416,5894,5668,5437,5610,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.73788235179993,55.86905721253802]}"
1,6192,141,136,6504,6896,6940,7140,6742,6226,6020,5763,5809,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.745967189357,55.87094367463467]}"
2,6190,145,130,6636,6948,7076,7295,6840,6308,6128,5847,5810,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.75477067914136,55.87283013673132]}"
3,6515,141,129,6872,7192,7344,7476,6998,6469,6308,6012,6055,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.75108758647647,55.86959620170849]}"
4,6466,149,141,6712,7076,7188,7433,6917,6318,6128,5881,6010,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.7386010040272,55.86788940266866]}"
5,6735,138,134,7160,7508,7584,7800,7337,6780,6576,6238,6259,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.74354173808987,55.86753007655501]}"
6,6501,141,142,6796,7152,7276,7464,6992,6458,6216,6004,6056,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.75180623870378,55.87049451699261]}"
7,6504,145,143,6852,7188,7304,7470,7035,6490,6300,5985,6065,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.74282308586257,55.868787717952785]}"
8,6654,141,130,7000,7376,7456,7645,7183,6633,6424,6167,6217,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.74704516769793,55.868518223367545]}"
9,5327,134,121,5752,6092,6240,6422,6076,5588,5420,5216,5172,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.7544113530277,55.87507592494162]}"
10,6522,137,142,6864,7152,7252,7454,7008,6461,6232,5988,6005,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.75746562499373,55.87202165297561]}"
11,6510,157,144,6876,7220,7348,7563,7118,6531,6376,6083,6091,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.73716369957262,55.86717075044137]}"
12,5315,137,120,5748,6068,6284,6357,6032,5540,5416,5094,5150,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.75243505940264,55.87444710424273]}"
13,6475,138,128,6840,7188,7300,7413,6998,6441,6256,5919,6011,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.75153674411854,55.87094367463467]}"
14,6400,144,120,6680,7012,7144,7330,6876,6321,6144,5845,5929,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.75701646735166,55.8726504736745]}"
15,6426,152,126,6652,6996,7140,7305,6890,6348,6188,5910,5981,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.75036893424917,55.87112333769149]}"
16,6639,142,131,7080,7460,7508,7653,7235,6702,6440,6170,6197,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.74255359127733,55.8681588972539]}"
17,6248,145,121,6772,7020,7056,7265,6798,6222,5988,5770,5764,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.73500774289073,55.868069065725486]}"
18,6405,152,137,6664,7028,7152,7372,6962,6438,6196,5943,5980,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.7408467922375,55.86887754948119]}"
19,6161,149,131,6528,6916,7008,7172,6768,6247,6056,5754,5753,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.74318241197622,55.87031485393579]}"
20,6509,146,128,6820,7236,7292,7473,7023,6480,6268,6031,6055,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.74354173808987,55.86887754948119]}"
21,6233,152,133,6476,6832,6944,7165,6711,6193,6024,5739,5843,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.74345190656146,55.87058434852102]}"
22,6248,139,128,6388,6724,6880,7112,6670,6161,5960,5685,5783,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.73743319415786,55.868518223367545]}"
23,6428,142,135,6752,7116,7240,7371,6916,6386,6216,5919,5977,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.75521983678343,55.872111484504025]}"
24,6334,139,124,6616,6972,7072,7237,6825,6281,6056,5809,5896,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.74884179826617,55.87103350616308]}"
25,4875,166,147,5160,5400,5404,5678,5331,4857,4472,4356,3880,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.66161538417816,55.81075655059866]}"
26,5133,173,153,5616,5748,5760,6046,5614,5222,5000,4809,4560,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.68012067903103,55.832046622832294]}"
27,5206,162,150,5184,5396,5416,5355,5004,4660,4576,4309,4354,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.6655679714283,55.82620757348552]}"
28,5133,163,144,5324,5448,5472,5659,5288,4771,4684,4527,4560,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.6799410159742,55.831777128247055]}"
29,4739,160,144,4936,5072,5108,5513,5135,4779,4308,4330,4216,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.6672747704681,55.817763409814795]}"
30,5147,177,152,4860,5072,5088,5181,4816,4372,4074,3940,4201,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.65460852496204,55.81713458911591]}"
31,4486,155,125,4948,5024,5028,5075,4824,4485,4380,4134,4112,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.64688301351862,55.817493915229555]}"
32,4957,179,157,5136,5324,5416,5651,5278,4857,4632,4467,4357,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.67859354304804,55.82827369863899]}"
33,5563,174,154,5444,5640,5744,6206,5848,5399,5028,5018,4950,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.68389360322433,55.831597465190235]}"
34,5109,150,138,5412,5488,5504,5542,5219,4766,4724,4401,4425,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.67428162968426,55.83339409575847]}"
35,5043,162,155,5184,5252,5352,5552,5200,4763,4508,4362,4188,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.66889173797955,55.818931219684146]}"
36,4415,162,145,5572,5508,5524,5360,4938,4542,4568,4324,4163,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.69063096785524,55.820638018723976]}"
37,5109,150,138,4996,5172,5220,5542,5219,4766,4476,4401,4425,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.67419179815585,55.833483927286885]}"
38,5089,150,129,5132,5184,5220,5380,4972,4601,4344,4262,4213,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.67823421693438,55.83456190562783]}"
39,5730,165,147,5848,5868,5892,6110,5699,5201,4984,4792,4989,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.67778505929232,55.830160160735645]}"
40,5730,165,147,5800,5816,5836,6110,5699,5201,4992,4792,4989,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.67778505929232,55.83024999226405]}"
41,5183,150,130,5384,5444,5524,5594,5062,4655,4536,4348,4434,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.69152928313935,55.82072785025239]}"
42,5031,166,146,5136,5172,5184,5401,4991,4586,4292,4216,4253,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.69305641912234,55.820368524138736]}"
43,5066,160,156,5376,5560,5724,6176,5825,5376,4968,4999,4609,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-129.67248499911602,55.82018886108192]}"
