system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6267,184,164,6464,6724,6928,7242,6916,6582,6304,6155,6145,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77591602846437,52.181203476642146]}"
1,5952,195,190,6212,6540,6752,7036,6751,6461,6220,6125,6051,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.78328221379415,52.18300010721038]}"
2,5934,190,173,6208,6500,6720,7037,6750,6438,6152,6061,6040,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.78570766506127,52.183988254022914]}"
3,6145,188,158,6396,6700,6900,7175,6871,6488,6260,6157,6039,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77950928960085,52.17796954161932]}"
4,5865,183,161,6032,6372,6652,6936,6662,6321,6060,6040,5997,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.7859771596465,52.18515606389227]}"
5,6295,175,158,6480,6772,6972,7227,6889,6563,6276,6118,6098,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76765152785048,52.17527459576696]}"
6,6210,178,159,6464,6752,6920,7250,6958,6602,6268,6240,6166,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77438889248137,52.18255094956832]}"
7,6158,176,175,6388,6700,6884,7169,6871,6503,6284,6151,6116,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77079563134488,52.18228145498309]}"
8,6061,180,158,6376,6652,6872,7116,6831,6486,6232,6063,6044,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77124478898695,52.18255094956832]}"
9,5787,176,156,6076,6392,6700,7019,6703,6422,6168,6044,5997,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77133462051536,52.184257748608154]}"
10,6183,190,167,6444,6732,6924,7186,6882,6535,6268,6117,6091,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77959912112927,52.17868819384661]}"
11,5660,192,169,6112,6332,6668,6882,6616,6333,6124,6021,5919,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77843131125991,52.18344926485244]}"
12,6389,178,162,6532,6852,7016,7265,6946,6583,6320,6215,6163,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76881933771982,52.17725088939202]}"
13,6049,178,159,6176,6480,6636,6903,6616,6279,6120,5918,5906,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76450742435605,52.17491526965331]}"
14,5739,200,174,5900,6216,6468,6796,6563,6283,6056,5960,5928,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.78283305615209,52.181922128869445]}"
15,6260,174,151,6572,6852,7028,7315,6961,6614,6332,6193,6058,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76378877212875,52.17581358493743]}"
16,5832,194,179,6040,6312,6540,6813,6566,6280,6048,6006,5951,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.78337204532257,52.17985600371597]}"
17,6309,177,166,6528,6856,6992,7274,6982,6589,6364,6219,6171,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77304141955518,52.17940684607391]}"
18,6294,182,148,6528,6832,6996,7278,6974,6630,6336,6234,6169,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76890916924823,52.180215329829615]}"
19,6353,172,169,6568,6852,7012,7272,6980,6604,6328,6217,6157,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.765585402697,52.17841869926138]}"
20,6241,188,174,6500,6712,6976,7229,6941,6585,6328,6161,6142,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77861097431673,52.178508530789784]}"
21,6276,176,167,6460,6724,6972,7253,6923,6583,6324,6163,6125,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77322108261201,52.177071226335194]}"
22,6301,185,169,6468,6808,6960,7271,6955,6631,6320,6203,6201,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77492788165183,52.18129330817056]}"
23,6329,179,163,6552,6816,6964,7263,6951,6588,6304,6210,6123,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77052613675966,52.17455594353966]}"
24,6291,184,153,6588,6840,7040,7268,6958,6629,6364,6093,6138,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.77402956636772,52.17599324799425]}"
25,5033,123,131,6592,5976,6196,5646,5255,4551,4592,4196,3420,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88335453644507,52.22153783289911]}"
26,5038,138,132,4960,5008,5068,5403,5003,4533,4440,4161,3891,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87823413932558,52.2176750771774]}"
27,6461,138,145,5040,5052,5124,5445,5025,4508,4160,4034,4115,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98100140782886,52.21444114215457]}"
28,5705,147,130,5084,5064,5092,5359,4943,4465,4204,4095,3949,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.9752521900105,52.2139021529841]}"
29,5597,135,117,6156,5876,5916,6353,5662,5194,4652,4619,4068,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87589851958687,52.22019035997293]}"
30,5256,494,393,5080,5108,5156,5345,5034,4715,4352,4384,4322,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87976127530858,52.21704625647852]}"
31,5048,141,143,6408,5360,5772,5829,5270,4530,3808,3813,3291,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88658847146789,52.222166653597995]}"
32,5120,143,163,5200,5324,5372,6013,5537,5124,4476,4671,4123,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87760531862669,52.219292044688814]}"
33,4783,151,169,5708,5448,5464,4750,4157,4186,3730,3810,3147,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88757661828042,52.221986990541176]}"
34,4783,151,169,6688,6104,6128,4750,4157,4186,4196,3810,3147,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88766644980883,52.22189715901276]}"
35,5729,152,145,4976,5104,5208,5749,5343,5054,4660,4668,4488,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87850363391082,52.21785474023422]}"
36,5533,172,144,5136,5060,5196,5587,5089,4656,3896,4168,4088,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87733582404147,52.22019035997293]}"
37,4571,165,173,5932,5568,5636,3979,4071,3086,3348,3169,2737,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88344436797348,52.22333446346735]}"
38,4943,105,108,5460,5372,5376,5379,4806,4493,3852,4007,3547,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87194593233674,52.21974120233087]}"
39,5457,123,115,6220,5484,5568,5474,4807,4420,4000,3743,3944,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88083925364953,52.22037002302976]}"
40,4800,133,157,6844,6312,6324,5062,4094,4031,4236,3046,2609,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88577998771218,52.222615811240054]}"
41,5760,168,145,6212,5932,6004,5840,5488,4968,4712,4589,4141,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87670700334257,52.22045985455817]}"
42,5729,152,145,5568,5684,5688,5749,5343,5054,4920,4668,4488,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87841380238241,52.21785474023422]}"
43,5252,111,124,6292,5668,5916,5558,5075,4497,3924,4199,3526,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.882905378803,52.22081918067182]}"
44,4550,227,249,5500,5240,5244,5054,4636,4086,3796,3731,2918,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88425285172919,52.22333446346735]}"
45,4916,804,807,5776,5244,5332,4603,4606,3808,3960,3809,3278,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88946308037707,52.222166653597995]}"
46,5120,128,143,5836,5440,5560,5622,5242,4695,4520,4238,4123,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87760531862669,52.218842887046755]}"
47,5809,124,122,5444,5424,5492,5378,5028,4261,3694,3890,3636,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88074942212111,52.223154800410526]}"
48,4140,217,177,5108,5104,5268,4930,4717,4498,4552,4264,3782,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88083925364953,52.21659709883645]}"
49,5376,188,165,5184,5176,5228,5379,5064,4695,4420,4342,4169,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.88137824282,52.21947170774564]}"
