system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,5853,233,224,6200,6520,6764,7162,6948,6651,6412,6442,6256,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.89439924015788,51.71668464322394]}"
1,5313,180,161,5304,5560,5824,6175,5982,5664,5440,5446,5626,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.88272114146433,51.71919992601948]}"
2,4962,178,158,5284,5600,5936,6340,6117,5817,5596,5597,5188,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.90014845797624,51.724140660082135]}"
3,5381,202,187,5880,6128,6412,6778,6556,6271,6064,6003,5851,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.89781283823754,51.72171520881501]}"
4,4910,177,155,5380,5656,5960,6010,5781,5494,5580,5309,5319,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.89260260958964,51.72351183938325]}"
5,5078,204,174,5556,5856,6136,6452,6234,5983,5796,5748,5592,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.87885838574262,51.71785245309329]}"
6,5215,190,175,5508,5776,6060,6370,6154,5931,5668,5696,5522,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.8892788430384,51.71919992601948]}"
7,5258,184,156,5780,6056,6456,6632,6336,6047,6000,5749,5776,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.89969930033419,51.72333217632642]}"
8,5115,195,180,5352,5596,5804,6148,5890,5596,5440,5405,5267,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.88406861439051,51.72207453492866]}"
9,5902,224,215,6324,6548,6808,7021,6857,6556,6336,6259,6147,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.89439924015788,51.71794228462171]}"
10,5138,183,190,5492,5760,6040,6386,6196,5947,5712,5698,5511,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.89161446277711,51.722703355627544]}"
11,5181,197,175,5384,5716,6004,6301,6152,5885,5660,5651,5558,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.88766187552699,51.71848127379218]}"
12,5303,182,157,5724,5976,6308,6543,6328,6042,5868,5798,5652,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.89215345194758,51.722254197985485]}"
13,5288,198,188,5688,5980,6308,6566,6353,6117,5968,5852,5728,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.88065501631085,51.718391442263766]}"
14,4541,165,155,5092,5348,5540,5508,5345,5145,5092,4833,4773,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.89053648443617,51.72135588270136]}"
