system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7758,146,125,8472,8816,8840,9025,8444,7883,7583,7210,7183,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99792175514327,57.878408840056565]}"
1,7645,144,124,8144,8456,8472,8717,8161,7610,7220,6978,6940,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99774209208644,57.8741867582212]}"
2,7758,152,132,8256,8664,8744,9006,8512,7935,7484,7272,7183,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99765226055803,57.87849867158498]}"
3,7533,140,120,8096,8488,8496,8706,8175,7568,7132,6848,6839,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99208270579649,57.876252883374676]}"
4,7714,172,149,8376,8776,8792,9056,8443,7890,7504,7208,7135,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.98804028701795,57.8809241228521]}"
5,7797,143,133,8456,8880,8904,9153,8538,7973,7540,7281,7190,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99046573828507,57.88110378590892]}"
6,7708,144,125,8440,8792,8808,9047,8474,7932,7500,7245,7123,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.98839961313159,57.8786783346418]}"
7,7476,178,192,8156,8496,8520,8728,8193,7647,7173,6962,6917,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.98570466727924,57.87733086171562]}"
8,7636,176,135,8140,8592,8624,8851,8214,7651,7176,6935,6889,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.98193174308594,57.87903766075544]}"
9,7501,139,111,8188,8544,8552,8741,8217,7654,7227,6964,6906,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9899267491146,57.874815578920085]}"
10,8514,158,147,9104,9528,9616,9891,9278,8673,8242,7902,7869,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99360984177949,57.88784115053982]}"
11,7472,137,118,8112,8488,8512,8726,8181,7607,7232,6925,6883,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9891182653589,57.873108779880255]}"
12,7725,145,127,8424,8816,8848,9101,8493,7930,7492,7267,7171,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.98821995007476,57.878857997698624]}"
13,7690,156,137,8392,8752,8768,8997,8389,7852,7452,7202,7062,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.98651315103494,57.878588503113384]}"
14,7721,139,120,8416,8736,8744,8988,8403,7853,7341,7147,7063,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.98947759147254,57.877690187829266]}"
15,7778,139,128,8216,8640,8656,8884,8323,7751,7339,7030,7063,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99540647234772,57.87688170407356]}"
16,7492,146,127,8084,8400,8440,8691,8099,7609,7174,6945,6879,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99639461916026,57.87346810599391]}"
17,7795,156,133,8456,8832,8888,9124,8566,8013,7539,7315,7193,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99837091278532,57.879846144511156]}"
18,7865,139,122,8456,8864,8872,9061,8470,7932,7439,7208,7125,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99504714623409,57.8786783346418]}"
19,7717,155,136,8392,8784,8840,9100,8540,7946,7528,7248,7162,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9891182653589,57.8793969868691]}"
20,7472,137,120,8136,8464,8480,8756,8171,7634,7239,6961,6874,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.98813011854637,57.87445625280644]}"
21,7506,135,113,8180,8528,8544,8752,8148,7609,7192,6935,6863,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9892080968873,57.87212063306772]}"
22,7482,135,119,8052,8456,8496,8719,8171,7588,7166,6954,6896,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.98929792841571,57.87391726363597]}"
23,7647,142,121,8288,8640,8704,8906,8301,7758,7248,7056,6960,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.9892080968873,57.877151198658794]}"
24,7650,137,128,8328,8696,8720,8938,8312,7734,7352,7091,6987,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.99432849400678,57.8764325464315]}"
