system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6677,312,458,5824,6132,6248,6454,6339,5888,4996,5368,5541,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.9974634489375,49.854926216886234]}"
1,8423,255,217,8480,8600,8624,9033,8734,8324,7344,7843,7607,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99665496518179,49.857082173568116]}"
2,8814,244,224,9704,10272,10312,10681,9978,9193,8600,8573,8087,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99557698684085,49.85672284745447]}"
3,6775,327,396,7036,6976,7204,7312,6748,6204,5908,5720,5715,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.9952176607272,49.85537537452829]}"
4,8672,271,210,8416,8000,10128,10467,10139,9341,6748,8261,7800,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99638547059655,49.85663301592606]}"
5,7690,344,259,7516,7540,8320,8971,8118,7414,6344,6860,7043,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.9953074922556,49.85546520605671]}"
6,8151,212,203,8312,8800,8952,9914,9459,8979,7184,8270,7495,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99503799767038,49.856363521340825]}"
7,7467,242,158,7608,7504,7548,8024,7566,7037,6436,6394,6411,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99476850308514,49.855914363698766]}"
8,7467,217,174,8120,8336,8680,8921,8541,8028,7088,7255,6411,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.9951278291988,49.855914363698766]}"
9,7690,332,298,8984,8704,9376,9316,8985,8387,7388,7554,7043,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99575664989767,49.85537537452829]}"
10,7690,391,366,9928,9920,10248,9976,9192,8396,8640,7481,7043,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99602614448291,49.85537537452829]}"
11,8423,325,237,8080,8224,8424,9341,8985,8572,6976,8032,7607,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99629563906814,49.857082173568116]}"
12,8672,271,210,8376,8052,8792,10467,10139,9341,7412,8261,7800,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99656513365338,49.85654318439765]}"
13,8672,318,193,7164,7292,7736,9389,9313,9042,6068,8282,7800,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99692445976703,49.85663301592606]}"
14,8423,285,284,8928,8880,9056,9081,8566,8097,7748,7560,7607,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99620580753974,49.85699234203971]}"
15,7509,344,339,9192,9512,9832,10048,9437,8772,8352,7855,6714,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99629563906814,49.85510587994305]}"
16,6677,209,425,5352,5368,5596,5453,5391,5236,4348,4830,5541,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99710412282386,49.85501604841465]}"
17,8672,318,193,8180,8200,8416,9389,9313,9042,7144,8282,7800,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.9967447967102,49.85654318439765]}"
18,7690,332,298,8752,8552,8800,9316,8985,8387,7372,7554,7043,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99566681836926,49.85537537452829]}"
19,7758,243,177,9752,9992,10016,10211,9453,8729,8448,8066,6971,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.9952176607272,49.8569025105113]}"
20,8423,285,284,8928,8880,9056,9081,8566,8097,7748,7560,7607,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99611597601132,49.85699234203971]}"
21,8026,359,222,8156,6960,7716,9043,9060,8795,6408,7974,7145,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99611597601132,49.856094026755585]}"
22,9141,222,211,9584,10016,10072,10423,9778,8967,8408,8052,8247,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.9953074922556,49.85654318439765]}"
23,6534,246,230,4892,5040,5168,5731,5527,5228,4070,4875,5616,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99791260657956,49.85726183662494]}"
24,9141,232,228,9560,9984,10072,10728,10071,9232,8520,8478,8247,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.99602614448291,49.85663301592606]}"
