system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6753,230,176,7332,7584,7632,7942,7384,7014,6636,6446,6474,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.13801027647415,58.667578817155565]}"
1,6580,272,219,7364,7816,8080,8406,7900,7428,7120,6907,6979,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.13333903699674,58.669644942309034]}"
2,6730,255,205,7308,7676,7848,8104,7624,7276,6940,6754,6714,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14825107071312,58.66793814326921]}"
3,6722,261,215,7284,7580,7768,8076,7557,7176,6872,6675,6624,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14744258695742,58.6678483117408]}"
4,6767,254,185,7364,7748,7904,8214,7765,7314,6948,6809,6796,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14420865193458,58.66829746938286]}"
5,6763,238,177,7352,7648,7724,7977,7474,7067,6708,6531,6521,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.1389984232867,58.667578817155565]}"
6,6708,247,198,7388,7680,7868,8162,7622,7243,6916,6715,6777,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.13792044494573,58.6685669639681]}"
7,6763,233,173,7264,7612,7640,7884,7414,7032,6684,6497,6490,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14259168442317,58.66721949104191]}"
8,6848,248,199,7568,7964,8116,8397,7887,7482,7164,6906,6958,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14169336913903,58.6685669639681]}"
9,6705,229,177,7172,7432,7520,7849,7344,6952,6556,6440,6427,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.13603398284909,58.6678483117408]}"
10,6713,240,186,7300,7636,7728,7991,7470,7093,6808,6552,6598,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.150407027395,58.667129659513506]}"
11,6764,252,191,7296,7596,7700,7979,7512,7112,6768,6583,6552,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14744258695742,58.667129659513506]}"
12,6829,242,194,7524,7804,7984,8191,7708,7328,6992,6705,6726,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14142387455382,58.66829746938286]}"
13,5906,299,273,6684,7080,7368,7576,7135,6818,6640,6353,6383,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14914938599725,58.668746627024916]}"
14,6613,248,199,7340,7744,7880,8216,7692,7292,6900,6719,6756,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.13432718380926,58.669016121610156]}"
15,6753,239,187,7316,7588,7704,7953,7469,7090,6708,6461,6474,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.13818993953097,58.66793814326921]}"
16,6421,259,216,7176,7568,7744,8000,7512,7122,6768,6589,6619,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.15085618503707,58.66811780632604]}"
17,6723,272,216,7328,7616,7884,8218,7708,7285,6880,6732,6627,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.13594415132067,58.66883645855333]}"
18,6514,271,218,7316,7632,7824,8129,7599,7218,6896,6701,6658,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.147352755429,58.66811780632604]}"
19,6747,235,171,7264,7544,7640,7876,7371,6997,6676,6464,6468,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14304084206523,58.667309322570325]}"
20,6660,247,191,7296,7652,7836,8158,7640,7258,6924,6719,6710,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.1450171356903,58.66829746938286]}"
21,6848,248,199,7568,7964,8116,8397,7887,7482,7164,6906,6958,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14160353761065,58.6685669639681]}"
22,6467,266,213,7328,7704,7848,8136,7645,7254,6992,6723,6700,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.1487900598836,58.66811780632604]}"
23,6652,218,166,7216,7432,7464,7731,7236,6781,6412,6284,6267,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.13226105865579,58.668027974797624]}"
24,6745,252,195,7368,7692,7768,8047,7508,7141,6792,6608,6578,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.14618494555964,58.667758480212385]}"
25,5701,201,142,6476,6440,6460,6352,5845,5513,5312,4968,4923,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.0924656915693,58.64745655479128]}"
26,5429,206,153,6112,6216,6220,6059,5562,5311,5040,4767,4598,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.08923175654647,58.640898853217216]}"
27,5701,199,149,6452,6592,6616,6377,6009,5663,5560,5080,4923,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09201653392725,58.647276891734464]}"
28,5492,192,132,6044,6060,6120,5794,5278,5033,5008,4482,4391,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09435215366594,58.646109081865106]}"
29,5486,195,138,6276,6288,6416,6174,5680,5255,5252,4623,4548,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09587928964896,58.64997183758682]}"
30,5572,202,138,6220,6260,6284,6237,5783,5427,5284,4857,4774,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09120805017153,58.64601925033669]}"
31,5855,201,141,6144,6080,6196,6243,5456,5212,5156,4822,5231,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09686743646148,58.65221762579712]}"
32,5647,210,138,6124,6284,6312,6562,6006,5626,5292,5116,4896,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.08923175654647,58.645120935052574]}"
33,5778,202,142,6552,6620,6668,6725,6145,5756,5660,5357,4995,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09884373008654,58.652307457325534]}"
34,5326,186,126,5704,5680,5692,5603,5130,4731,4384,4240,4234,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09273518615453,58.64494127199575]}"
35,5778,204,139,6164,6196,6208,6671,6285,5875,5140,5183,4995,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.0992928877286,58.652487120382354]}"
36,5721,207,144,6324,6460,6488,6724,6268,5995,5464,5448,4921,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.0879741151487,58.6437734621264]}"
37,5672,205,136,6040,6212,6220,6436,5890,5450,5272,4982,4912,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09138771322836,58.646827734092405]}"
38,5532,203,136,5892,5848,5900,6096,5529,5144,4744,4683,4643,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.0909385555863,58.64521076658099]}"
39,5773,198,151,6284,6324,6396,6947,6058,5668,5204,5426,5096,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.1001013714843,58.651588805098235]}"
40,5778,199,140,6624,6700,6888,6540,6120,5722,5684,5021,5156,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09650811034783,58.65194813121188]}"
41,5675,203,140,6088,6120,6132,6539,5981,5419,5016,4858,4901,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.0879741151487,58.64440228282528]}"
42,5671,195,137,5900,6064,6164,6226,5655,5356,4908,4811,4821,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09192670239884,58.64898369077429]}"
43,5671,202,140,6336,6224,6348,6355,5827,5533,5316,5033,4821,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.0924656915693,58.6490735223027]}"
44,5735,207,144,6364,6412,6596,6452,5971,5552,5380,5061,4928,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.08770462056347,58.643234472955925]}"
45,5754,199,140,6620,6616,6676,6545,5796,5594,5504,5047,4942,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09507080589324,58.65212779426871]}"
46,5735,198,145,6520,6572,6660,6704,6189,5850,5648,5298,4989,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09884373008654,58.652037962740295]}"
47,5778,201,144,6500,6660,6740,6819,6140,5770,5684,5353,4995,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.09884373008654,58.65221762579712]}"
48,5661,214,146,5988,6080,6120,6169,5706,5330,5064,4854,4848,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-134.088692767376,58.6430548098991]}"
