system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8135,123,96,8680,8816,8944,9148,8470,7788,7543,7014,7012,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.68736699778978,63.438279762834796]}"
1,8123,128,109,8592,8712,8912,9113,8434,7786,7490,7006,7061,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.67640755132354,63.44298693492358]}"
2,8331,133,102,8872,9032,9176,9243,8569,7908,7639,7150,7169,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.67322751521775,63.442627608809936]}"
3,8173,135,117,8488,8560,8680,8769,8161,7553,7307,6797,6811,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.51772913953667,63.45682099029902]}"
4,8146,127,104,8520,8752,8888,9115,8427,7778,7540,7040,7028,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.67601229259853,63.44241201314175]}"
5,8336,120,102,8880,9064,9216,9448,8772,8049,7671,7226,7251,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.68591172702952,63.43788450410978]}"
6,7398,145,122,7816,7960,8264,8536,7925,7276,7009,6575,6622,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.34827094434036,63.42566741624576]}"
7,8184,131,108,8856,9152,9232,9327,8660,7989,7809,7276,7240,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.68801378479435,63.43781263888705]}"
8,7771,128,116,8104,8344,8440,8566,8014,7348,7052,6600,6647,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.52455633569596,63.46111493735712]}"
9,8077,134,114,8368,8544,8616,8716,8117,7515,7232,6745,6804,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.51701048730936,63.45635386635128]}"
10,7346,148,126,7832,8016,8336,8441,7909,7345,7059,6593,6610,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.34931299006993,63.425577584717345]}"
11,7762,137,117,8240,8368,8464,8618,7965,7351,7084,6596,6674,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.52353225627206,63.460953240605974]}"
12,8475,125,90,9168,9432,9496,9604,8924,8209,7987,7406,7368,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.68425882690673,63.43738144755068]}"
13,8134,126,106,8608,8784,8904,9117,8450,7800,7524,7038,7192,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.687582593458,63.43727364971658]}"
16,7915,126,109,8480,8504,8912,9162,8486,7822,7588,7062,6962,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.6902236403933,63.437632975830226]}"
17,8019,137,113,8440,8552,8672,8803,8169,7535,7291,6755,6807,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.52236444640272,63.4591925426491]}"
20,8012,136,110,8440,8592,8624,8705,8033,7435,7221,6695,6748,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.51956170271626,63.45942610462297]}"
22,8287,124,107,8736,8856,8936,9096,8440,7833,7564,7026,7086,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.67383836961096,63.44230421530765]}"
24,8000,123,102,8624,8824,9056,9271,8606,7920,7671,7156,7072,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-146.68901989791257,63.43761500952455]}"
