system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8915,241,209,9208,9728,9768,10116,9383,8679,8224,7965,7884,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94640552394023,63.001087680359504]}"
1,9060,228,205,9480,10016,10160,10112,9517,8664,8640,7952,8100,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94383634222766,63.00112361297087]}"
2,8320,222,205,8832,9296,9328,9573,8949,8240,7916,7500,7392,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94698044572206,63.000386994437896]}"
3,8343,228,210,8832,9272,9320,9571,8946,8241,7904,7571,7442,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94836385125961,63.000458859660625]}"
7,8381,255,232,8864,9344,9456,9712,9117,8356,8016,7722,7577,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.9516516851995,62.99993783679583]}"
8,8135,209,193,8816,9216,9256,9433,8799,8177,7912,7471,7230,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94556110757316,62.99963240959923]}"
9,8372,241,219,8840,9288,9392,9555,8973,8292,7936,7661,7491,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94942386329487,63.00040496074357]}"
10,8248,239,221,8656,9072,9136,9336,8759,8101,7804,7422,7346,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.9492980991551,62.99948867915377]}"
11,8191,220,198,8560,8928,8984,9235,8647,7969,7584,7285,7258,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94780689578346,62.999506645459455]}"
12,8343,239,217,8840,9256,9352,9494,8859,8219,7980,7545,7494,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94981912201987,62.999883937878785]}"
13,9566,250,211,10032,10384,10664,10811,9985,9231,8920,8529,8693,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94257870082987,63.00160870322429]}"
14,8465,218,191,8976,9352,9440,9571,8907,8150,7928,7515,7456,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94421363464699,63.00065648902313]}"
15,8515,220,206,8496,8800,8832,9224,8596,7837,7328,7146,7343,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.9432793867515,63.00042292704926]}"
16,8952,233,206,9264,9656,9728,10361,9577,8947,8156,8090,7954,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.94523771407086,63.0013032760277]}"
22,6883,267,253,8880,9360,9600,10133,9683,8888,8328,8119,7029,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.9407102050389,63.001087680359504]}"
25,7973,186,171,7960,8376,8424,8741,8117,7621,7308,7032,7078,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-151.22748837634123,62.967562553956164]}"
26,7981,191,167,8080,8464,8536,8749,8205,7632,7316,7056,7047,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-151.22222424877629,62.967005598480014]}"
29,7965,189,174,8464,8768,8792,8852,8312,7741,7416,7092,7091,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-151.22348189017404,62.96736492459366]}"
30,7972,188,180,8496,8752,8792,8866,8369,7736,7452,7134,7075,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-151.22633853277756,62.967382890899344]}"
32,7940,185,177,8012,8408,8568,8821,8282,7699,7360,7108,7084,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-151.22624870124915,62.96675407020046]}"
33,8323,194,171,8400,8816,8832,9177,8570,7971,7572,7294,7270,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-151.22910534385264,62.96677203650614]}"
40,7930,194,176,8172,8464,8552,8718,8121,7560,7340,7025,6997,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-151.22527852074228,62.96714932892547]}"
41,7981,183,175,8264,8648,8656,8860,8312,7711,7412,7094,7068,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-151.22091270846147,62.967185261536834]}"
47,8070,180,169,8680,8976,8984,9153,8536,7924,7628,7244,7165,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-151.22849448945942,62.96781408223572]}"
