system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8580,479,509,8944,9192,9320,9412,9000,8454,8208,7943,8040,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.27488740336977,69.29166622154624]}"
1,8385,483,555,8576,8776,8944,9056,8762,8270,8240,7988,8129,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.27492333598113,69.29112723237576]}"
4,8052,465,523,8056,8256,8304,8540,8198,7763,7536,7444,7643,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.2763965730471,69.29101943454167]}"
5,8657,522,579,8968,9200,9352,9581,9141,8714,8552,8316,8312,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.27359382936064,69.29101943454167]}"
7,7659,422,480,7440,7560,7580,7794,7566,7288,7164,7075,7016,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.27713319158008,69.29024688339733]}"
13,8585,491,545,8392,8728,8800,8932,8638,8279,8264,8041,8452,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.2749772348982,69.29064214212234]}"
20,8151,494,531,8664,8920,8952,8801,8424,8010,8144,7641,7681,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.27756438291644,69.29116316498713]}"
25,8734,220,193,9000,9184,9192,9348,8641,7924,7604,7210,7121,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.2310855501161,69.26978326122509]}"
26,8410,228,215,8736,8816,8824,8803,8201,7572,7388,6980,6931,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.22147357657602,69.26971139600235]}"
27,9006,231,203,9264,9448,9456,9630,8931,8191,7892,7511,7472,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.22084475587715,69.26917240683188]}"
28,8262,210,196,8368,8528,8560,8645,8056,7376,7096,6727,6821,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.22531836599205,69.27102293631717]}"
29,9766,277,253,10160,10344,10352,10374,9649,8831,8624,8086,8149,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.21829354047026,69.27071750912057]}"
31,8498,236,206,8172,8400,8416,8940,8229,7521,6964,6907,7018,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.22379123000906,69.27138226243082]}"
34,9004,223,228,9208,9328,9376,9552,8845,8119,7804,7464,7443,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.22490514096137,69.26985512644781]}"
35,8487,221,181,7900,8084,8264,8889,8217,7515,6884,6850,6923,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.23298997851845,69.27168768962741]}"
38,8629,222,206,8904,9072,9096,9121,8459,7700,7472,7008,7089,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.23182216864907,69.27122056567967]}"
40,8784,240,233,8728,8904,8912,9113,8458,7698,7328,7017,7273,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.22213832988626,69.27114870045695]}"
42,8572,216,196,8664,8776,8792,9021,8362,7667,7316,7023,7092,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.22467157898748,69.27055581236942]}"
43,8460,215,196,8544,8728,8744,8856,8216,7532,7240,6843,6969,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.22774381725918,69.27111276784558]}"
44,8067,219,197,7792,7964,7984,8137,7654,7001,6700,6425,6578,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-144.2220125657465,69.2703761493126]}"
