system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6332,517,463,8016,8124,8528,8525,8374,7939,8084,7651,6120,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91392635590486,69.32743713615986]}"
1,7289,575,545,7828,7948,8216,8728,8653,8398,8224,8224,7763,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91230938839342,69.3253710110064]}"
2,9460,652,640,10104,10184,10576,10783,10565,10245,10384,10171,9977,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91527382883103,69.32492185336433]}"
3,8091,1423,1545,8800,9152,9792,9327,9382,8807,9144,8539,8011,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91383652437645,69.32267606515403]}"
4,8091,1337,1384,9840,9880,10296,10540,10318,9915,10264,9926,8011,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91401618743325,69.32294555973927]}"
5,9669,715,678,10160,10256,10632,10919,10669,10396,10432,10295,10547,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91626197564355,69.32510151642116]}"
6,7261,450,399,7368,7396,7544,7576,7182,6988,7280,6803,7077,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91329753520597,69.32707781004622]}"
7,8255,710,667,9824,9944,10536,10564,10435,9888,10248,9651,8922,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91536366035945,69.3277066307451]}"
8,9182,564,534,9056,9328,9616,9976,9658,9126,8784,8943,10202,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.9157229864731,69.32662865240415]}"
9,9460,655,649,10008,10072,10536,10826,10700,10278,10488,10163,9977,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91554332341627,69.32501168489274]}"
10,9484,662,679,10008,10104,10528,10941,10764,10417,10480,10269,9986,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91554332341627,69.32447269572226]}"
11,8999,690,638,9392,9480,10072,10172,10042,9620,9976,9437,9668,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.9144653450753,69.32662865240415]}"
12,7909,743,702,9464,9776,10224,10641,10282,9963,9872,9648,9584,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91617214411514,69.32761679921668]}"
13,9075,739,688,9704,9808,10272,10322,10165,9777,10192,9574,9689,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91374669284804,69.32375404349497]}"
14,8907,535,503,9640,9616,9968,10000,9717,9083,9064,8680,9366,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91311787214914,69.32411336960863]}"
15,8411,624,595,9544,9568,9904,9869,9790,9456,9792,9328,8823,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91410601896166,69.32519134794957]}"
16,9646,646,637,9696,9664,10032,10084,9945,9706,9968,9410,10037,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91617214411514,69.32438286419386]}"
17,9484,662,679,10072,10168,10592,10941,10764,10417,10456,10269,9986,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91590264952993,69.32447269572226]}"
18,8329,611,580,9232,9248,9584,9751,9582,9297,9408,9100,8919,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91329753520597,69.32599983170527]}"
19,5688,747,657,9640,9840,10352,10801,10510,10094,9872,9702,7231,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91590264952993,69.32788629380192]}"
20,8116,673,624,8816,8960,9400,9790,9681,9276,9320,9142,8738,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91410601896166,69.32653882087574]}"
21,7909,755,692,9632,9872,10480,10919,10548,10242,10168,9821,9584,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.9157229864731,69.32779646227351]}"
22,7261,563,515,7504,7628,7772,8663,8516,8071,7636,7819,7077,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91365686131962,69.32716764157463]}"
23,8411,613,600,8720,8832,9160,9594,9475,9174,9096,8984,8823,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91401618743325,69.3253710110064]}"
24,6789,845,898,9176,9288,9576,9558,9134,8678,9320,8436,6546,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.91293820909232,69.32357438043815]}"
25,5919,474,441,6808,6808,6920,7137,6880,6545,6444,6261,5826,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.84161197553323,69.30839285213654]}"
26,5505,306,300,5904,5880,6000,6259,6162,5756,5660,5368,5039,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.84852900322096,69.30426060182958]}"
27,4169,731,648,5600,5724,5844,5926,5880,5496,5340,5015,4463,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.84071366024912,69.3021944766761]}"
28,5884,298,292,5944,5980,6092,6431,6181,5821,5836,5616,5506,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.84772051946524,69.30237413973293]}"
29,5827,314,279,5988,5948,5980,5979,5810,5336,5368,5098,5076,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.85023580226078,69.30659622156828]}"
30,5968,279,248,5268,5260,5272,5707,5527,5166,4952,5006,5449,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.84556456278335,69.30650639003989]}"
31,5279,284,246,5156,5228,5240,5396,5204,4804,4736,4512,4543,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.8436781006867,69.3037216126591]}"
32,7947,591,580,7360,7328,7612,7848,7795,7509,7560,7255,7784,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.85481721020977,69.30156565597723]}"
33,5980,324,312,5816,5756,5860,6327,6039,5671,5448,5536,5494,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.85050529684602,69.30183515056245]}"
34,6461,383,354,6328,6304,6444,6521,6309,6047,6108,5799,5866,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-143.85158327518695,69.30165548750563]}"
