system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8701,127,129,8704,8896,8936,8944,8477,7750,7724,7143,7363,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25684239965298,-43.51704239283777]}"
1,4159,327,293,7280,7500,7804,7781,7280,6711,6862,6224,4695,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25136267641986,-43.51982717021854]}"
2,5424,267,231,6608,6896,7000,7345,7171,6519,6092,6059,5830,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2532491385165,-43.51919834951966]}"
3,8385,118,145,7412,7308,7364,7361,7395,7591,6232,6067,7343,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25971700856218,-43.51533559379794]}"
4,7947,131,157,7648,7568,7944,8052,7646,7136,6540,6631,6596,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2582797041076,-43.51641357213889]}"
5,8492,125,163,8640,9032,9056,8937,8516,7860,7751,7166,7403,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2561237474257,-43.51452711004224]}"
6,8576,142,144,7764,7748,7984,8528,8263,7181,6508,6578,7360,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25154233947669,-43.51686272978095]}"
7,8234,131,153,8128,8568,8984,8925,8461,7904,7812,7280,7447,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.26007633467583,-43.51264064794559]}"
8,9470,166,183,8000,8104,8312,9185,8690,8207,7452,7719,7804,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.26016616620424,-43.51704239283777]}"
9,7949,126,149,8192,8264,8400,8489,8097,7302,7115,6805,6932,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.26007633467583,-43.51407795240018]}"
10,7989,118,142,6088,6076,6320,6623,6124,5863,5293,5407,6655,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25962717703376,-43.51416778392859]}"
11,8438,145,172,8016,8168,8200,8852,8258,7819,7044,7125,7032,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25351863310175,-43.51776104506507]}"
12,5614,263,256,8384,8744,8752,9049,8664,8112,7945,7488,7033,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2531593069881,-43.519917001746954]}"
13,8169,124,132,8048,8448,8760,8853,8387,7772,7616,7120,7309,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.259896671619,-43.51344913170129]}"
14,7702,115,153,7900,8104,8384,8020,7686,7124,7012,6443,6756,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25531526366998,-43.51479660462748]}"
15,8063,120,133,8264,8480,8496,8376,8009,7479,7388,6875,7053,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25944751397694,-43.51856952882078]}"
16,6951,105,135,7280,7660,7956,7744,7341,6823,6921,6186,6183,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25558475825522,-43.51524576226954]}"
17,8742,150,151,9016,9088,9104,8954,8621,7933,7940,7423,7541,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.258369535636,-43.5187491918776]}"
18,7032,136,140,8696,9008,9216,8997,8043,7412,7840,7223,5843,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25881869327804,-43.51308980558765]}"
19,7580,169,188,7692,7824,8028,7978,7627,6987,7147,6547,6778,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25271014934603,-43.51883902340601]}"
20,7949,123,140,7848,8024,8336,8730,8432,7490,6903,6949,6932,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2598068400906,-43.513808457814946]}"
21,7342,122,135,7920,7500,7640,6996,7139,6732,6000,5542,5678,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25127284489145,-43.51892885493442]}"
22,7636,113,120,8148,8600,8880,8954,8353,7410,7480,6933,6767,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25648307353936,-43.51596441449683]}"
23,8351,143,143,7980,8192,8272,8260,8067,7276,6899,6548,7099,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25486610602792,-43.51785087659348]}"
24,8921,133,147,7748,8116,8200,8126,7887,7346,7251,6830,7493,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.25792037799394,-43.517132224366186]}"
25,6028,822,652,8480,8336,8656,8030,6731,6231,6512,5579,5303,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.33328903033157,-43.54821393319672]}"
26,4482,610,470,5904,6164,6584,4715,4472,4042,5052,2948,4211,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.33014492683714,-43.541925726207886]}"
27,7997,149,172,8816,9264,9472,9411,8975,8185,7500,7479,6386,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.31936514342772,-43.55243601503208]}"
28,7177,87,98,6552,6748,6764,6889,6484,5900,5064,5404,5561,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.31613120840487,-43.554322477128736]}"
29,8026,137,147,7116,7528,7536,7394,6908,6347,5820,5901,6039,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.30615990875114,-43.552885172674145]}"
30,5052,161,155,6280,6512,6616,7127,6862,6486,5168,6012,5173,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.33014492683714,-43.54318336760565]}"
31,6881,156,115,7316,7448,7608,7911,7136,6181,5792,5454,5386,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.33230088351903,-43.5473156179126]}"
32,7663,143,146,8456,8792,8904,9171,8514,7646,8471,6879,6770,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.31217862115474,-43.55270550961732]}"
33,6974,111,115,5708,5932,6016,6195,5846,5362,4576,4888,5056,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.3056209195807,-43.55135803669114]}"
34,7297,110,122,6224,6600,7012,7355,7310,7038,5125,6798,5978,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.30894468613192,-43.551627531276374]}"
35,6608,124,125,6200,6412,6676,6923,6684,6306,5061,5742,5171,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.31424474630822,-43.55423264560032]}"
36,8455,113,123,8696,8512,8520,9271,8860,8322,6884,7729,6908,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.31469390395029,-43.552885172674145]}"
37,7663,143,146,8456,8792,8904,9171,8514,7646,8471,6879,6770,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.31226845268316,-43.55270550961732]}"
38,8291,109,113,7172,7164,7236,7490,7330,7054,5688,6747,6238,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.3148735670071,-43.55252584656049]}"
39,7842,121,155,6588,6756,7036,7072,6905,6554,5176,6156,5935,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.3071480555637,-43.55468180324238]}"
40,9640,153,199,9016,9496,9808,10134,9622,8633,7564,7772,7884,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.31963463801296,-43.55234618350367]}"
41,7591,675,588,7248,7080,7656,7823,8006,7502,5635,6696,5652,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.33104324212127,-43.548573259310366]}"
42,6031,147,187,5468,5728,5776,6078,5861,5250,4340,4661,4308,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.3186464912004,-43.55351399337302]}"
43,7297,109,129,6044,6308,6528,7370,7116,6871,4956,6760,5978,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.3087650230751,-43.55135803669114]}"
44,7110,753,846,8288,7724,7780,7695,7706,7324,6613,6719,6394,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.33239071504744,-43.55001056376496]}"
45,6274,210,152,7220,6976,6988,6857,6293,5471,5628,4674,5102,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.33266020963268,-43.54767494402625]}"
46,7954,710,735,7696,7408,7916,8388,7998,7470,6171,6783,6603,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.3313127367065,-43.54938174306608]}"
47,7851,150,123,7008,6960,7128,7747,7421,6772,5480,6185,6010,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.30705822403527,-43.55441230865715]}"
48,7406,112,118,6764,6752,6756,7021,6778,6216,5341,5845,5659,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.31559221923442,-43.55387331948668]}"
49,5052,165,158,6928,7108,7144,7481,7237,6795,5667,5884,5173,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.33023475836555,-43.54300370454883]}"
