system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7900,92,102,8312,8680,8872,8843,8285,7456,7420,6746,6936,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.11239330196656,-43.60525695373831]}"
1,8031,96,110,8592,9032,9072,8924,8411,7648,7597,6925,6909,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10906953541533,-43.60498745915307]}"
2,8238,109,102,8664,9072,9152,9362,8979,7998,7622,7270,7218,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.11248313349498,-43.60471796456784]}"
3,7379,80,87,7608,8000,8060,8029,7617,6860,6765,6131,6347,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.11131532362563,-43.605526448323545]}"
4,8341,94,89,8520,8984,9016,9021,8565,7679,7411,6956,6917,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1095186930574,-43.60606543749402]}"
5,7767,87,86,7740,8184,8264,8405,7908,7124,6933,6437,6637,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1103271768131,-43.60660442666449]}"
6,8067,82,88,8116,8504,8616,8489,8039,7286,7128,6580,6697,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10781189401757,-43.605526448323545]}"
7,6287,106,100,8296,8568,8656,8377,7873,7133,7276,6533,6268,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10700341026185,-43.61864185147169]}"
8,5845,125,124,8224,8616,8664,8386,7759,7268,7265,6559,5849,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10430846440948,-43.61882151452851]}"
9,8257,79,76,7916,8392,8448,8515,8053,7258,6909,6569,6757,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1082610516596,-43.60606543749402]}"
10,5674,100,105,7724,7964,8008,8181,7555,6817,6616,6112,5803,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1082610516596,-43.61756387313075]}"
11,6814,104,106,7804,8200,8488,8363,8008,7150,7252,6357,6369,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10637458956296,-43.61774353618757]}"
12,8620,91,92,8848,9320,9344,9315,8722,7839,7724,7050,7203,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1073627363755,-43.60974853015891]}"
13,8014,86,88,7956,8392,8464,8328,7960,7073,6949,6361,6750,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10700341026185,-43.611275666141914]}"
14,8463,91,89,8728,9144,9168,9291,8727,7788,7553,7000,6963,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10772206248916,-43.60902987793161]}"
15,5519,107,108,7280,7360,7784,7964,7753,6906,6420,6087,5684,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.11167464973929,-43.604358638454194]}"
16,8437,83,83,8424,8816,8856,8843,8335,7488,7273,6735,7008,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1067339156766,-43.61082650849985]}"
17,4346,101,93,5192,5268,5580,5188,4599,3520,4464,3544,3903,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1080813886028,-43.62160629190929]}"
18,8292,85,96,8504,8800,8832,8973,8487,7519,7192,6802,6788,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10817122013123,-43.607412910420194]}"
19,7296,84,98,8464,8888,9008,8923,8455,7588,7492,6758,6393,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.11293229113704,-43.60426880692578]}"
20,8844,93,85,9152,9640,9656,9665,9083,8107,7892,7289,7324,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10682374720503,-43.610107856272556]}"
21,7725,86,82,7580,8048,8200,8308,7700,6920,6764,6347,6534,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1095186930574,-43.60813156264749]}"
22,7565,72,84,7772,8232,8280,8384,7953,7211,6784,6446,6566,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.11158481821087,-43.613701117409036]}"
23,5583,367,277,6200,6392,6464,6745,6480,5717,5412,5070,5961,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10251183384125,-43.61666555784663]}"
24,5711,112,107,7140,7524,7616,7585,6999,6587,6331,5939,5903,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.10637458956296,-43.6202588189831]}"
25,8329,373,150,7540,7660,8120,8358,8326,7482,6656,6532,7025,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15650058241684,-43.521174643144725]}"
26,8797,824,807,9528,10032,10616,10566,9818,9112,9304,8611,7919,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.14733776651883,-43.51937801257648]}"
27,7458,135,135,6976,7276,7624,7469,7501,6871,6556,5905,6975,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15721923464415,-43.51668306672413]}"
28,8773,549,293,6452,6684,7276,7925,8022,7233,6012,6202,7427,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15892603368397,-43.51910851799125]}"
29,6732,178,130,6172,6456,7056,7108,6594,6035,5892,5440,6035,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1547039518486,-43.51695256130936]}"
30,7789,488,280,8012,8432,8520,8905,8080,7489,7259,7057,6939,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1524581636383,-43.51578475144001]}"
31,7946,168,236,7852,8136,8880,9696,9035,7917,7565,7047,7034,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15703957158732,-43.520186496332194]}"
32,7870,421,392,6896,7316,7464,8011,7464,6846,6476,6359,6596,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1613514849511,-43.52512723039485]}"
33,7149,315,212,8832,9216,9408,8962,8508,7680,7859,6888,6168,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15380563656447,-43.51749155047983]}"
34,8535,696,642,9160,9664,9792,9867,9326,8530,8343,7921,7775,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15290732128037,-43.520905148559486]}"
35,8419,1099,968,8304,8768,8912,9064,8499,7917,7627,7342,7718,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15111069071213,-43.52216278995726]}"
36,7988,284,165,8032,8384,8456,8739,8089,7440,7376,6912,7098,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15290732128037,-43.515425425326356]}"
37,8282,364,314,8832,9288,9688,9196,8762,7963,8160,6988,7487,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15380563656447,-43.52009666480378]}"
38,6951,181,218,7784,8164,8288,7064,6225,5796,6544,5312,5962,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15703957158732,-43.51838986576395]}"
39,7740,387,244,7988,8408,8464,8315,7722,7256,7409,6770,7060,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15290732128037,-43.51578475144001]}"
40,7977,181,171,8336,8808,9016,9220,8699,7994,7564,7257,7081,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.15066153307006,-43.51596441449683]}"
