system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7775,211,166,8624,8904,8944,9161,8493,7798,7464,7051,6865,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7514547950892,-43.29830262115467]}"
1,8058,213,180,8888,9248,9264,9557,8841,8101,7780,7378,7176,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7513649635608,-43.29884161032514]}"
2,7172,200,177,8336,8832,8856,8826,8339,7593,7404,6895,6952,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.742471642248,-43.300368746308145]}"
3,7892,191,169,8512,8784,8792,9016,8301,7640,7296,6898,6883,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.75307176260063,-43.29884161032514]}"
4,4898,351,320,7960,8288,8304,8137,7400,6951,7192,6425,5545,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74292079989007,-43.30099756700703]}"
5,6786,178,156,7524,7944,7956,8160,7716,6959,6612,6301,6515,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74435810434466,-43.30018908325132]}"
6,7220,186,165,7816,8192,8240,8510,7837,7224,6872,6609,6700,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7512751320324,-43.30027891477973]}"
7,7470,181,160,7852,8224,8304,8496,7854,7250,6988,6581,6687,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7492090068789,-43.29839245268308]}"
8,7148,190,164,7752,8144,8160,8412,7844,7223,6840,6526,6523,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.75046664827667,-43.3000094201945]}"
9,7328,168,152,7636,8080,8092,8460,7872,7271,6888,6576,6643,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7529819310722,-43.30045857783656]}"
10,7130,184,154,7408,7832,7880,8074,7412,6816,6520,6251,6431,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7446275989299,-43.29947043102403]}"
11,7775,191,153,7940,8304,8328,8561,7953,7337,6996,6621,6865,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.75172428967443,-43.298212789626255]}"
12,7411,200,164,8032,8440,8488,8619,7999,7384,7060,6708,6691,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.745525914214,-43.29857211573991]}"
13,7334,196,162,8416,8880,8904,9060,8398,7758,7404,7047,6801,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7522632788449,-43.30018908325132]}"
14,7592,187,161,8096,8472,8488,8794,8143,7542,7148,6833,6932,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.75414974094156,-43.30027891477973]}"
15,7182,180,155,7612,8068,8124,8304,7594,7042,6832,6425,6475,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74714288172544,-43.29982975713767]}"
16,7091,179,150,7716,8188,8296,8516,7900,7288,7064,6659,6601,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.75091580591874,-43.30063824089338]}"
17,3646,742,622,6952,7160,7188,5114,4415,4291,5980,4121,4044,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.743998778231,-43.30090773547862]}"
18,7833,210,185,8172,8640,8688,9146,8415,7828,7240,7041,7044,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74678355561178,-43.298661947268315]}"
