system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,6363,132,121,6188,6464,6696,6876,6612,6228,6044,5841,6056,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.8770392718091,-43.279168505602925]}"
1,6153,133,135,6260,6612,6776,7089,6815,6362,6100,5983,5826,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87721893486594,-43.2797074947734]}"
2,6434,128,125,6856,7152,7340,7488,7171,6744,6616,6342,6256,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87362567372946,-43.27656339127898]}"
3,6434,128,150,6408,6684,6984,7135,6848,6499,6392,6131,6256,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87344601067264,-43.27620406516533]}"
4,6078,168,153,6828,7144,7388,7126,6771,6403,6176,5958,6221,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.86913409730886,-43.27907867407451]}"
5,6513,168,154,7316,7704,7796,8092,7631,7098,6896,6582,5981,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.86742729826904,-43.27647355975056]}"
6,6434,115,130,6568,6932,7256,7274,7019,6653,6588,6248,6238,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87650028263863,-43.278180358790394]}"
7,6704,120,127,6968,7384,7604,7719,7375,6910,6876,6547,6426,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87793758709324,-43.27880917948928]}"
8,6017,93,105,6164,6500,6660,6904,6642,6274,6108,5881,5712,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87515280971246,-43.277282043506275]}"
9,7160,173,188,7616,7916,8048,8431,8018,7532,7220,7047,6830,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87838674473528,-43.2767430543358]}"
10,6562,116,130,6364,6724,7100,7368,7088,6726,6612,6307,6348,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87712910333752,-43.277731201148335]}"
11,6321,138,139,6328,6640,6812,6970,6702,6318,6176,5895,5982,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87659011416704,-43.279348168659745]}"
12,6403,138,129,6596,6908,7044,7209,6955,6519,6348,6149,6038,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87641045111022,-43.2789888425461]}"
13,6366,169,147,6488,6840,7016,7409,7027,6578,6276,6163,6054,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.86670864604173,-43.276293896693744]}"
14,6269,136,132,6532,6828,7172,7431,7176,6783,6600,6382,6499,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87407483137153,-43.27566507599486]}"
15,6363,102,125,6300,6668,6820,7051,6743,6396,6148,5949,6056,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.877668092508,-43.27925833713134]}"
16,6366,124,124,5528,5756,5888,6334,6088,5705,5292,5335,6054,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.86697814062697,-43.27611423363692]}"
17,7036,147,145,7040,7464,7628,7981,7715,7229,6996,6782,6690,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87137988551916,-43.27737187503468]}"
18,5497,166,155,6284,6660,6884,6966,6604,6244,6260,5836,5846,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.8703019071782,-43.275844739051685]}"
19,6659,128,132,6924,7204,7372,7527,7203,6860,6676,6442,6352,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87641045111022,-43.278449853375626]}"
20,6321,133,136,6480,6752,6920,7084,6838,6404,6268,6016,5982,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87641045111022,-43.279348168659745]}"
21,6321,137,122,6484,6812,6992,7235,6932,6479,6332,6088,5982,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.8769494402807,-43.27979732630181]}"
22,7000,182,148,8080,8480,8504,8392,7679,7160,7520,6871,6384,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87461382054198,-43.2797074947734]}"
23,6678,114,131,7128,7432,7708,7796,7470,7033,6900,6599,6644,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87641045111022,-43.27710238044945]}"
24,6476,186,171,7084,7516,7872,8074,7743,7242,7168,6816,6569,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.87182904316123,-43.2752159183528]}"
