system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7378,278,261,7748,8156,8344,8487,8082,7611,7408,7041,7115,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.21767585326538,-43.51551525685477]}"
1,9202,348,323,9736,10256,10392,10358,9902,9323,9240,8621,8603,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2163283803392,-43.51686272978095]}"
2,7531,206,180,7916,8352,8440,8467,8069,7541,7364,6916,6971,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2139927606005,-43.51308980558765]}"
3,8019,239,216,8728,9088,9112,9211,8608,7995,7780,7281,7173,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20294348260583,-43.51264064794559]}"
4,8496,257,242,9048,9408,9456,9501,8995,8392,8223,7706,7651,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.19719426478747,-43.50635244095675]}"
5,7504,211,203,8068,8512,8656,8744,8260,7731,7628,7133,7148,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20905202653785,-43.513808457814946]}"
6,7621,205,192,8084,8440,8568,8618,8140,7524,7308,6889,6999,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2020451673217,-43.51407795240018]}"
7,7505,207,185,8080,8368,8440,8411,7906,7416,7252,6744,6764,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.21587922269714,-43.50985587056482]}"
8,7628,198,185,8240,8568,8624,8673,8201,7675,7540,7047,7010,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20411129247518,-43.50814907152499]}"
9,7123,202,176,7436,7856,7984,8150,7801,7304,7052,6734,6816,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2125554561459,-43.51407795240018]}"
10,8385,346,316,8968,9344,9360,9568,9031,8458,8216,7832,7698,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.21417242365732,-43.5165034036673]}"
11,7303,208,186,7736,8128,8248,8397,7948,7389,7184,6842,6901,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.21516057046983,-43.51237115336035]}"
12,7822,224,200,8368,8712,8800,8858,8362,7794,7628,7124,7204,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20950118417989,-43.513988120871765]}"
13,7830,233,213,8392,8592,8688,8723,8258,7676,7440,6972,7078,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20680623832754,-43.514437278513824]}"
14,7770,218,195,8148,8488,8592,8601,8123,7579,7364,6910,7022,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2064469122139,-43.510394859735285]}"
15,7525,224,196,8096,8480,8584,8662,8125,7605,7436,6972,7163,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20168584120805,-43.51389828934335]}"
16,7758,206,185,8240,8568,8600,8654,8119,7553,7320,6860,6963,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20995034182195,-43.51147283807623]}"
17,8514,309,292,8928,9168,9296,9358,8877,8327,8248,7689,8005,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2171368640949,-43.51677289825254]}"
18,8165,213,200,8792,9152,9216,9285,8700,8100,7852,7443,7447,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.19638578103175,-43.510664354320525]}"
19,8061,232,212,8888,9224,9280,9294,8744,8087,7900,7365,7264,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.204290955532,-43.51093384890576]}"
20,8019,237,213,8704,8992,9032,9020,8462,7872,7588,7133,7173,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20303331413425,-43.512550816417175]}"
21,8433,248,232,8904,9176,9208,9282,8751,8248,8036,7539,7590,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20069769439553,-43.50976603903641]}"
22,7613,212,199,8084,8480,8520,8552,7998,7455,7315,6830,6881,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.21507073894145,-43.51093384890576]}"
23,8136,228,204,8568,8776,8880,8968,8454,7888,7597,7187,7352,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2096808472367,-43.508508397638636]}"
24,7492,208,184,7868,8156,8224,8372,7934,7344,7060,6722,6755,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20312314566266,-43.5120118272467]}"
