system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8539,1139,1126,9144,9440,9608,9837,9546,9293,9352,8978,9043,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74292079989007,-43.30890274150728]}"
1,9106,1116,1120,9624,10032,10216,10543,10175,9867,9880,9557,9738,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74067501167977,-43.29956026255244]}"
2,8433,985,985,8968,9240,9368,9586,9304,9016,9064,8765,8861,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7582819912485,-43.309621393734574]}"
3,9109,1093,1074,9800,10136,10264,10489,10161,9836,9896,9461,9630,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7468733871402,-43.30710611093904]}"
4,8895,1069,1049,9680,10040,10144,10326,10005,9696,9760,9365,9429,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7521734473165,-43.307734931637924]}"
5,8571,1128,1153,9288,9512,9632,9916,9622,9407,9440,9149,9036,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73061388049763,-43.30692644788222]}"
6,8718,1134,1149,9368,9632,9784,10078,9749,9544,9520,9261,9296,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73321899482158,-43.30647729024016]}"
7,8580,1117,1106,9016,9304,9416,9688,9362,9164,9176,8873,9050,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7418428215491,-43.30935189914934]}"
8,8583,1076,1082,9208,9528,9672,9892,9611,9362,9416,9046,9083,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73070371202604,-43.30809425775157]}"
9,9176,1192,1187,9664,9960,10120,10327,10044,9827,9808,9479,9633,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73887838111153,-43.30701627941063]}"
10,8537,1004,1003,9040,9248,9352,9580,9315,9034,9016,8779,8901,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74363945211735,-43.312765497228995]}"
11,6180,1125,1107,9288,9560,9616,10183,9598,9269,8984,8897,6424,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.75397007788473,-43.31114852971758]}"
12,9192,1113,1101,9792,10184,10304,10552,10211,9940,10016,9573,9815,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74732254478226,-43.29830262115467]}"
13,9117,1109,1115,9584,9944,10080,10451,10135,9865,9840,9554,9688,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73232067953745,-43.30845358386522]}"
14,9176,1196,1196,9616,9920,10008,10354,10014,9802,9808,9534,9633,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73896821263995,-43.30665695329698]}"
15,8873,1107,1102,9768,10120,10296,10536,10181,9907,9968,9578,9477,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7514547950892,-43.29830262115467]}"
16,8374,1113,1138,9144,9360,9488,9742,9444,9206,9288,8966,8859,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73142236425335,-43.30548914342763]}"
17,9170,1184,1179,9672,10008,10128,10390,10083,9747,9728,9397,9713,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7380698973558,-43.298931441853554]}"
18,8745,1164,1177,9440,9680,9816,10123,9778,9550,9568,9278,9228,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73833939194105,-43.3060281325981]}"
19,8746,1108,1090,9192,9448,9504,9773,9499,9205,9152,8923,8992,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73384781552045,-43.298212789626255]}"
20,8854,1106,1101,9440,9784,9912,10253,9942,9614,9648,9350,9491,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74426827281624,-43.29830262115467]}"
21,9088,1142,1127,9656,10048,10248,10420,10062,9800,9960,9500,9744,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.74714288172544,-43.29947043102403]}"
22,9090,1185,1175,9392,9552,9600,9965,9633,9416,9376,9110,9232,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73672242442964,-43.29713481128532]}"
23,9363,1323,1317,10224,10488,10648,10718,10403,10083,10368,9859,9979,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73402747857727,-43.302255208404794]}"
24,8241,1051,1064,8392,8576,8752,8982,8764,8592,8544,8326,8624,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.73169185883856,-43.3045908281435]}"
