system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8693,133,156,8936,9144,9224,9369,8745,7978,7784,7235,7375,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17446688809923,-43.583338060805794]}"
1,8937,138,132,8880,8944,9424,9457,8859,8090,7452,7389,7506,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1794974536903,-43.58369738691944]}"
2,8405,205,174,8456,8600,8848,9110,8555,7856,7308,7183,7134,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17446688809923,-43.58495502831721]}"
3,8122,271,214,8072,8240,8312,8154,7723,6956,6920,6191,6628,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17788048617888,-43.58531435443086]}"
4,8937,138,132,8944,8888,9264,9457,8859,8090,7544,7389,7506,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1793177906335,-43.58378721844785]}"
5,8731,131,132,8928,9152,9248,9278,8706,7954,7564,7264,7352,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17841947534936,-43.58154143023756]}"
6,8211,180,193,8448,8744,8880,8930,8333,7495,7256,6704,6968,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17482621421289,-43.58612283818656]}"
7,9078,141,140,9392,9704,9768,9865,9173,8380,7972,7645,7735,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.172670257531,-43.582888903163735]}"
8,8738,130,140,8976,9368,9440,9465,8835,8107,7772,7421,7360,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17922795910508,-43.58324822927738]}"
9,8562,163,126,8960,9112,9152,9196,8600,7921,7724,7216,7210,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1780601492357,-43.58172109329438]}"
10,8405,205,174,8744,8656,8744,9110,8555,7856,7385,7183,7134,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17437705657082,-43.585044859845624]}"
11,8902,123,128,9104,9520,9592,9681,9000,8226,7987,7536,7546,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17608385561064,-43.58172109329438]}"
12,8663,189,128,8888,9032,9088,9039,8628,7908,7700,7209,7293,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17859913840618,-43.58181092482279]}"
13,8723,126,136,8872,9016,9040,9129,8661,7965,7692,7303,7357,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.178778801463,-43.583338060805794]}"
14,8405,234,220,8240,8512,8816,8891,8413,7762,7212,7046,7134,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17455671962765,-43.58495502831721]}"
15,8565,128,118,8952,9120,9168,9255,8659,7890,7504,7206,7242,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1749160457413,-43.583338060805794]}"
16,7696,163,162,7796,7668,8024,7664,6831,6259,6488,5876,6179,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17743132853684,-43.58522452290244]}"
17,9066,126,135,8968,9456,9560,9667,9030,8274,7808,7491,7595,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1793177906335,-43.58324822927738]}"
18,8160,117,113,8248,8608,8664,8517,8056,7354,7177,6698,6827,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1758143610254,-43.58513469137403]}"
19,8738,132,130,8904,9016,9128,9301,8706,7992,7660,7322,7360,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.178778801463,-43.58324822927738]}"
20,8406,124,125,8328,8712,8920,8971,8357,7639,7237,6984,7106,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17590419255382,-43.5848651967888]}"
21,8406,135,127,8280,8712,8832,8973,8347,7681,7232,7040,7106,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17554486644016,-43.584775365260384]}"
22,8731,131,122,8976,9064,9240,9292,8679,7966,7651,7384,7352,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17823981229253,-43.58163126176596]}"
23,8937,141,134,8640,8912,9408,9499,8924,8183,7448,7432,7506,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1793177906335,-43.58351772386262]}"
24,8728,144,131,9352,9528,9648,9684,8986,8229,8184,7549,7453,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.17258042600258,-43.58306856622056]}"
