system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8078,124,114,8488,8976,9048,9166,8528,7720,7508,7038,7091,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60938606749485,-44.45084113068002]}"
1,8007,95,88,8288,8744,8768,8899,8244,7416,7164,6796,6808,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60476872693448,-44.4512723220164]}"
2,7288,109,103,7968,8440,8576,8791,8246,7533,7263,6955,6761,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60845181959937,-44.452152670994835]}"
3,7831,113,103,8312,8752,8824,8960,8325,7582,7392,6895,6928,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60723011081296,-44.45154181660163]}"
5,8035,103,94,8416,8864,8888,9032,8386,7603,7341,6912,6932,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.6054873791618,-44.45148791768459]}"
6,7985,109,89,8376,8800,8872,8996,8364,7580,7360,6897,6926,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.6063677281402,-44.451703513352776]}"
7,8164,114,105,8496,8936,8968,9137,8469,7653,7411,7003,6960,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60356498445375,-44.45267369385962]}"
8,6483,101,94,7944,8352,8472,8601,8090,7389,7169,6705,6679,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.6062778966118,-44.45362590806079]}"
9,8165,118,119,8712,9216,9264,9345,8702,7877,7701,7171,7166,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.6087213141846,-44.4493319610027]}"
10,8160,105,92,8480,8880,8896,9024,8333,7527,7309,6773,6842,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60351108553672,-44.450374006732275]}"
11,7949,109,104,8304,8664,8752,8962,8383,7618,7372,6951,6911,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60431956929241,-44.453733705894884]}"
13,7924,94,87,8216,8704,8768,8852,8183,7409,7221,6708,6786,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60599043572088,-44.449924849090216]}"
14,7744,115,107,8192,8672,8744,8845,8299,7518,7299,6852,6895,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60814639240277,-44.45159571551868]}"
15,7661,113,109,8312,8728,8864,8925,8341,7552,7409,6947,6968,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60884707832437,-44.45159571551868]}"
16,8004,104,94,8288,8768,8856,8966,8322,7514,7309,6857,6905,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.6066012901141,-44.45103876004253]}"
18,8105,94,88,8304,8752,8768,8902,8271,7402,7168,6755,6819,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60469686171174,-44.45073333284593]}"
19,8078,124,111,8456,8968,9040,9192,8518,7704,7515,7002,7091,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60997895558236,-44.45051773717774]}"
21,7931,111,102,8304,8816,8872,8921,8299,7537,7364,6861,6946,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.61060777628126,-44.45040993934364]}"
22,7690,105,99,8104,8504,8608,8658,8138,7484,7235,6800,6878,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.60746367278685,-44.45247606449712]}"
