system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7568,112,104,7784,7860,8232,8402,7816,7003,6916,6413,6472,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38818154649375,-48.98912994605184]}"
1,7568,111,104,7540,7744,8188,8339,7832,7077,6948,6447,6472,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38818154649375,-48.989489272165486]}"
2,8053,98,92,8184,8360,8376,8546,7869,7083,6908,6425,6531,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.36716096884535,-48.98194342377888]}"
3,8002,104,96,8084,8208,8224,8417,7757,7018,6864,6376,6440,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.36716096884535,-48.98275190753459]}"
4,8106,101,79,8100,8376,8456,8596,7982,7212,7012,6554,6614,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.3697660831693,-48.9850875272733]}"
5,8029,105,105,8072,8440,9168,9352,8726,7879,7704,7172,6955,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.43174983777355,-49.01670822527431]}"
6,7568,120,102,7660,7824,8216,8374,7748,7017,6964,6413,6472,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38809171496534,-48.98912994605184]}"
7,7325,145,129,7300,7516,8136,8428,7859,7124,6952,6503,6483,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38692390509598,-49.00341315906934]}"
8,8042,101,98,7968,8184,8296,8404,7815,7041,6904,6353,6472,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.3676101264874,-48.981853592250474]}"
9,8031,101,103,8224,8408,8464,8574,7966,7172,7012,6524,6560,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.36841861024313,-48.98365022281871]}"
10,7965,99,96,8000,8216,8272,8440,7819,7087,6976,6391,6470,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.37156271373753,-48.985896011029006]}"
11,8111,105,89,8328,8472,8544,8615,7940,7185,7036,6488,6610,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.369047430942,-48.98418921198918]}"
12,7134,143,135,7120,7372,7968,8304,7723,6928,6832,6348,6448,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40345290632378,-48.987333315483596]}"
13,7931,95,89,7940,8136,8200,8314,7705,6982,6816,6309,6413,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.36787962107265,-48.98248241294935]}"
14,7386,148,142,7232,7456,8048,8267,7727,7011,6872,6371,6570,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38800188343693,-49.004041979768225]}"
15,8031,103,91,8112,8280,8440,8552,7889,7149,7056,6484,6560,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.36913726247042,-48.98338072823347]}"
16,8053,98,92,8184,8360,8376,8546,7869,7083,6908,6425,6531,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.36707113731694,-48.98194342377888]}"
17,8111,104,98,8164,8368,8464,8558,7938,7131,6964,6484,6610,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.36859827329994,-48.98418921198918]}"
