"system:index","B1","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","B9","class",".geo"
11,6469,1127,1104,6928,7256,7376,7482,7130,6661,6448,6031,6288,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91719484302989,-45.92596465873268]}"
12,5649,1182,1172,6576,6900,7104,6572,6418,5791,6240,5426,5945,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91135579368311,-45.91958662021543]}"
13,6580,1133,1122,7156,7460,7656,7829,7435,6878,6648,6324,6381,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91530838093324,-45.925784995675855]}"
14,5638,1137,1126,6224,6516,6792,6984,6704,6261,6160,5813,5851,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93165771910421,-45.918239147289256]}"
15,6619,1135,1117,7084,7488,7668,7941,7532,6994,6732,6458,6449,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.916566022331,-45.92506634344856]}"
16,6206,1137,1107,6680,7088,7332,7539,7185,6770,6512,6195,6258,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.9233932184903,-45.92407819663603]}"
17,6282,1137,1119,6892,7260,7460,7598,7264,6867,6616,6297,6308,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91926096818337,-45.91904763104496]}"
18,6176,1138,1117,6680,7076,7300,7522,7183,6766,6515,6224,6293,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.92078810416636,-45.91832897881767]}"
19,6212,1136,1120,6760,7148,7364,7543,7207,6737,6536,6241,6298,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91971012582542,-45.91832897881767]}"
20,6838,1127,1119,7280,7608,7776,8073,7619,7131,6772,6515,6497,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91270326660928,-45.92452735427809]}"
21,6702,1129,1118,7264,7568,7684,7884,7474,6970,6736,6426,6410,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91171511979675,-45.922730723709854]}"
22,6599,1127,1141,7120,7476,7668,7834,7416,6890,6692,6326,6381,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91270326660928,-45.92542566956221]}"
23,5879,1110,1089,5348,5608,5688,5783,5546,5069,4758,4650,5656,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91665585385941,-45.92596465873268]}"
24,6632,1126,1106,7440,7832,7896,7976,7558,6983,6821,6409,6372,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91405073953547,-45.925605332619035]}"
25,6180,1137,1118,6792,7196,7364,7528,7201,6773,6536,6214,6289,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.92114743028002,-45.9178798211756]}"
26,5202,1113,1110,5636,5500,5576,5636,5052,4876,4364,4177,4673,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91018798381376,-45.92407819663603]}"
27,6429,1135,1113,7012,7376,7548,7719,7329,6917,6659,6294,6374,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91854231595606,-45.91940695715861]}"
28,6164,1136,1115,6660,7068,7200,7407,7048,6624,6448,6101,6171,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.92096776722319,-45.923718870522386]}"
29,6232,1135,1114,6792,7200,7400,7677,7295,6828,6668,6311,6324,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.92195591403572,-45.92066459855638]}"
30,6465,1133,1120,7196,7512,7632,7835,7394,6895,6674,6295,6269,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91396090800706,-45.92641381637474]}"
31,5645,1139,1122,6404,6756,6988,7007,6705,6264,6176,5805,5825,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93264586591674,-45.92192223995414]}"
32,6709,1128,1117,7212,7548,7812,7871,7479,7001,6752,6377,6404,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91827282137083,-45.925156174976976]}"
33,5624,1130,1120,6448,6792,7056,7061,6706,6321,6238,5772,5810,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.93390350731451,-45.9193171256302]}"
34,6881,1132,1114,7200,7636,7772,8033,7613,7083,6704,6428,6525,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.91243377202404,-45.92407819663603]}"
35,5820,1137,1129,6396,6776,7036,7192,6887,6462,6335,5992,6045,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.92716614268362,-45.92075443008479]}"
