system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,10577,1741,1801,10664,10680,10776,10995,10701,10310,10168,9950,9924,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4148615104321,-49.312972605976924]}"
1,10577,1673,1713,10608,10624,10664,10837,10603,10095,10040,9814,9924,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41513100501733,-49.31306243750534]}"
2,9992,1439,1427,9888,10032,10040,10269,9857,9363,9216,8931,8535,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41126824929562,-49.30533692606191]}"
3,10700,1780,1817,10776,10816,10832,10949,10678,10320,10232,10037,10015,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41791578239811,-49.30713355663015]}"
4,10313,1909,1943,10352,10448,10520,10735,10572,10211,10088,9988,9647,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41324454292068,-49.31045732318139]}"
5,10299,1880,1909,10392,10456,10536,10708,10433,10111,9968,9756,9719,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41207673305132,-49.31090648082345]}"
6,10664,1687,1747,10744,10720,10736,10928,10644,10200,10088,9912,9681,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41477167890369,-49.31000816553933]}"
7,10377,1760,1796,10464,10472,10480,10726,10532,10108,9936,9773,9685,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.42150904353458,-49.30668439898809]}"
8,10132,1758,1799,9584,9616,9640,9788,9481,9184,9176,8793,9259,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41324454292068,-49.30982850248251]}"
9,10635,1745,1778,10768,10776,10800,10927,10685,10331,10304,10021,9819,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41495134196052,-49.308930187198385]}"
10,9891,1682,1722,10344,10368,10384,10560,10189,9811,9760,9481,8732,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.42222769576188,-49.30614540981762]}"
11,9384,1787,1829,9744,9832,9944,10217,10006,9659,9616,9345,8639,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41252589069339,-49.30839119802792]}"
12,9819,1574,1587,10024,10128,10192,10337,10027,9479,9504,9165,9006,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41153774388086,-49.305606420647145]}"
13,7796,1643,1534,8288,8076,8108,6135,5606,5450,6584,4998,6043,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40731566204549,-49.31153530152233]}"
14,9726,1775,1800,9856,10056,10064,10272,10027,9671,9528,9378,9151,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41225639610815,-49.307043725101735]}"
15,10090,1449,1460,8140,7920,7940,8796,8560,8133,7060,7648,8174,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40821397732961,-49.312792942920105]}"
16,9726,1747,1766,9656,9736,9776,9981,9752,9416,9248,9094,9151,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41270555375021,-49.30668439898809]}"
17,10577,1741,1801,10584,10600,10672,10995,10701,10310,10064,9950,9924,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41495134196052,-49.31288277444851]}"
18,10142,1731,1770,10240,10304,10344,10483,10237,9877,9712,9477,9303,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.42734809288136,-49.30398945313573]}"
19,9866,1791,1818,9952,10008,10064,10278,10062,9736,9616,9478,9436,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41324454292068,-49.30857086108474]}"
20,9437,1406,1397,9200,9312,9352,9457,9144,8760,8512,8301,7897,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.42627011454042,-49.30380979007891]}"
21,9819,1721,1747,10128,10192,10240,10418,10117,9753,9664,9361,9006,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41207673305132,-49.305875915232384]}"
22,10537,1792,1822,10720,10832,10872,10965,10751,10386,10304,10064,9801,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41045976553991,-49.312972605976924]}"
23,9819,1700,1741,10088,10144,10176,10356,10091,9673,9552,9329,9006,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41198690152292,-49.306055578289204]}"
24,8876,1382,1370,7060,7132,7412,8319,7973,7674,6596,7057,6983,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41171740693768,-49.30866069261315]}"
25,5885,1197,1193,8376,8816,8888,9399,8901,8308,7756,7652,6213,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.04493527643169,-49.344233977864285]}"
26,3646,1380,1354,6180,6560,6580,7318,7041,6578,5804,5826,4101,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.08994087216607,-49.36893764817757]}"
27,7179,1111,1099,7616,7784,7880,7950,7582,6898,6612,6011,6018,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.08383232823405,-49.36435624022856]}"
28,7441,1157,1149,7212,7616,7828,8535,8020,7688,6936,6951,7196,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.13207185899127,-49.37163259402993]}"
29,8761,1134,1119,8968,9224,9352,9368,8804,8036,7440,7257,7456,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.09560025845602,-49.36291893577397]}"
30,6989,1094,1086,7264,7444,7484,7365,6822,6158,6292,5861,6051,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.07314237635303,-49.35195948930771]}"
