system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,8921,1411,1444,9520,9552,9664,9926,9732,9420,9552,9039,9227,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00440753427233,-54.49975522495463]}"
1,9692,1721,1753,10104,10392,10592,10808,10525,10325,10576,9980,10303,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99731084352779,-54.50730107334123]}"
2,8872,1480,1431,9792,9976,10184,10368,10018,9739,10016,9366,9328,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00216174606204,-54.49373651255103]}"
3,8995,1184,1194,9312,9320,9424,9612,9299,8889,8968,8528,8919,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00818045846563,-54.500024719539866]}"
4,8334,1397,1374,8528,8704,8832,9070,8797,8526,8688,8179,8356,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.02210434536948,-54.48969409377249]}"
5,9107,1421,1406,9744,9792,9920,10077,9827,9443,9656,9058,9274,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.02381114440932,-54.49409583866468]}"
6,9403,1635,1676,9944,10128,10352,10655,10372,10108,10448,9761,9932,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.01599580143748,-54.50137219246604]}"
7,8482,1802,1816,10120,10384,10576,10986,10704,10266,10504,10016,9410,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.03234513960845,-54.489334767658846]}"
8,8710,1564,1562,9728,9984,10208,10292,9992,9711,10104,9469,8916,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9981193272835,-54.49490432242038]}"
9,8725,1480,1475,9216,9344,9504,9654,9398,9213,9432,8879,8996,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99605320213003,-54.494814490891976]}"
10,8146,1415,1381,9080,9264,9392,9663,9331,8995,8968,8657,8653,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.02650609026168,-54.4920297135112]}"
11,9051,1218,1203,9544,9704,9728,9915,9574,9261,9416,8981,9068,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00818045846563,-54.49831792050004]}"
12,9313,1631,1639,9912,9984,10072,10405,10018,9738,10016,9432,9547,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99326842474926,-54.50819938862536]}"
13,8764,1413,1411,9504,9608,9776,9928,9597,9188,9368,8752,8948,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.01339068711353,-54.49688061604545]}"
14,7547,1316,1231,9216,9496,9544,9333,8907,8490,9728,7969,7102,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9921006148799,-54.49939589884098]}"
15,9052,1118,1113,9496,9696,9776,10028,9696,9366,9376,8911,9116,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.02039754632966,-54.495263648534035]}"
16,9795,1581,1625,10560,10568,10696,10860,10567,10212,10480,9877,9811,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00539568108486,-54.50307899150587]}"
17,9184,1218,1178,8624,8832,8872,9217,8845,8521,8488,8133,9056,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.02947053069927,-54.49104156669867]}"
18,9955,1626,1640,10256,10264,10344,10745,10373,9955,9920,9506,9865,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00431770274392,-54.50316882303429]}"
19,9052,1502,1482,9752,9920,9968,10147,9758,9492,9800,9066,9097,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.01958906257396,-54.48906527307361]}"
20,9473,1780,1765,10192,10296,10568,10623,10357,10024,10400,9672,10014,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.01419917086923,-54.502360339278574]}"
21,8640,1374,1363,9320,9568,9576,9779,9391,9087,9176,8660,8787,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.01033641514752,-54.49706027910227]}"
22,8176,1433,1428,8800,9296,9640,9789,9448,9336,9456,9029,8620,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98931583749913,-54.50065354023875]}"
23,8560,1486,1489,9176,9424,9568,9667,9502,9220,9408,8890,9038,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00548551261328,-54.49840775202845]}"
24,7809,851,844,8752,8968,9016,9225,8836,8409,8584,7946,7865,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.01869074728984,-54.49598230076133]}"
25,6688,795,774,7076,7060,7152,7622,6996,6633,6644,6389,6427,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.07411680032001,-54.48035161481765]}"
26,5914,620,623,5236,5412,5424,6177,6080,5800,4600,5052,5318,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.08022534425203,-54.48250757149954]}"
27,8326,1166,1156,8728,8856,9000,8987,8691,8459,8520,7918,7943,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.09468822032635,-54.500473877181925]}"
28,8759,1481,1485,9632,9696,9784,9932,9555,9244,9704,8997,9176,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.11256469448033,-54.49553314311927]}"
