system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,9819,1589,1685,10056,10440,10496,10637,10265,9876,10080,9588,9779,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.39662571016447,-48.604201846806625]}"
1,9685,1701,1762,9744,10016,10128,10396,10078,9757,9808,9574,9797,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.34173864630478,-48.597464482175724]}"
2,9509,1552,1618,9840,10080,10256,10422,10131,9816,9968,9556,9665,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.33185717817946,-48.60042892261332]}"
3,9102,1463,1541,9248,9472,9552,9704,9369,9010,9176,8694,8856,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.39824267767588,-48.597464482175724]}"
4,9539,1551,1604,9168,9440,9752,9981,9677,9467,9240,9285,9654,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.31874177503131,-48.60267471082362]}"
5,9265,1350,1422,8856,9032,9264,9375,9141,8895,8928,8712,9095,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.31892143808814,-48.60761544488628]}"
6,9894,1588,1665,10032,10232,10296,10449,10138,9779,10008,9497,9857,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.37551530098766,-48.6107595483807]}"
7,9820,1532,1625,9936,10168,10336,10509,10169,9830,9984,9545,9821,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.37371867041942,-48.595398357022255]}"
8,9932,1628,1723,10040,10336,10480,10708,10367,10097,10096,9825,10098,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.35692017460639,-48.59441021020972]}"
9,9860,1543,1601,9936,10256,10320,10506,10120,9752,9840,9388,9623,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38575609522663,-48.60078824872697]}"
10,9481,1518,1630,9664,9936,9992,10214,9927,9556,9584,9281,9410,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38216283409015,-48.59530852549384]}"
11,9657,1580,1666,9776,10056,10136,10299,9925,9573,9720,9348,9600,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38135435033445,-48.59315256881195]}"
12,9817,1615,1698,10016,10224,10344,10551,10246,9931,9984,9689,9741,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.37749159461272,-48.60689679265898]}"
13,9548,1492,1570,9456,9704,9816,9883,9546,9207,9304,8880,9459,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40048846588618,-48.597284819118904]}"
14,9861,1492,1550,10128,10352,10480,10686,10286,9896,10048,9490,9672,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.39420025889736,-48.59378138951084]}"
15,9607,1544,1608,9976,10264,10368,10574,10263,9900,10128,9625,9808,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.33077919983852,-48.602495047766794]}"
16,9580,1530,1588,9720,9960,10048,10297,9971,9693,9768,9501,9721,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.3270062756452,-48.59935094427238]}"
17,9203,1621,1712,9856,10072,10136,10277,9869,9498,9776,9148,9218,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40003930824413,-48.596386503834786]}"
18,9639,1573,1663,9744,10040,10080,10249,9981,9621,9872,9425,9767,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.34101999407747,-48.596386503834786]}"
19,9824,1616,1715,10136,10440,10480,10684,10297,9936,10096,9624,9827,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.39815284614748,-48.60321369999409]}"
20,9570,1499,1593,9880,10088,10192,10268,9931,9577,9856,9344,9514,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.37740176308432,-48.60294420540885]}"
21,9556,1464,1535,9712,10008,10016,10246,9879,9503,9584,9149,9361,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.3862950843971,-48.59647633536319]}"
22,9870,1559,1630,10056,10320,10416,10547,10212,9814,9968,9556,9778,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38072552963555,-48.60123740636903]}"
23,9894,1568,1673,9944,10128,10144,10484,10202,9868,9912,9618,9857,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.37524580640243,-48.610669716852286]}"
24,9722,1467,1540,9968,10256,10344,10439,10066,9655,9888,9324,9502,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38593575828345,-48.59782380828938]}"
