system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,class,.geo
0,7865,1149,1141,5904,6088,6140,6682,6314,6255,5484,5735,6274,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.39015326583696,-47.56673752517699]}"
1,8286,1134,1126,8160,8368,8752,8562,8318,7784,7556,7198,7377,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.36769538373397,-47.56000016054609]}"
2,8219,1141,1132,9136,9504,9592,9736,9209,8539,8384,7915,7749,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.40003473396227,-47.56404257932463]}"
3,7833,1128,1120,6512,6844,7416,8437,8078,7583,6780,7011,7177,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.38072095535371,-47.57033078631346]}"
4,7861,1130,1146,7748,7908,7984,8589,7957,7504,6904,7023,6931,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.35844273630754,-47.570420617841876]}"
5,6034,1092,1097,6412,6776,6836,7011,6460,5965,5740,5402,5207,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.37784634644453,-47.576618993302304]}"
6,8633,1142,1131,8872,9256,9272,9442,8921,8243,8084,7649,7755,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.36526993246684,-47.56386291626781]}"
7,9176,1136,1132,8148,8456,8528,8954,8484,7809,7464,7287,7845,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.38467354260384,-47.56413241085304]}"
8,5914,1085,1090,6084,6304,6412,6432,5936,5442,5320,5011,5052,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.37829550408658,-47.57742747705801]}"
9,8376,1158,1153,8536,8960,8968,9074,8625,7967,7664,7369,7391,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.3520646977903,-47.56763584046111]}"
10,7868,1181,1165,8912,9336,9584,9589,9314,8699,8616,8219,7082,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.39482450531439,-47.56808499810317]}"
11,8528,1135,1121,8592,8928,9144,9331,8795,8132,7856,7568,7729,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.4002143970191,-47.56664769364858]}"
12,8271,1141,1134,8132,8528,8672,8918,8557,7955,7656,7424,7532,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.35898172547802,-47.574732531205655]}"
13,8371,1142,1142,8816,9176,9232,9321,8816,8164,7996,7624,7582,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.37587005281947,-47.57077994395553]}"
14,7063,1128,1118,6336,6508,6576,8106,7582,7009,6064,6656,6735,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.38251758592195,-47.569791797143]}"
15,8226,1129,1118,8264,8760,8832,9083,8625,7982,7812,7426,7589,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.3649106063532,-47.565659546836045]}"
16,8550,1143,1133,8544,8904,9016,9275,8811,8174,7748,7519,7672,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.36823437290444,-47.56323409556892]}"
17,6260,1143,1135,6416,6380,6692,7659,7707,7070,5948,6450,6229,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.40578395178063,-47.57140876465441]}"
18,7702,1168,1140,7812,8248,8400,8576,8338,7723,7624,7238,7561,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.39590248365532,-47.568983313387285]}"
19,8457,1118,1107,8256,8592,8600,8954,8480,7986,7584,7419,7671,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.3776666833877,-47.56691718823381]}"
20,8157,1147,1132,8904,9216,9304,9549,9010,8335,8064,7690,7658,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.38072095535371,-47.572846069109]}"
21,6237,1089,1083,6980,7320,7352,7295,7018,6270,6184,5845,5758,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.3724564547398,-47.57599017260342]}"
22,8057,1157,1136,8140,8352,8448,8549,8253,7716,7436,7098,7415,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.39338720085979,-47.56808499810317]}"
23,8499,1127,1128,9216,9488,9528,9541,9151,8336,8256,7774,7662,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.37703786268881,-47.5690731449157]}"
24,8042,1132,1129,6668,7024,7132,8086,7559,6874,6392,6531,6734,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.35772408408025,-47.571139270069175]}"
